N	2gram	Berdyaev_O	Morfolog
1	может быть	11	61
2	т е	4	25
3	могут быть	3	21
4	так как	2	20
5	не может	4	19
6	в этом	12	18
7	в этих	3	17
8	и в	19	17
9	и не	13	16
10	прежде всего	9	14
11	а не	11	11
12	вопрос о	10	10
13	в том	5	10
14	то что	5	10
15	так и	2	10
16	что в	4	10
17	что и	2	10
18	все же	2	9
19	но и	13	9
20	не только	11	8
21	а в	5	8
22	не могут	3	7
23	том что	2	7
24	и этим	2	7
25	потому что	9	7
26	это не	3	6
27	не все	2	6
28	о том	3	6
29	как бы	3	6
30	ничего не	2	5
31	и ее	3	5
32	хотя бы	3	5
33	было бы	3	5
34	что он	3	5
35	в других	2	5
36	все эти	4	5
37	что они	2	5
38	он не	7	5
39	хотя и	2	5
40	учение о	2	5
41	сказать что	2	4
42	его в	2	4
43	к этому	2	4
44	тем что	2	4
45	еще не	3	4
46	но в	2	4
47	и для	2	4
48	как и	6	4
49	и к	2	4
50	того чтобы	4	4
51	о его	5	4
52	никто не	3	4
53	в которой	2	3
54	это было	3	3
55	же можно	2	3
56	не в	11	3
57	для того	3	3
58	к ней	2	3
59	того что	3	3
60	ее в	2	3
61	к нему	3	3
62	совсем не	2	3
63	и его	4	3
64	и есть	3	3
65	все еще	2	3
66	в этой	5	3
67	с его	4	3
68	в россии	5	2
69	от него	7	2
70	в другом	2	2
71	сразу же	2	2
72	с тем	2	2
73	не имеет	2	2
74	в своих	3	2
75	что же	2	2
76	все это	6	2
77	у него	22	2
78	момент в	2	2
79	для него	5	2
80	чем в	2	2
