N	2gram	Medvedev_F	VLabPisa
1	таким образом	28	32
2	в этом	39	29
3	не только	14	26
4	и в	54	26
5	и т	22	25
6	может быть	30	23
7	хотя бы	10	20
8	и не	34	20
9	т е	50	18
10	в процессе	17	17
11	не может	26	17
12	т д	11	16
13	в том	17	15
14	в его	30	15
15	этом отношении	7	14
16	прежде всего	34	13
17	все это	11	13
18	в частности	4	12
19	как это	8	12
20	в качестве	2	12
21	что в	10	11
22	с другой	8	11
23	из них	5	11
24	то же	16	10
25	не могут	8	10
26	но и	18	10
27	и др	8	10
28	в художественном	5	10
29	по этому	2	10
30	к этому	3	9
31	т п	11	9
32	для него	9	9
33	он пишет	2	9
34	в своем	12	8
35	том что	3	8
36	не следует	5	8
37	могут быть	7	8
38	другой стороны	5	8
39	все эти	12	8
40	было бы	10	8
41	только в	6	8
42	вместе с	8	8
43	очевидно что	2	7
44	это не	4	7
45	из этих	4	7
46	во всех	9	7
47	по отношению	4	7
48	художественное произведение	8	7
49	в году	2	7
50	в основном	3	7
51	то что	14	7
52	действительности и	3	7
53	отношению к	4	7
54	тому что	3	7
55	как и	18	7
56	их в	2	7
57	в нем	25	7
58	главным образом	5	7
59	произведения в	9	7
60	не было	7	7
61	же в	4	7
62	а не	11	7
63	произведения и	9	7
64	произведения как	3	6
65	не в	16	6
66	в то	14	6
67	в себе	4	6
68	художественного произведения	27	6
69	или менее	7	6
70	это и	7	6
71	все же	8	6
72	в искусстве	6	6
73	так и	24	6
74	более или	7	6
75	приводит к	4	6
76	один из	4	6
77	в зависимости	4	6
78	и его	27	6
79	между тем	4	6
80	никогда не	6	5
81	даже в	2	5
82	сказать что	3	5
83	в одном	2	5
84	перед нами	3	5
85	в результате	8	5
86	в пределах	13	5
87	зависимости от	5	5
88	в их	16	5
89	не является	3	5
90	к тому	6	5
91	как бы	10	5
92	в них	4	5
93	в целом	7	5
94	связи с	12	5
95	же время	13	5
96	на основе	6	5
97	одна из	2	4
98	и ее	15	4
99	роль в	2	4
100	в виду	2	4
101	вот как	3	4
102	в статье	5	4
103	ее в	3	4
104	что он	8	4
105	по существу	8	4
106	с тем	11	4
107	что для	3	4
108	когда он	3	4
109	должен быть	5	4
110	в единстве	8	4
111	отнюдь не	13	4
112	в самом	17	4
113	равно как	2	4
114	как раз	8	4
115	в ее	10	4
116	познания и	4	4
117	в своей	16	4
118	в связи	11	4
119	можно сказать	2	4
120	в этой	10	4
121	из его	2	4
122	чем же	3	4
123	художественном произведении	4	4
124	с его	12	4
125	и от	9	3
126	при помощи	2	3
127	говорит в	3	3
128	и к	7	3
129	с этим	6	3
130	так же	5	3
131	но как	2	3
132	своем содержании	4	3
133	образом не	3	3
134	всех этих	6	3
135	бы в	6	3
136	но даже	2	3
137	в форме	2	3
138	в значительной	3	3
139	в конце	2	3
140	его в	5	3
141	и как	6	3
142	если бы	8	3
143	творчества и	2	3
144	как он	2	3
145	как о	8	3
146	для того	3	3
147	и их	13	3
148	у нас	6	3
149	как на	5	3
150	его не	2	3
151	мы знаем	3	3
152	того что	7	3
153	п в	2	3
154	мы видели	5	3
155	нет и	2	3
156	далеко не	2	3
157	этот вопрос	2	3
158	она не	8	3
159	а в	11	3
160	в котором	2	3
161	именно в	12	3
162	точки зрения	21	3
163	даже и	5	3
164	в работе	2	3
165	что оно	4	3
166	между ними	3	3
167	говорить не	2	3
168	а н	3	3
169	что не	4	3
170	жизни и	10	3
171	того чтобы	4	3
172	что и	10	3
173	сводится к	6	3
174	у тургенева	2	3
175	и по	3	3
176	или в	2	3
177	что они	4	3
178	же и	2	3
179	данного произведения	2	3
180	в слове	4	3
181	вовсе не	18	3
182	не о	7	2
183	в целях	2	2
184	если в	3	2
185	от его	3	2
186	произведения а	4	2
187	чтобы не	2	2
188	произведения не	3	2
189	восприятия и	4	2
190	и потому	9	2
191	того или	6	2
192	к этим	2	2
193	с другими	11	2
194	не прав	2	2
195	искусство как	2	2
196	так сказать	6	2
197	а к	2	2
198	одной стороны	5	2
199	в каждом	3	2
200	должно быть	13	2
201	искусства не	2	2
202	и через	2	2
203	даже не	2	2
204	с реальной	2	2
205	в последнем	2	2
206	отличается от	4	2
207	в другом	2	2
208	а о	4	2
209	и даже	7	2
210	от того	2	2
211	действительности на	2	2
212	конце концов	2	2
213	ее как	2	2
214	а как	5	2
215	в особенности	7	2
216	в области	6	2
217	и наконец	7	2
218	в науке	2	2
219	у них	3	2
220	эти явления	2	2
221	еще не	6	2
222	они должны	2	2
223	от различных	2	2
224	в которой	5	2
225	не приходится	4	2
226	не по	4	2
227	в известной	2	2
228	в чем	2	2
229	сих пор	7	2
230	как особый	2	2
231	формы и	7	2
232	с одной	5	2
233	его от	5	2
234	сюжета и	2	2
235	этом процессе	2	2
236	не с	2	2
237	одной из	2	2
238	так например	3	2
239	в жизни	3	2
240	от них	2	2
241	они и	2	2
242	том чтобы	3	2
243	но не	5	2
244	и для	5	2
245	искусства и	5	2
246	и этот	2	2
247	стороны и	4	2
248	художественной структуры	7	2
249	не менее	12	2
250	на него	3	2
251	но в	9	2
252	следует что	3	2
253	каждой из	3	2
254	они не	7	2
255	на то	2	2
256	в общем	8	2
257	могло бы	2	2
258	он в	3	2
259	что такое	2	2
260	зависит от	2	2
261	основные тенденции	2	2
262	знаем что	2	2
263	в своих	3	2
264	в конкретной	2	2
265	ни одна	2	2
266	в ней	15	2
267	и заключается	2	2
268	к его	3	2
269	но для	4	2
270	на этом	2	2
271	к сожалению	2	2
272	он и	3	2
273	не столько	5	2
274	только не	2	2
275	по себе	10	2
276	всяком случае	6	2
277	ни одного	2	2
278	для них	4	2
279	идеологического творчества	9	2
280	отметить что	2	2
281	же как	3	2
282	должны быть	6	2
283	в противном	2	2
284	говорить о	4	2
285	было в	3	2
286	и может	6	2
287	и непосредственно	4	2
288	е в	2	2
289	он не	8	2
290	во всей	4	2
291	должна быть	11	2
292	в различных	2	2
293	эти вопросы	2	2
294	как от	2	2
295	не отрицает	2	2
296	на язык	5	2
297	хотя и	3	2
298	лишь в	15	2
299	само собою	2	2
300	во всяком	6	2
301	противном случае	2	2
302	до сих	7	2
303	в системе	3	2
