N	3gram	Tiupa_Anal	Problema
1	тем не менее	3	56
2	о том что	8	39
3	в том что	13	37
4	то же самое	3	30
5	в связи с	2	29
6	в данном случае	3	28
7	той или иной	8	26
8	по крайней мере	4	26
9	с точки зрения	6	25
10	с другой стороны	2	25
11	содержит в себе	3	23
12	в таком случае	5	23
13	на то что	2	19
14	в этом смысле	3	19
15	как раз и	2	18
16	для того чтобы	3	17
17	то есть в	2	17
18	в то же	9	17
19	же самое время	2	16
20	не что иное	5	14
21	в этом случае	4	14
22	что иное как	6	14
23	сами по себе	3	13
24	того или иного	3	13
25	не может быть	17	12
26	и в этом	4	12
27	бы то ни	3	11
28	есть не что	4	11
29	с одной стороны	6	11
30	тех или иных	3	11
31	более или менее	2	10
32	не только не	2	10
33	не только в	3	10
34	и тем самым	2	10
35	в той или	3	10
36	в том или	3	7
37	к тому же	6	7
38	но и в	3	7
39	и то же	2	6
40	но отнюдь не	2	6
41	то ни было	3	6
42	в самом деле	3	6
43	в этом отношении	5	6
44	с той или	2	5
45	том что он	2	5
46	одно и то	2	5
47	том или ином	4	5
48	в том числе	3	5
49	в коем случае	2	4
50	дело не в	2	4
51	этой точки зрения	2	4
52	и не в	4	4
53	ни в коем	2	4
54	подобно тому как	5	4
55	мы имеем дело	7	4
56	в том чтобы	7	4
57	но в то	2	3
58	к тому что	2	3
59	в результате чего	2	3
60	с этой точки	2	3
61	далеко не всегда	2	3
62	как и в	2	3
63	одного и того	2	3
64	именно в этом	2	3
65	в отличие от	8	3
66	в известном смысле	2	3
67	и того же	2	3
68	а не только	2	2
69	по отношению к	9	2
70	в основе своей	2	2
71	а не в	3	2
72	и в самом	3	2
73	и все же	2	2
74	и не может	4	2
75	и тот же	2	2
76	того и другого	2	2
77	в частности в	2	2
78	в том и	2	2
79	времени и пространстве	5	2
80	и т п	3	2
81	все того же	2	2
82	тому или иному	2	2
83	между тем как	2	2
84	но о том	3	2
85	но и не	5	2
