N	2gram	Tiupa_Anal	Stilisti
1	и в	30	42
2	как бы	15	30
3	не только	30	28
4	и т.п	13	25
5	прежде всего	8	22
6	и т.д	4	21
7	хотя бы	4	18
8	внутренней речи	9	18
9	то же	12	16
10	но и	29	16
11	и не	33	14
12	не может	26	13
13	может быть	33	13
14	как и	23	12
15	точки зрения	10	11
16	что мы	3	11
17	мы уже	2	11
18	в себе	17	10
19	и как	6	10
20	отнюдь не	22	10
21	мы должны	2	10
22	в этом	31	10
23	как мы	3	10
24	в то	10	9
25	для того	4	9
26	все же	4	9
27	то что	11	9
28	при этом	20	9
29	тем самым	9	8
30	ничего не	10	8
31	так как	3	8
32	что же	3	8
33	таким образом	5	8
34	с его	3	8
35	никогда не	4	7
36	в которой	3	7
37	же время	7	7
38	так и	16	7
39	потому что	3	7
40	слов и	2	7
41	только в	8	7
42	а не	25	7
43	и на	10	7
44	того чтобы	3	7
45	было бы	4	7
46	и его	9	7
47	той же	4	7
48	и тем	4	7
49	одно и	2	6
50	или иной	8	6
51	бы в	3	6
52	во всех	5	6
53	не в	17	6
54	в области	4	6
55	в конце	4	6
56	речи и	2	6
57	в нем	3	6
58	в процессе	2	6
59	на его	4	6
60	в его	15	6
61	в этой	12	6
62	и то	4	5
63	того или	3	5
64	в сознании	6	5
65	независимо от	2	5
66	в нашем	3	5
67	то есть	19	5
68	не является	3	5
69	и наконец	2	5
70	и их	2	5
71	самом деле	3	5
72	как это	5	5
73	а с	3	5
74	и является	4	5
75	тому что	2	5
76	а в	11	5
77	но в	11	5
78	или иного	3	5
79	те же	3	5
80	в самом	12	5
81	и с	2	5
82	в той	8	5
83	с точки	6	5
84	же самое	3	5
85	художественного творчества	2	5
86	вместе с	6	5
87	да и	2	4
88	в одном	3	4
89	о своей	2	4
90	в словах	2	4
91	на это	2	4
92	вопроса о	4	4
93	его в	2	4
94	на него	3	4
95	если бы	6	4
96	что именно	2	4
97	лишь в	12	4
98	не что	5	4
99	к своему	2	4
100	того что	5	4
101	зрения в	2	4
102	всего в	3	4
103	один из	4	4
104	и все	5	4
105	к тому	12	4
106	о том	11	4
107	уже не	6	4
108	и к	5	4
109	в целом	9	4
110	языка и	2	4
111	во внутренней	2	4
112	той или	8	4
113	не просто	2	4
114	все это	2	4
115	в качестве	38	4
116	себя в	8	4
117	тех или	3	4
118	можно сказать	6	4
119	не к	3	4
120	сказать что	2	3
121	на самом	2	3
122	это не	7	3
123	но при	2	3
124	том что	21	3
125	нуждается в	9	3
126	в начале	3	3
127	и слово	2	3
128	и даже	10	3
129	этого слова	10	3
130	или иных	3	3
131	в устах	2	3
132	роль в	3	3
133	во второй	3	3
134	в виду	2	3
135	в том	36	3
136	в частности	32	3
137	еще не	5	3
138	только на	3	3
139	вследствие этого	5	3
140	совершенно не	2	3
141	его и	3	3
142	как в	3	3
143	не знает	4	3
144	для него	5	3
145	не с	8	3
146	не становится	3	3
147	то он	3	3
148	не так	3	3
149	как предмет	4	3
150	и для	3	3
151	нет и	2	3
152	в котором	5	3
153	высказывания в	4	3
154	ответ на	3	3
155	быть может	2	3
156	если не	2	3
157	из которых	4	3
158	не будет	3	3
159	из них	2	3
160	художественное творчество	2	3
161	хотя и	4	3
162	несмотря на	5	3
163	что и	5	3
164	в ее	2	3
165	все эти	3	3
166	высказывания и	3	3
167	связи с	2	3
168	отношения к	4	3
169	этом случае	4	3
170	слова о	2	3
171	между тем	7	3
172	в основе	6	3
173	не мог	3	3
174	что иное	6	2
175	в отношении	2	2
176	для этого	2	2
177	вопрос о	2	2
178	и потому	2	2
179	которые в	3	2
180	с другими	4	2
181	мы имеем	9	2
182	нет ничего	2	2
183	из этих	2	2
184	в первой	2	2
185	времени и	7	2
186	должно быть	2	2
187	каждый из	3	2
188	к этому	2	2
189	по отношению	10	2
190	и больше	2	2
191	с самим	3	2
192	иное как	6	2
193	общения людей	2	2
194	отношение к	2	2
195	самое время	2	2
196	есть не	9	2
197	должен быть	6	2
198	я и	8	2
199	тем что	2	2
200	бы не	3	2
201	этом отношении	5	2
202	в их	8	2
203	том же	2	2
204	не всегда	4	2
205	художественного высказывания	3	2
206	в этих	3	2
207	что он	3	2
208	по своей	6	2
209	и сам	4	2
210	должна была	2	2
211	отношению к	9	2
212	в пределах	11	2
213	в какой	3	2
214	не должен	2	2
215	литературное произведение	12	2
216	себе в	2	2
217	одной из	2	2
218	в мире	14	2
219	на этот	2	2
220	но не	13	2
221	как уже	5	2
222	также и	3	2
223	и всего	2	2
224	к нему	4	2
225	тому же	6	2
226	но мы	2	2
227	прежде чем	2	2
228	одни и	2	2
229	не есть	8	2
230	из трех	2	2
231	не говоря	2	2
232	и те	2	2
233	однако в	4	2
234	представляет собой	23	2
235	между собой	2	2
236	на наш	6	2
237	место в	3	2
238	о чем	3	2
239	смысл его	3	2
240	ли он	3	2
241	между двумя	7	2
242	здесь не	2	2
243	в своей	7	2
244	или даже	3	2
245	и тогда	3	2
246	или в	2	2
247	в связи	2	2
248	он не	4	2
249	с ним	6	2
250	тот же	2	2
251	вовсе не	4	2
