N	2gram	Trubetskoy	PoTuStor
1	может быть	10	17
2	и в	26	16
3	мы можем	2	9
4	и проч	2	9
5	в этом	15	9
6	и только	4	9
7	таким образом	22	9
8	прежде всего	2	9
9	и с	10	8
10	точки зрения	13	8
11	не может	4	8
12	сказать что	2	7
13	не только	10	7
14	с его	2	7
15	и это	2	6
16	с точки	6	6
17	конечно не	2	6
18	и к	5	6
19	для него	3	6
20	при этом	3	6
21	все эти	6	5
22	как бы	12	5
23	только для	2	5
24	еще не	2	5
25	отношение к	5	5
26	и на	2	4
27	все это	6	4
28	в его	5	4
29	но и	9	4
30	и не	8	4
31	и все	2	4
32	но в	7	4
33	с самого	3	4
34	в этой	4	4
35	и наконец	2	4
36	так как	9	4
37	все что	2	4
38	только в	4	4
39	в нем	4	4
40	хотя бы	3	4
41	можно сказать	3	4
42	так и	6	4
43	для всех	2	4
44	самого начала	2	4
45	и даже	3	4
46	что в	9	3
47	жизни и	2	3
48	и как	3	3
49	и потому	6	3
50	а в	4	3
51	в том	11	3
52	по сравнению	2	3
53	в общем	8	3
54	с другими	4	3
55	в области	9	3
56	те же	2	3
57	до сих	5	3
58	крайней мере	5	3
59	во время	4	3
60	сравнению с	2	3
61	в этих	4	3
62	то что	7	3
63	во всех	2	3
64	по крайней	5	3
65	сих пор	5	3
66	всяком случае	6	3
67	вместе с	15	3
68	учение о	4	3
69	в одном	3	3
70	во всяком	6	3
71	том что	7	3
72	один из	2	2
73	никогда не	5	2
74	что мы	2	2
75	по своему	2	2
76	в них	2	2
77	и действительно	2	2
78	к ним	3	2
79	в одно	2	2
80	для этого	2	2
81	же как	3	2
82	и для	5	2
83	что это	3	2
84	и по	4	2
85	что и	6	2
86	не менее	3	2
87	не могут	2	2
88	на друга	2	2
89	о том	6	2
90	можно назвать	2	2
91	то же	4	2
92	что он	4	2
93	так же	5	2
94	того же	6	2
95	и таким	3	2
96	ни было	2	2
97	из этих	10	2
98	в самом	4	2
99	в начале	2	2
100	с этой	3	2
101	связанные с	7	2
102	он не	4	2
103	со всеми	2	2
104	и о	3	2
105	к этому	3	2
106	путь к	3	2
107	связанных с	2	2
108	что оно	4	2
109	всех других	2	2
110	друг на	2	2
