N	3gram	Bakhtin_Fr	formyVre
1	то же время	13	21
2	в то же	13	18
3	еды и питья	2	18
4	в связи с	5	15
5	как мы уже	8	15
6	кн i гл	2	15
7	с точки зрения	4	15
8	кн iv гл	6	13
9	для того чтобы	5	12
10	но и в	4	12
11	не только в	3	11
12	до сих пор	6	10
13	и в то	2	10
14	мы уже говорили	5	9
15	и прежде всего	3	8
16	в том числе	4	8
17	в большинстве случаев	3	8
18	в этом отношении	4	7
19	в романе рабле	23	7
20	в отличие от	3	7
21	не может быть	2	7
22	с одной стороны	4	6
23	мы уже сказали	2	6
24	в том же	3	6
25	а также и	4	6
26	мы еще вернемся	5	6
27	имеем в виду	2	6
28	в том что	2	5
29	на протяжении всего	2	5
30	том числе и	3	5
31	мы имеем в	2	5
32	как и в	2	5
33	той или иной	2	5
34	одной стороны и	2	5
35	мы уже указывали	2	4
36	вполне понятно что	3	4
37	может быть и	2	4
38	и в других	3	4
39	как раз в	3	4
40	с другой стороны	5	4
41	прежде всего необходимо	3	4
42	но все же	2	4
43	кн iii гл	4	4
44	во всяком случае	2	4
45	по отношению к	2	4
46	в его целом	3	4
47	в xviii веке	11	4
48	и в литературе	2	3
49	все то что	2	3
50	о том что	3	3
51	но в то	7	3
52	сих пор еще	2	3
53	еще вернемся в	2	3
54	узком смысле слова	2	3
55	по сравнению с	2	3
56	в той или	2	3
57	все же в	2	3
58	средневековья и возрождения	2	2
59	еще вернемся к	2	2
60	и во всей	2	2
61	в узком смысле	2	2
62	у рабле в	4	2
63	в своем романе	3	2
64	если кто хотел	2	2
65	можно сказать что	2	2
66	в xvii веке	7	2
67	женщин и детей	2	2
68	дело в том	2	2
69	в мировой литературе	3	2
70	рабле вовсе не	2	2
71	и до сих	2	2
72	в данном случае	3	2
73	как мы видим	2	2
74	считая женщин и	2	2
75	не считая женщин	2	2
76	жизни и смерти	2	2
77	как и все	5	2
78	и до конца	8	2
79	в свою очередь	2	2
80	таким образом и	2	2
