N	2gram	Vinokur_Vv	formyVre
1	и в	35	148
2	в этом	35	73
3	в нем	13	51
4	прежде всего	10	46
5	и т	45	40
6	и не	13	37
7	в его	12	36
8	и его	6	36
9	вовсе не	6	35
10	но и	7	33
11	то же	11	32
12	т п	5	32
13	не только	26	32
14	но в	10	31
15	жизни и	2	31
16	так и	2	29
17	времени в	3	27
18	может быть	30	27
19	не в	10	26
20	как мы	11	26
21	как и	7	25
22	как бы	7	25
23	мы уже	2	24
24	точки зрения	12	24
25	в то	6	23
26	времени и	4	23
27	только в	16	23
28	то что	19	22
29	в том	38	22
30	все эти	3	21
31	связи с	3	21
32	во всех	2	21
33	же время	6	21
34	в своем	3	19
35	и др	2	19
36	и для	4	19
37	и на	3	19
38	по существу	2	18
39	еще не	4	18
40	таким образом	21	18
41	с этим	3	17
42	при этом	3	17
43	так как	15	17
44	в особенности	4	17
45	все же	9	16
46	того же	3	16
47	в связи	2	16
48	не может	19	16
49	никогда не	3	15
50	в разных	7	15
51	в них	5	15
52	в дальнейшем	2	15
53	в одном	4	15
54	с точки	4	15
55	вместе с	6	15
56	так же	3	14
57	все это	6	14
58	и как	9	14
59	в конце	3	14
60	и с	2	14
61	как раз	4	14
62	а не	5	14
63	в их	12	13
64	в частности	3	13
65	а в	6	13
66	того чтобы	22	13
67	для того	23	13
68	как в	3	13
69	в котором	4	13
70	в самом	13	13
71	ничего не	2	12
72	в истории	9	12
73	значение и	2	12
74	не было	2	12
75	время в	2	12
76	и до	2	12
77	но не	9	12
78	потому что	18	12
79	что в	13	12
80	его в	6	11
81	между ними	3	11
82	в ней	3	11
83	хотя и	5	11
84	из них	4	11
85	уже в	5	11
86	здесь не	3	10
87	в ее	11	10
88	и другие	2	10
89	сих пор	7	10
90	также и	20	10
91	входит в	3	10
92	уже не	6	10
93	и того	3	10
94	до сих	7	10
95	могут быть	6	9
96	одного и	2	9
97	и других	3	9
98	на этой	3	9
99	наряду с	3	9
100	том что	30	9
101	должно быть	2	9
102	и даже	6	9
103	и это	6	9
104	с другой	8	9
105	на протяжении	2	9
106	но все	4	9
107	здесь нет	4	9
108	до конца	3	8
109	это не	8	8
110	или иной	3	8
111	и потому	2	8
112	к тому	4	8
113	отношение к	3	8
114	в целом	5	8
115	один из	6	8
116	что и	5	8
117	во всяком	5	8
118	и то	7	8
119	а также	3	8
120	в результате	4	8
121	в этот	2	8
122	если бы	3	8
123	в этих	3	8
124	отношению к	4	8
125	с одной	4	8
126	значение в	2	8
127	рядом с	2	8
128	и к	3	8
129	в виду	5	8
130	в себе	4	7
131	не как	3	7
132	том же	2	7
133	у них	2	7
134	отличие от	4	7
135	того что	12	7
136	широком смысле	8	7
137	в той	10	7
138	было бы	7	7
139	например в	2	7
140	к этому	3	7
141	из этих	9	7
142	этот процесс	4	7
143	т д	39	7
144	этом отношении	4	7
145	в отличие	4	7
146	в форме	2	7
147	в широком	7	6
148	в отношении	3	6
149	не могут	6	6
150	и ее	4	6
151	есть и	5	6
152	есть не	5	6
153	литературы в	3	6
154	а как	5	6
155	одной из	4	6
156	с тем	6	6
157	одной стороны	4	6
158	в основу	2	6
159	в качестве	8	6
160	сказать что	6	6
161	до нас	3	6
