N	2gram	Tiupa_Narr	Problema
1	и в	22	182
2	то есть	15	165
3	и не	34	152
4	вовсе не	2	145
5	то что	14	144
6	не только	50	104
7	потому что	7	89
8	в этом	23	88
9	может быть	24	82
10	том что	15	81
11	в том	20	81
12	не просто	2	80
13	только в	23	73
14	сказать что	5	72
15	но и	39	70
16	в виде	2	69
17	у нас	4	68
18	также и	4	68
19	и даже	4	66
20	по себе	4	64
21	не менее	6	58
22	о том	5	57
23	так и	12	56
24	тем не	7	56
25	а не	27	56
26	но в	10	55
27	для нас	2	50
28	отнюдь не	6	48
29	в себе	14	48
30	было бы	2	46
31	в своей	8	45
32	прежде всего	7	45
33	что в	6	44
34	в его	12	44
35	все эти	3	43
36	не в	12	43
37	таким образом	5	42
38	как раз	9	42
39	то же	12	42
40	а именно	2	42
41	что мы	2	40
42	и то	3	40
43	что он	7	40
44	не может	16	39
45	в этой	8	39
46	такого рода	17	39
47	и тем	9	39
48	во всяком	2	39
49	как бы	11	39
50	той или	7	38
51	в данном	17	38
52	никак не	5	37
53	хотя бы	4	37
54	того что	7	37
55	в нем	9	37
56	еще не	6	36
57	точки зрения	8	36
58	и все	7	36
59	и т	3	35
60	в виду	2	34
61	и с	3	34
62	как и	15	34
63	уже не	11	34
64	не является	7	33
65	или иной	6	33
66	в таком	4	33
67	же самое	3	33
68	в то	9	32
69	здесь не	4	32
70	едва ли	5	32
71	но не	7	32
72	в своем	7	31
73	в конце	4	31
74	связи с	3	31
75	так же	2	31
76	но это	2	31
77	ясно что	2	30
78	с другой	6	30
79	и для	4	30
80	как мы	3	29
81	перед нами	9	29
82	все же	10	29
83	об этом	8	29
84	в связи	3	29
85	можно сказать	11	29
86	данном случае	12	28
87	и о	4	28
88	мы не	5	28
89	а в	19	28
90	и как	4	27
91	ничего не	8	27
92	хотя и	8	27
93	в результате	4	26
94	как будто	4	26
95	вместе с	3	26
96	это не	6	26
97	да и	5	26
98	другой стороны	2	26
99	и его	12	26
100	тем самым	9	25
101	с точки	2	25
102	и на	5	25
103	мы можем	2	25
104	всяком случае	2	25
105	тем более	2	24
106	не имеет	3	24
107	в нашем	4	24
108	и притом	3	23
109	на то	4	23
110	при этом	31	23
111	в качестве	27	23
112	по своему	3	23
113	то и	3	23
114	никогда не	8	22
115	и является	2	22
116	только на	4	22
117	что и	3	22
118	и от	3	22
119	раз и	2	22
120	и к	7	22
121	и ее	3	21
122	а также	11	21
123	для себя	3	21
124	в самом	8	21
125	и только	2	21
126	и потому	2	20
127	как о	2	20
128	но как	3	20
