N	2gram	Potebnia_M	Otkroven
1	у него	3	22
2	человеческой природы	4	20
3	и в	58	19
4	но и	26	13
5	и не	34	13
6	в этом	18	12
7	не только	32	11
8	человека в	3	11
9	не в	23	11
10	а не	38	11
11	может быть	47	11
12	и все	6	10
13	человека и	2	10
14	в нем	26	10
15	вопрос о	5	10
16	никогда не	7	9
17	в самой	5	9
18	потому что	89	9
19	в человеке	14	9
20	не было	7	9
21	прежде всего	8	9
22	человек не	2	7
23	ни с	2	7
24	лишь в	2	7
25	в его	7	7
26	нет ничего	2	7
27	от него	8	7
28	он не	4	7
29	но он	3	7
30	как и	16	6
31	все это	3	6
32	для него	13	5
33	а в	11	5
34	в том	38	5
35	о его	2	5
36	в самом	5	5
37	то что	24	5
38	в этой	3	5
39	человеке и	2	5
40	и его	7	4
41	что в	34	4
42	того чтобы	4	4
43	все эти	3	4
44	не может	30	4
45	все в	2	4
46	что не	15	4
47	с его	3	4
48	в себе	22	3
49	и от	5	3
50	души но	4	3
51	о том	6	3
52	это не	10	3
53	к нему	2	3
54	не могут	10	3
55	что он	5	3
56	природы но	3	3
57	было бы	21	3
58	жизни все	2	3
59	различие между	2	3
60	для того	8	3
61	еще не	9	3
62	и есть	4	3
63	все что	5	3
64	в этих	10	3
65	в своих	4	3
66	никто не	3	3
67	как бы	12	3
68	хотя бы	4	3
69	могут быть	17	3
70	это было	3	3
71	с ним	7	3
72	быть может	6	3
73	мысли и	9	3
74	человеческого духа	6	3
75	того что	15	3
76	что человек	6	3
77	одно из	5	2
78	и то	4	2
79	сказать что	5	2
80	и на	8	2
81	с тем	9	2
82	уже в	5	2
83	что же	3	2
84	мысль о	8	2
85	и для	8	2
86	что все	4	2
87	из всего	2	2
88	ничего кроме	2	2
89	вопросом о	2	2
90	не имеет	9	2
91	не могли	2	2
92	ничего не	2	2
93	в человеческом	3	2
94	и с	3	2
95	что и	16	2
96	и потому	7	2
97	в ее	2	2
98	в других	6	2
99	в своем	3	2
100	тем что	15	2
101	но в	12	2
102	том что	21	2
103	для человека	3	2
104	к этой	3	2
105	что для	5	2
106	все же	11	2
107	ко всем	4	2
108	о которой	2	2
109	в своей	3	2
110	так как	29	2
111	по себе	24	2
112	что у	2	2
113	что они	6	2
114	в истории	8	2
115	так что	23	2
116	даже и	4	2
117	не все	3	2
118	для всякого	3	2
119	должно быть	9	2
120	и о	3	2
121	не есть	13	2
122	природы в	2	2
123	в душе	28	2
124	свободы и	3	2
125	к этому	3	2
126	так и	17	2
127	в которой	5	2
128	к ней	3	2
129	хотя и	6	2
130	его не	3	2
131	в единстве	3	2
132	в другом	3	2
133	что есть	3	2
134	никакого другого	2	2
135	их не	2	2
136	чем в	2	2
137	его в	3	2
