N	2gram	Berdyaev_M	Russkaja
1	не может	39	22
2	и не	26	19
3	в том	9	17
4	в этом	34	17
5	и в	61	14
6	то что	10	13
7	точки зрения	6	11
8	то же	4	11
9	в то	2	10
10	но и	34	10
11	не только	42	9
12	том что	7	9
13	может быть	42	9
14	в себе	12	9
15	того чтобы	4	8
16	прежде всего	18	8
17	к богу	5	7
18	самого себя	6	7
19	и с	6	7
20	к тому	6	7
21	о том	5	7
22	не будет	3	7
23	ни к	2	7
24	самом деле	2	7
25	с тем	10	6
26	если в	2	6
27	на самом	2	6
28	и для	7	6
29	к которой	4	6
30	в своих	4	6
31	в россии	2	6
32	и к	9	6
33	если бы	5	6
34	все это	6	6
35	для того	4	6
36	что он	16	6
37	в своем	17	6
38	для него	28	6
39	вопрос о	7	5
40	а в	4	5
41	было бы	11	5
42	хотя бы	8	5
43	и на	9	5
44	потому что	25	5
45	в нем	26	5
46	он должен	4	5
47	жизни в	3	5
48	в своей	18	5
49	себя и	6	5
50	конечно не	3	5
51	во имя	26	5
52	только в	7	5
53	никогда не	30	5
54	он не	34	5
55	сих пор	5	5
56	между тем	2	5
57	во всех	3	5
58	до сих	5	5
59	и то	2	4
60	что в	12	4
61	но не	8	4
62	его в	6	4
63	к соединению	2	4
64	все же	2	4
65	себя в	6	4
66	не могут	6	4
67	к этой	3	4
68	не в	16	4
69	как и	14	4
70	тому чтобы	2	4
71	в мире	12	4
72	как бы	10	4
73	все что	5	4
74	путь к	2	4
75	а лишь	3	4
76	приводит к	2	4
77	так как	10	4
78	тогда когда	2	4
79	что же	2	4
80	которой он	2	4
81	жизни и	6	4
82	в его	10	4
83	в их	4	4
84	на земле	7	4
85	во всем	5	4
86	в этой	12	4
87	себе и	4	4
88	вместе с	7	4
89	от того	4	4
90	для этого	3	3
91	и этот	4	3
92	что все	5	3
93	что это	5	3
94	на том	3	3
95	она может	2	3
96	приходит к	2	3
97	должно быть	5	3
98	не есть	21	3
99	и потому	17	3
100	в значительной	2	3
101	в конце	11	3
102	но если	4	3
103	ко всем	3	3
104	в самом	15	3
105	и как	3	3
106	можно ли	2	3
107	для них	3	3
108	может не	3	3
109	что и	6	3
110	конце концов	3	3
111	лишь в	8	3
112	вряд ли	3	3
113	он сам	11	3
114	и во	5	3
115	и по	4	3
116	того что	13	3
117	что они	4	3
118	друг друга	12	3
119	не было	25	3
120	тем что	7	3
121	то в	2	3
122	не о	2	2
123	есть единственная	2	2
124	и должно	3	2
125	любви к	14	2
126	и от	3	2
127	не так	6	2
128	не к	6	2
129	но она	3	2
130	с этим	4	2
131	есть и	6	2
132	и те	4	2
133	тому что	2	2
134	к нему	8	2
135	она не	9	2
136	только с	3	2
137	но в	12	2
138	любовь к	10	2
139	ни в	3	2
140	в котором	9	2
141	что такое	2	2
142	так же	5	2
143	на почве	3	2
144	от этой	2	2
145	в начале	2	2
146	и человек	5	2
147	или от	2	2
148	людей и	5	2
149	даже и	2	2
150	в ней	23	2
151	уже не	8	2
152	по отношению	4	2
153	но для	2	2
154	к отрицанию	13	2
155	с самим	5	2
156	считает себя	3	2
157	и вместе	4	2
158	если человек	3	2
159	отношении к	4	2
160	отличается от	2	2
161	а не	36	2
162	что ничего	2	2
163	и тот	2	2
164	для нас	3	2
165	по себе	2	2
166	от него	4	2
167	целый ряд	2	2
168	место в	4	2
169	к себе	3	2
170	бы его	2	2
171	– не	6	2
172	от своей	2	2
173	принадлежат к	3	2
174	к чему	5	2
175	и вот	7	2
176	и что	4	2
177	но это	8	2
178	все эти	3	2
179	бы ни	2	2
180	и тогда	2	2
181	в этих	6	2
182	и есть	21	2
183	так что	3	2
184	у других	2	2
185	как будто	4	2
186	во многих	2	2
187	должна быть	7	2
188	его и	2	2
189	отношения к	6	2
190	это есть	4	2
191	с ним	5	2
192	быть и	2	2
193	у него	38	2
194	там и	6	2
195	культуры и	2	2
196	и более	2	2
197	ее он	2	2
