N	3gram	Nazirov_Tv	StatiiOP
1	в том что	8	47
2	и т д	10	32
3	о том что	6	29
4	и т п	4	19
5	во всяком случае	2	13
6	с другой стороны	2	13
7	не может быть	2	11
8	в то же	19	9
9	в самом деле	2	9
10	то же время	18	9
11	дело в том	4	9
12	на самом деле	2	8
13	тем не менее	2	8
14	не только в	2	8
15	в данном случае	2	7
16	по крайней мере	4	6
17	по отношению к	3	6
18	так и в	2	6
19	том что в	3	6
20	в одном из	2	6
21	с самого начала	3	5
22	в одной из	4	5
23	в том же	3	5
24	сами по себе	2	4
25	но это не	2	4
26	в связи с	2	4
27	в русской литературе	2	3
28	можно сказать что	2	3
29	в известном смысле	2	3
30	это не значит	2	3
31	в наше время	4	3
32	что у него	2	3
33	не значит что	2	3
34	это прежде всего	3	2
35	но в то	5	2
36	как и в	2	2
37	и в то	3	2
38	в отличие от	2	2
39	если не считать	2	2
40	на этот вопрос	2	2
41	может быть назван	2	2
42	точно так же	3	2
43	в свою очередь	2	2
