N	2gram	Berdyaev_M	EvropaiE
1	и в	61	37
2	в отношении	6	32
3	точки зрения	6	23
4	что в	12	21
5	не только	42	18
6	в то	2	16
7	отношении к	4	15
8	хотя бы	8	15
9	то же	4	15
10	в своем	17	14
11	но в	12	14
12	но и	34	14
13	и не	26	14
14	в этом	34	12
15	в том	9	11
16	в их	4	11
17	так и	5	10
18	западной европы	2	9
19	т е	5	9
20	так же	5	9
21	не может	39	9
22	в себе	12	9
23	прежде всего	18	9
24	только в	7	9
25	между тем	2	8
26	в ее	3	8
27	думать что	4	8
28	было бы	11	8
29	в своей	18	8
30	к тому	6	8
31	по своему	3	7
32	также и	6	7
33	как и	14	7
34	так как	10	7
35	того что	13	7
36	том что	7	6
37	во всех	3	6
38	то есть	3	6
39	может быть	42	6
40	и на	9	6
41	с этой	4	6
42	того чтобы	4	6
43	для того	4	6
44	то что	10	6
45	как бы	10	6
46	но не	8	5
47	от этого	4	5
48	и по	4	5
49	и потому	17	5
50	в россии	2	5
51	но если	4	5
52	в той	3	5
53	не в	16	5
54	сказать что	5	4
55	в каком	2	4
56	вопрос о	7	4
57	не имеет	7	4
58	во многих	2	4
59	то в	2	4
60	на путях	4	4
61	в самом	15	4
62	мы не	2	4
63	в ней	23	4
64	для нас	3	4
65	по себе	2	4
66	мира в	2	4
67	к ней	6	4
68	чем в	3	4
69	никогда не	30	3
70	с тем	10	3
71	и от	3	3
72	и для	7	3
73	о том	5	3
74	вообще не	2	3
75	в которых	5	3
76	в сфере	2	3
77	когда он	3	3
78	мира и	6	3
79	бы и	8	3
80	бы ни	2	3
81	в свою	5	3
82	и к	9	3
83	но на	2	3
84	не будет	3	3
85	в них	5	3
86	можно ли	2	3
87	место в	4	3
88	о россии	2	3
89	что и	6	3
90	и мы	2	3
91	тем что	7	3
92	жизни в	3	3
93	потому что	25	3
94	на своем	4	3
95	себе в	3	3
96	заключает в	3	3
97	как в	9	3
98	связано с	5	3
99	есть в	3	2
100	в мире	12	2
101	на этот	2	2
102	если в	2	2
103	в его	10	2
104	отношений между	2	2
105	не есть	21	2
106	и этот	4	2
107	долгое время	2	2
108	что это	5	2
109	мира не	3	2
110	одна и	3	2
111	и то	2	2
112	к нему	8	2
113	не могут	6	2
114	она не	9	2
115	а в	4	2
116	с этим	4	2
117	в котором	9	2
118	тому чтобы	2	2
119	его на	4	2
120	в свои	2	2
121	в своих	4	2
122	всего человечества	2	2
123	и еще	3	2
124	и поэтому	3	2
125	и с	6	2
126	бы в	3	2
127	могут быть	2	2
128	по преимуществу	4	2
129	есть ли	2	2
130	что все	5	2
131	также в	2	2
132	в строе	2	2
133	в значительной	2	2
134	тогда когда	2	2
135	по своей	4	2
136	и та	2	2
137	во власти	5	2
138	и можно	3	2
139	и как	3	2
140	мог бы	5	2
141	ко всему	2	2
142	что же	2	2
143	целый ряд	2	2
144	есть не	9	2
145	если бы	5	2
146	для них	3	2
147	в этих	6	2
148	но также	2	2
149	жизни и	6	2
150	еще более	3	2
151	более чем	3	2
152	а не	36	2
153	и других	2	2
154	мы видим	4	2
155	и что	4	2
156	и во	5	2
157	начало в	3	2
158	этот процесс	5	2
159	и все	13	2
160	по сравнению	3	2
161	это значит	3	2
162	в истории	2	2
163	он не	34	2
164	как будто	4	2
165	только одно	3	2
166	сравнению с	2	2
167	и эта	3	2
168	не к	6	2
169	в этой	12	2
170	эмпирической действительности	2	2
171	не означает	2	2
172	но с	2	2
173	проблемы и	2	2
174	всего в	2	2
175	хотя и	2	2
176	духовной жизни	3	2
177	должна быть	7	2
178	русская революция	2	2
179	вместе с	7	2
180	он сам	11	2
181	и более	2	2
182	культуры и	2	2
