N	2gram	Tiupa_Lite	Myslijsy
1	потому что	5	182
2	то есть	11	142
3	и в	26	121
4	может быть	24	107
5	в том	22	103
6	то что	14	83
7	в слове	3	78
8	для нас	3	75
9	что в	7	73
10	и не	19	73
11	только в	8	72
12	не только	29	67
13	а не	28	67
14	таким образом	4	64
15	том что	19	59
16	так как	2	59
17	в этом	19	59
18	но и	25	59
19	то же	13	56
20	не в	11	54
21	в себе	8	53
22	не может	10	52
23	того что	7	47
24	в сознании	3	46
25	в душе	3	45
26	в нем	4	45
27	было бы	4	45
28	не есть	2	42
29	как и	13	42
30	так что	4	39
31	вместе с	5	39
32	мы не	5	38
33	что и	3	38
34	так и	7	37
35	при этом	23	37
36	как в	5	37
37	тем что	6	33
38	и что	2	32
39	по отношению	6	30
40	а в	5	30
41	но не	8	29
42	что не	3	29
43	между тем	2	29
44	вовсе не	3	28
45	для него	6	28
46	могут быть	4	27
47	и т	2	26
48	то и	5	26
49	не было	5	26
50	отношению к	4	26
51	в то	12	24
52	с тем	2	23
53	как бы	8	23
54	но в	5	22
55	а потому	4	22
56	не имеет	2	22
57	с другой	11	22
58	то это	2	22
59	не менее	11	21
60	в ней	4	20
61	в одном	2	20
62	это не	4	20
63	мысль о	2	20
64	тем самым	8	19
65	и как	2	19
66	в сознание	3	19
67	с ним	2	19
68	есть не	2	19
69	и то	3	19
70	из этих	2	19
71	но это	2	19
72	тем не	4	19
73	о том	3	19
74	того же	5	19
75	очевидно что	2	18
76	для того	2	18
77	еще не	4	18
78	тогда как	20	18
79	по поводу	2	18
80	бы не	3	18
81	в самом	4	18
82	что я	4	18
83	в его	9	17
84	слова и	6	17
85	по крайней	2	17
86	крайней мере	2	17
87	со стороны	6	17
88	точки зрения	8	17
89	во всяком	3	17
90	не можем	2	17
91	уже в	7	17
92	слова в	2	17
93	в своем	12	16
94	к тому	3	16
95	а только	2	16
96	если б	2	16
97	на то	2	16
98	и на	5	16
99	в этих	2	15
100	с одной	9	15
101	тому как	4	15
102	и тем	4	15
103	что он	8	15
104	прежде всего	14	15
105	быть может	2	15
106	в свою	2	15
107	уже не	9	15
108	свою очередь	2	14
109	в действительности	2	14
110	связи с	7	14
111	то в	3	14
112	столь же	5	14
113	все же	6	14
114	во всех	4	14
115	же время	12	14
116	т п	2	13
117	например в	3	13
118	из них	5	13
119	и его	7	13
120	как на	3	13
121	никогда не	5	12
122	от него	2	12
123	человека и	2	12
124	друг друга	5	12
125	одно из	3	12
126	как мы	2	12
127	тем более	2	12
128	человеческого духа	2	12
129	что такое	2	12
130	в чем	2	12
131	относится к	3	12
132	другой стороны	5	12
133	в каждом	2	12
134	всяком случае	2	12
135	в силу	4	11
136	той же	5	11
137	только на	3	11
138	что для	2	11
139	все что	3	11
140	его в	4	11
141	же в	6	11
142	подобно тому	4	11
143	и только	4	11
144	быть не	2	11
145	одной стороны	8	10
146	но тем	4	10
147	хотя бы	3	10
148	тем же	5	10
149	тех пор	2	10
150	так в	6	10
151	и мы	2	10
152	в словах	2	10
153	он не	4	10
154	и с	4	10
155	и есть	3	10
156	и других	4	9
157	поэзии и	3	9
158	во многих	3	9
159	и даже	9	9
160	в сравнении	2	9
161	себе не	2	9
162	далеко не	4	9
163	с точки	4	9
164	и того	2	9
165	самом деле	2	9
166	один из	7	9
167	в целом	10	9
168	до тех	2	9
169	не как	4	8
170	в глазах	4	8
171	этом случае	2	8
172	художественное произведение	2	8
173	что есть	2	8
174	мы в	3	8
175	перестает быть	5	8
176	для себя	6	7
177	а как	2	7
178	том же	3	7
179	одном из	3	7
180	в искусстве	4	7
181	во втором	3	7
182	себя и	3	7
183	все эти	2	7
184	за пределы	3	7
185	превращается в	2	7
186	с этой	6	7
187	в своих	5	7
188	не более	2	7
189	но как	3	7
190	для понимания	2	7
191	даже и	2	7
192	самого себя	3	7
193	в данном	7	7
194	на это	2	7
195	к этому	2	7
196	не с	2	7
197	в жизни	7	7
198	несмотря на	3	7
199	в виду	4	6
200	как он	2	6
201	в своей	5	6
202	должна быть	3	6
203	в этой	7	6
204	никак не	2	6
205	в мире	9	6
206	у нас	5	6
207	таких же	2	6
208	на нее	2	6
209	то он	3	6
210	все более	3	6
211	в каждой	2	6
212	для всех	5	6
213	в их	3	6
214	себе в	3	6
215	от языка	2	6
216	в сущности	5	6
217	да и	3	6
218	ни было	2	6
219	что его	3	6
220	не могло	3	6
221	при котором	2	6
222	жизни и	6	6
223	ничего общего	2	6
224	же и	3	6
225	у него	5	6
226	ни был	2	6
227	лишь в	4	6
