N	2gram	Bakhtin_Fr	PoTuStor
1	может быть	11	17
2	и в	105	16
3	и пр	5	12
4	мы можем	2	9
5	в этом	22	9
6	таким образом	5	9
7	прежде всего	26	9
8	и с	8	8
9	точки зрения	10	8
10	совершенно не	5	8
11	не может	9	8
12	и его	24	8
13	сказать что	12	7
14	не только	24	7
15	с его	9	7
16	и это	3	6
17	с точки	6	6
18	конечно не	2	6
19	самом деле	3	6
20	и к	7	6
21	для него	12	6
22	при этом	10	6
23	все эти	15	5
24	как бы	33	5
25	еще не	8	5
26	в чем	2	5
27	в него	2	5
28	отношение к	9	5
29	как мы	12	4
30	и на	25	4
31	все это	16	4
32	на самом	6	4
33	его в	7	4
34	в его	24	4
35	но и	20	4
36	и не	34	4
37	и все	7	4
38	но в	16	4
39	в этой	11	4
40	с ее	3	4
41	и наконец	2	4
42	так как	11	4
43	и их	3	4
44	все что	2	4
45	только в	16	4
46	в нем	16	4
47	хотя бы	2	4
48	с ними	2	4
49	можно сказать	4	4
50	так и	16	4
51	мысли и	4	4
52	и даже	10	4
53	и она	2	3
54	что в	4	3
55	жизни и	14	3
56	и как	2	3
57	и потому	14	3
58	на этой	5	3
59	тех же	3	3
60	а в	4	3
61	в том	17	3
62	их в	3	3
63	по сравнению	2	3
64	и вот	5	3
65	в общем	4	3
66	между ними	4	3
67	в области	10	3
68	до сих	7	3
69	в основном	4	3
70	только на	3	3
71	во время	14	3
72	большинстве случаев	2	3
73	в большинстве	2	3
74	сравнению с	2	3
75	в этих	6	3
76	отношения к	5	3
77	с их	7	3
78	то что	7	3
79	во всех	13	3
80	мира и	4	3
81	могут быть	4	3
82	сих пор	7	3
83	на язык	2	3
84	всяком случае	2	3
85	учение о	2	3
86	в одном	8	3
87	к себе	3	3
88	и др	32	3
89	на этом	2	3
90	во всяком	2	3
91	и значение	2	3
92	том что	9	3
93	в основе	8	3
94	один из	5	2
95	никогда не	11	2
96	для нас	5	2
97	что мы	2	2
98	по своему	9	2
99	мы видим	2	2
100	есть и	2	2
101	с нею	2	2
102	на них	3	2
103	в них	13	2
104	здесь же	3	2
105	три основных	2	2
106	в жизни	7	2
107	и действительно	2	2
108	рождения и	2	2
109	в мир	2	2
110	и вообще	5	2
111	и для	3	2
112	что не	3	2
113	нам кажется	2	2
114	другими словами	2	2
115	и по	3	2
116	что и	2	2
117	не менее	2	2
118	ее в	2	2
119	было бы	4	2
120	не могут	4	2
121	и других	6	2
122	о том	5	2
123	то же	6	2
124	как и	15	2
125	что он	5	2
126	так же	2	2
127	образов и	5	2
128	в своей	8	2
129	себя и	2	2
130	из этих	7	2
131	но как	3	2
132	в самом	7	2
133	в начале	4	2
134	в свое	6	2
135	не на	2	2
136	в частности	6	2
137	и вся	2	2
138	связанные с	2	2
139	он не	3	2
140	у него	2	2
141	во всей	4	2
142	со всеми	2	2
143	при всей	2	2
144	и о	4	2
145	оно не	2	2
146	всех его	3	2
147	за пределы	10	2
148	к этому	2	2
149	из тех	2	2
150	его целом	2	2
151	и образы	4	2
152	нет и	2	2
153	поэтому и	5	2
154	связанных с	4	2
155	не знает	6	2
156	в пределах	3	2
157	и т.п	26	2
158	и так	2	2
159	всех других	2	2
160	и этим	2	2
161	есть в	6	2
162	почти не	2	2
163	мы уже	18	2
164	на ранних	2	2
165	всей их	4	2
166	с ним	6	2
167	на протяжении	9	2
168	характерно для	3	2
169	но это	5	2
