N	2gram	Medvedev_F	Dialekti
1	не есть	4	181
2	т е	50	159
3	и не	34	120
4	и т	22	82
5	по себе	10	79
6	а не	11	78
7	и в	54	77
8	т д	11	75
9	точки зрения	21	72
10	может быть	30	71
11	не только	14	66
12	то что	14	59
13	ничего не	5	54
14	не может	26	53
15	и даже	7	47
16	так как	4	46
17	с точки	17	46
18	потому что	2	45
19	как бы	10	43
20	ни в	3	42
21	и что	2	42
22	не имеет	2	41
23	вовсе не	18	41
24	в том	17	40
25	что такое	2	39
26	в этом	39	39
27	то же	16	39
28	в себе	4	38
29	том что	3	37
30	что он	8	37
31	прежде всего	34	37
32	это не	4	36
33	так что	2	36
34	она есть	2	35
35	что в	10	34
36	в нем	25	34
37	и все	9	33
38	того что	7	33
39	но и	18	32
40	все это	11	31
41	ясно что	3	31
42	и как	6	30
43	отнюдь не	13	30
44	сказать что	3	30
45	так и	24	29
46	было бы	10	29
47	как и	18	28
48	никогда не	6	27
49	в виду	2	26
50	не в	16	26
51	сама по	2	26
52	есть только	3	25
53	и пр	30	25
54	говорить о	4	25
55	учение о	4	25
56	если бы	8	24
57	но это	4	24
58	и вот	2	23
59	в то	14	23
60	это и	7	23
61	что оно	4	23
62	таким образом	28	23
63	но что	2	22
64	она не	8	21
65	что не	4	21
66	должна быть	11	21
67	в чем	2	21
68	только в	6	20
69	как раз	8	20
70	что и	10	20
71	совершенно не	5	20
72	уже не	9	20
73	и с	17	20
74	в таком	2	20
75	и притом	2	19
76	в своем	12	19
77	как это	8	19
78	не менее	12	19
79	и это	4	19
80	в самом	17	19
81	и его	27	19
82	что же	6	18
83	с другой	8	18
84	хотя бы	10	18
85	же время	13	18
86	ни на	5	18
87	жизни и	10	18
88	в основе	7	17
89	в сущности	3	17
90	можно сказать	2	17
91	должно быть	13	17
92	в особенности	7	17
93	в своей	16	16
94	мы не	6	16
95	кроме того	3	16
96	только не	2	16
97	сам по	2	16
98	к нему	3	16
99	тем не	2	16
100	конечно не	5	16
101	и о	3	15
102	быть и	5	15
103	то в	3	15
104	как таковой	8	15
105	все же	8	15
106	так же	5	15
107	в виде	2	15
108	самом деле	12	15
109	хотя и	3	15
110	же и	2	15
111	на то	2	15
112	несмотря на	2	15
113	и потому	9	14
114	жизнь и	3	14
115	и ее	15	14
116	с ним	3	14
117	даже и	5	14
118	же это	2	14
119	а именно	3	14
120	не было	7	14
121	и только	5	14
122	ни о	3	13
123	не то	3	13
124	но в	9	13
125	в ней	15	13
126	отличается от	4	13
127	он не	8	13
128	что именно	2	13
129	что они	4	13
130	другой стороны	5	13
131	с ее	7	13
132	в смысле	2	13
133	и к	7	13
134	вопрос о	3	12
135	могут быть	7	12
136	еще не	6	12
137	все эти	12	12
138	иной раз	2	12
139	именно в	12	12
140	и если	2	12
141	вещей и	3	12
142	перед нами	3	12
143	не могут	8	12
144	но как	2	12
145	даже не	2	12
146	и ни	2	12
147	а в	11	12
148	и может	6	12
149	с этим	6	12
150	но не	5	12
151	не о	7	11
152	та же	3	11
153	нисколько не	2	11
154	должны быть	6	11
155	мы говорим	4	11
156	от того	2	11
157	и тем	3	11
158	только на	8	11
159	ничем не	4	11
160	его не	2	11
161	в них	4	11
162	что если	2	11
163	в данном	2	11
164	из них	5	11
165	или в	2	11
166	может и	2	10
167	в душе	2	10
168	от этого	3	10
169	к тому	6	10
170	в ее	10	10
171	е в	2	10
172	как мы	10	10
173	в его	30	10
174	за пределы	2	10
175	это было	3	10
176	для того	3	10
177	с этой	4	10
178	или другой	2	10
179	и для	5	10
180	что для	3	10
181	оно не	6	10
182	или иное	2	10
183	если же	4	10
184	чтобы не	2	10
185	в их	16	10
