N	2gram	Trubetskoy	Stilisti
1	и в	14	42
2	как бы	4	30
3	не только	9	28
4	прежде всего	8	22
5	и т.д	4	21
6	хотя бы	5	18
7	то же	11	16
8	но и	10	16
9	и не	19	14
10	не может	22	13
11	может быть	9	13
12	как и	4	12
13	точки зрения	11	11
14	мы уже	2	11
15	в себе	9	10
16	и как	3	10
17	отнюдь не	7	10
18	общественной жизни	2	10
19	мы должны	7	10
20	в этом	17	10
21	в то	10	9
22	для того	6	9
23	все же	4	9
24	то что	13	9
25	при этом	5	9
26	тем самым	2	8
27	так как	4	8
28	с тем	6	8
29	в ней	2	8
30	что же	4	8
31	таким образом	11	8
32	никогда не	5	7
33	и от	2	7
34	мы можем	2	7
35	же время	10	7
36	потому что	5	7
37	только в	5	7
38	а не	2	7
39	и на	5	7
40	того чтобы	8	7
41	было бы	5	7
42	и тем	2	7
43	или иной	5	6
44	во всех	5	6
45	не в	4	6
46	в области	2	6
47	точку зрения	4	6
48	в конце	3	6
49	в нем	5	6
50	в его	4	6
51	в этой	4	6
52	и то	4	5
53	того или	2	5
54	в сознании	3	5
55	и наконец	2	5
56	самом деле	7	5
57	а с	2	5
58	и является	2	5
59	тому что	2	5
60	а в	5	5
61	но в	2	5
62	или иного	2	5
63	в самом	3	5
64	и с	7	5
65	с точки	9	5
66	вместе с	4	5
67	да и	3	4
68	что это	3	4
69	так же	2	4
70	на это	2	4
71	его в	4	4
72	если бы	6	4
73	лишь в	3	4
74	были бы	2	4
75	того что	3	4
76	можно было	4	4
77	к тому	7	4
78	о том	7	4
79	что такое	2	4
80	уже не	2	4
81	и к	6	4
82	той или	3	4
83	не просто	2	4
84	все это	6	4
85	в качестве	3	4
86	себя в	4	4
87	не к	2	4
88	на самом	6	3
89	том что	9	3
90	в будущем	3	3
91	в начале	2	3
92	но для	2	3
93	деятельности и	2	3
94	и даже	2	3
95	от того	4	3
96	целый ряд	2	3
97	конце концов	3	3
98	в том	17	3
99	он должен	5	3
100	в частности	2	3
101	еще не	3	3
102	только на	2	3
103	ведь в	2	3
104	совершенно не	2	3
105	его и	2	3
106	и вот	2	3
107	к той	2	3
108	для него	6	3
109	не так	2	3
110	и для	6	3
111	в котором	2	3
112	их в	2	3
113	что оно	3	3
114	если не	2	3
115	из которых	5	3
116	не будет	7	3
117	главным образом	3	3
118	из них	3	3
119	для нас	2	3
120	представить себе	2	3
121	несмотря на	3	3
122	жизни и	4	3
123	что и	3	3
124	все эти	2	3
125	конечно не	5	3
126	связи с	3	3
127	отношения к	2	3
128	этом случае	3	3
129	между тем	5	3
130	вряд ли	3	3
131	был и	3	2
132	для этого	3	2
133	вопрос о	5	2
134	и потому	3	2
135	помнить что	2	2
136	с этим	2	2
137	для всех	6	2
138	из этих	3	2
139	на эту	2	2
140	но даже	2	2
141	должно быть	3	2
142	по отношению	2	2
143	с самим	2	2
144	при условии	3	2
145	друг друга	3	2
146	тем что	3	2
147	в их	4	2
148	том же	2	2
149	в значительной	3	2
150	и при	6	2
151	в этих	2	2
152	что он	6	2
153	и ни	3	2
154	ни к	7	2
155	себе и	4	2
156	к чему	2	2
157	сих пор	5	2
158	не должен	2	2
159	одной из	3	2
160	в мире	4	2
161	но не	4	2
162	и этот	3	2
163	к нему	2	2
164	но мы	3	2
165	зависит от	2	2
166	в своих	6	2
167	даже и	2	2
168	не есть	3	2
169	этот вопрос	2	2
170	и те	2	2
171	между собой	5	2
172	место в	2	2
173	для них	3	2
174	не было	3	2
175	но это	2	2
176	в своей	5	2
177	и тогда	2	2
178	или в	3	2
179	таким же	3	2
180	он не	5	2
181	друг другу	2	2
182	с ним	2	2
183	мы говорили	3	2
184	ясно что	2	2
