N	2gram	Tiupa_Anal	Otkroven
1	у него	5	22
2	и в	30	19
3	но и	29	13
4	и не	33	13
5	в этом	31	12
6	не только	30	11
7	не в	17	11
8	а не	25	11
9	может быть	33	11
10	и все	5	10
11	в нем	3	10
12	вопрос о	2	10
13	никогда не	4	9
14	потому что	3	9
15	прежде всего	8	9
16	он был	3	8
17	ни с	5	7
18	лишь в	12	7
19	в его	15	7
20	нет ничего	2	7
21	от него	2	7
22	он не	4	7
23	в глубине	2	7
24	как и	23	6
25	все это	2	6
26	для него	5	5
27	а в	11	5
28	в том	36	5
29	о его	5	5
30	в самом	12	5
31	то что	11	5
32	в этой	12	5
33	отношение к	2	5
34	и его	9	4
35	что в	7	4
36	того чтобы	3	4
37	все эти	3	4
38	человек и	2	4
39	не может	26	4
40	что не	3	4
41	с его	3	4
42	в себе	17	3
43	о том	11	3
44	это не	7	3
45	к нему	4	3
46	не могут	3	3
47	что он	3	3
48	было бы	4	3
49	для того	4	3
50	еще не	5	3
51	и есть	3	3
52	все что	3	3
53	в этих	3	3
54	только одно	2	3
55	никто не	3	3
56	как бы	15	3
57	хотя бы	4	3
58	могут быть	12	3
59	с ним	6	3
60	быть может	2	3
61	того что	5	3
62	как к	2	2
63	одно из	2	2
64	и то	4	2
65	сказать что	2	2
66	и на	10	2
67	что же	3	2
68	мысль о	2	2
69	и для	3	2
70	что все	2	2
71	человека к	4	2
72	ничего не	10	2
73	и с	2	2
74	что и	5	2
75	этого мира	2	2
76	ее в	2	2
77	и потому	2	2
78	в ее	2	2
79	в своем	2	2
80	тем что	2	2
81	но в	11	2
82	том что	21	2
83	для человека	2	2
84	все же	4	2
85	ко всем	2	2
86	в своей	7	2
87	он в	5	2
88	ведь это	2	2
89	так как	3	2
90	по себе	6	2
91	так что	3	2
92	не все	3	2
93	должно быть	2	2
94	и о	3	2
95	не есть	8	2
96	к этому	2	2
97	и к	5	2
98	так и	16	2
99	в которой	3	2
100	личности и	3	2
101	хотя и	4	2
102	всего в	3	2
103	в другом	4	2
104	ничто не	2	2
105	его в	2	2
