N	2gram	Propp_Isto	PoTuStor
1	может быть	31	17
2	и в	44	16
3	и пр	6	12
4	мы можем	6	9
5	в этом	20	9
6	таким образом	21	9
7	прежде всего	7	9
8	и с	8	8
9	точки зрения	3	8
10	совершенно не	2	8
11	не может	10	8
12	и его	15	8
13	сказать что	2	7
14	не только	17	7
15	с его	3	7
16	и это	5	6
17	самом деле	2	6
18	и к	3	6
19	для него	2	6
20	при этом	4	6
21	ни в	2	5
22	все эти	11	5
23	как бы	4	5
24	еще не	16	5
25	в него	5	5
26	отношение к	3	5
27	как мы	9	4
28	и на	11	4
29	все это	4	4
30	его в	17	4
31	в его	16	4
32	но и	16	4
33	и не	19	4
34	и все	4	4
35	но в	7	4
36	в этой	5	4
37	но мы	5	4
38	и наконец	2	4
39	так как	19	4
40	все что	5	4
41	и может	2	4
42	только в	8	4
43	в нем	10	4
44	хотя бы	2	4
45	с ними	4	4
46	можно сказать	2	4
47	так и	9	4
48	и даже	4	4
49	и она	3	3
50	что в	18	3
51	даже не	2	3
52	жизни и	4	3
53	и оно	2	3
54	и как	5	3
55	и потому	2	3
56	на этой	5	3
57	тех же	2	3
58	а в	9	3
59	в том	13	3
60	их в	7	3
61	и вот	4	3
62	с другими	4	3
63	между ними	2	3
64	до сих	7	3
65	в основном	5	3
66	только на	2	3
67	и есть	3	3
68	во время	12	3
69	но оно	3	3
70	в этих	7	3
71	как это	5	3
72	то что	16	3
73	во всех	3	3
74	мира и	2	3
75	ступенях развития	2	3
76	могут быть	9	3
77	сих пор	7	3
78	вместе с	26	3
79	в одном	2	3
80	к себе	3	3
81	и др	6	3
82	на этом	5	3
83	мы знаем	12	3
84	том что	12	3
85	в основе	3	3
86	один из	6	2
87	никогда не	5	2
88	для нас	6	2
89	что мы	4	2
90	может иметь	2	2
91	мы видим	12	2
92	есть и	3	2
93	на них	2	2
94	в них	3	2
95	здесь же	2	2
96	и действительно	6	2
97	к ним	2	2
98	в одно	2	2
99	для этого	3	2
100	и вообще	3	2
101	же как	12	2
102	и для	3	2
103	что не	3	2
104	что это	8	2
105	другими словами	4	2
106	и по	3	2
107	а на	2	2
108	что и	11	2
109	не менее	6	2
110	еще совершенно	2	2
111	ее в	8	2
112	во сне	5	2
113	и мы	3	2
114	было бы	2	2
115	не могут	2	2
116	и других	5	2
117	о том	11	2
118	то же	9	2
119	они не	5	2
120	с этим	7	2
121	как и	12	2
122	что он	29	2
123	так же	14	2
124	того же	3	2
125	и таким	2	2
126	в своей	3	2
127	мы не	6	2
128	из этих	5	2
129	но как	2	2
130	находится в	2	2
131	знаем что	10	2
132	с этой	4	2
133	в свое	2	2
134	в частности	9	2
135	связанные с	5	2
136	он не	5	2
137	у него	7	2
138	ту же	2	2
139	и о	2	2
140	к этому	5	2
141	в развитии	2	2
142	в пределах	5	2
143	что оно	4	2
144	ранних ступенях	2	2
145	и этим	6	2
146	есть в	2	2
147	в этот	2	2
148	мы уже	6	2
149	с ним	9	2
150	но это	10	2
