N	2gram	Medvedev_V	KulturaY
1	и т	25	143
2	т е	18	102
3	т п	9	93
4	и в	26	84
5	в том	15	74
6	не только	26	60
7	точки зрения	3	59
8	в этом	29	57
9	было бы	8	53
10	и не	20	52
11	может быть	23	47
12	том что	8	44
13	того чтобы	3	44
14	что в	11	44
15	т д	16	42
16	для того	3	41
17	в самом	4	41
18	у нас	3	38
19	хотя бы	20	37
20	в области	2	34
21	таким образом	32	33
22	а не	7	33
23	можно было	2	32
24	если бы	3	32
25	не в	6	30
26	прежде всего	13	30
27	в его	15	30
28	все же	6	29
29	того что	3	28
30	не менее	2	28
31	все эти	8	28
32	в силу	14	26
33	не может	17	25
34	то что	7	25
35	вовсе не	3	25
36	еще не	2	24
37	с другой	11	24
38	так и	6	23
39	то же	10	23
40	только в	8	23
41	во всяком	2	20
42	но и	10	20
43	по себе	2	20
44	что он	4	19
45	но в	2	19
46	зависимости от	5	19
47	о том	10	19
48	всяком случае	2	19
49	между тем	6	18
50	связи с	5	18
51	все это	13	18
52	в качестве	12	18
53	к тому	5	18
54	с тем	4	18
55	как бы	5	18
56	вместе с	8	18
57	это не	7	17
58	как раз	4	17
59	как это	12	17
60	другой стороны	8	17
61	в виду	4	16
62	в зависимости	6	16
63	что не	3	16
64	что и	3	16
65	но не	2	16
66	по отношению	7	15
67	один из	6	15
68	а в	3	15
69	того как	2	15
70	должно быть	2	15
71	лишь в	2	15
72	том чтобы	2	15
73	именно в	3	15
74	не было	7	15
75	как на	3	15
76	в них	5	14
77	в связи	4	14
78	хотя и	2	14
79	сказать что	5	14
80	мы имеем	3	14
81	отношению к	7	14
82	сих пор	2	14
83	также и	2	14
84	что такое	2	14
85	в ней	2	14
86	до сих	2	14
87	не могут	10	13
88	это и	6	13
89	по существу	4	13
90	между прочим	2	13
91	крайней мере	2	13
92	что она	2	13
93	по крайней	2	13
94	в пределах	5	13
95	в этой	4	13
96	в которых	3	13
97	и его	6	13
98	этот вопрос	3	12
99	тогда когда	2	12
100	могут быть	8	12
101	в результате	5	12
102	говорить о	2	12
103	еще и	2	11
104	или иной	2	11
105	должен быть	4	11
106	в их	5	11
107	в своем	8	11
108	из этих	7	11
109	должна быть	2	11
110	в нем	7	11
111	этом отношении	14	11
112	он не	2	11
113	так же	3	10
114	в то	6	10
115	к этому	9	10
116	они не	2	10
117	в общем	2	10
118	как и	7	10
119	ту же	2	10
120	бы и	6	10
121	того или	2	10
122	с этим	3	10
123	в нашей	4	10
124	бы в	3	10
125	в особенности	2	10
126	от того	2	10
127	после того	2	10
128	очевидно что	7	9
129	этого рода	2	9
130	ли не	2	9
131	в целом	5	9
132	что все	4	9
133	и для	2	9
134	в своей	4	9
135	можно сказать	4	9
136	в которой	2	9
137	на то	2	9
138	но для	2	9
139	что мы	2	9
140	и есть	5	9
141	в частности	12	8
142	мы видели	3	8
143	в своих	2	8
144	в чем	2	8
145	с одной	2	8
146	что они	3	8
147	с его	4	8
148	да и	2	8
149	и как	3	8
150	в статье	4	8
151	об этом	9	8
152	тому что	7	8
153	заключается в	2	8
154	далеко не	3	8
155	отнюдь не	4	8
156	же в	7	8
157	в процессе	17	7
158	как он	3	7
159	и потому	2	7
160	как например	2	7
161	она не	3	7
162	следует что	2	7
163	одной стороны	2	7
164	с ними	4	7
165	но вот	2	7
166	например в	3	7
167	никак не	3	7
168	так сказать	2	7
169	как о	3	7
170	же и	3	7
171	не следует	8	7
172	чуть ли	2	7
173	в котором	3	7
174	когда он	4	7
175	в одном	5	7
176	внимание на	2	7
177	сводится к	3	7
178	в слове	3	7
179	даже в	5	6
180	перед нами	5	6
181	в себе	6	6
182	вообще и	2	6
183	роль в	4	6
184	на этом	2	6
185	е в	2	6
186	это только	4	6
187	не всегда	2	6
188	п в	3	6
189	мы знаем	3	6
190	которые в	2	6
191	можно ли	2	6
192	этой точки	2	6
193	что оно	3	6
194	не столько	2	6
195	в ее	4	6
196	должны быть	2	6
197	на язык	2	6
198	по поводу	4	6
199	только то	2	6
200	то это	2	6
201	отличается от	2	6
202	или в	3	6
203	только для	2	6
204	же время	5	6
205	так называемые	3	6
206	не с	2	6
207	только что	4	6
208	приводит к	6	6
209	главным образом	7	6
210	чтобы не	2	6
211	в сфере	2	6
212	на основе	5	6
213	никогда не	5	5
214	в конечном	7	5
215	к его	2	5
216	и к	3	5
217	относится к	2	5
218	в форме	3	5
219	в другом	2	5
220	а во-вторых	2	5
221	в конце	3	5
222	и у	2	5
223	и при	5	5
224	или менее	6	5
225	более или	6	5
226	в большей	2	5
227	даже и	3	5
228	на вопрос	2	5
229	всего лишь	3	5
230	также что	2	5
231	но как	3	5
232	смысле слова	2	5
233	ни одного	2	5
234	отметить что	2	5
235	и от	3	5
236	и он	3	5
237	всех этих	3	5
238	и даже	2	5
239	могло бы	2	5
240	у него	6	5
241	и их	3	5
242	только не	2	5
243	только о	2	5
244	но с	2	5
245	не о	2	4
246	все они	2	4
247	его в	3	4
248	о чем	2	4
249	в каждом	2	4
250	в науке	2	4
251	так например	2	4
252	себе и	2	4
253	в различных	2	4
254	а вот	3	4
255	между ними	3	4
256	что так	2	4
257	же как	2	4
258	вот почему	5	4
259	что даже	2	4
260	как известно	2	4
261	в году	7	4
262	утверждать что	5	4
263	ли это	2	4
264	эта не	2	4
265	на это	2	4
266	конечном счете	5	4
267	и по	3	4
268	бы не	2	4
269	по словам	8	4
270	понимать как	2	4
271	формы и	2	4
272	что для	4	4
273	будто бы	2	4
274	из которых	2	4
275	из них	11	4
276	как об	2	4
277	этой области	3	4
278	само собою	2	4
279	подчеркнуть что	2	4
280	например не	2	3
281	и непосредственно	2	3
282	слова не	2	3
283	том как	3	3
284	примеров можно	2	3
285	например что	3	3
286	об образе	2	3
287	противном случае	2	3
288	который в	2	3
289	конце концов	2	3
290	а как	2	3
291	том же	6	3
292	в романе	4	3
293	в искусстве	6	3
294	образом в	3	3
295	от них	2	3
296	ознакомиться с	2	3
297	не приходится	2	3
298	на него	2	3
299	к ним	2	3
300	мы наблюдаем	2	3
301	естественно что	3	3
302	представить себе	2	3
303	или меньшей	3	3
304	о его	2	3
305	иметь в	2	3
306	и дальше	2	3
307	и может	2	3
308	во время	4	3
309	даже не	2	3
310	показывает что	2	3
311	если в	2	3
312	в стихах	2	3
313	меньшей степени	2	3
314	образом не	3	3
315	нет и	3	3
316	из своих	2	3
317	что нет	2	3
318	в последнем	2	3
