N	2gram	Losev_Vlad	Hudozhes
1	в качестве	7	31
2	то есть	5	26
3	и в	56	23
4	не только	35	20
5	в том	26	20
6	может быть	12	19
7	при этом	5	19
8	в частности	4	18
9	и не	33	16
10	но и	26	14
11	а в	20	13
12	в себе	5	13
13	я в	4	13
14	но не	5	13
15	а не	5	13
16	то же	10	12
17	такого рода	4	12
18	в этом	30	12
19	и его	12	12
20	так и	11	12
21	как бы	5	11
22	точки зрения	4	11
23	в его	18	11
24	но в	19	10
25	не в	12	9
26	том что	22	9
27	не может	12	9
28	с другой	3	9
29	особого рода	2	8
30	в то	15	8
31	себя в	6	8
32	в области	3	8
33	в самом	3	7
34	по своей	4	7
35	отношение к	7	7
36	я и	2	7
37	лишь в	3	7
38	в своей	7	7
39	только в	11	7
40	же время	7	7
41	как это	11	7
42	что в	24	7
43	не столько	4	7
44	более или	5	6
45	мы имеем	2	6
46	уже не	6	6
47	другой стороны	3	6
48	а также	12	6
49	в нем	7	6
50	можно сказать	10	6
51	с его	15	6
52	или менее	5	6
53	тем самым	2	5
54	ни в	4	5
55	или иначе	3	5
56	между ними	2	5
57	место в	2	5
58	как к	4	5
59	для того	4	5
60	того чтобы	4	5
61	со стороны	5	5
62	в их	2	5
63	что он	22	5
64	то что	30	5
65	не менее	9	5
66	прежде всего	5	5
67	того что	6	5
68	для него	16	5
69	и то	13	4
70	сказать что	14	4
71	в отношении	5	4
72	его в	3	4
73	это не	3	4
74	для себя	6	4
75	к тому	5	4
76	и как	7	4
77	еще не	2	4
78	и тем	2	4
79	и что	11	4
80	в этих	5	4
81	он не	13	4
82	и о	6	4
83	отношения к	4	4
84	в своем	10	4
85	хотя и	9	4
86	со своей	5	4
87	так или	3	4
88	даже в	4	3
89	в жизни	4	3
90	к нему	6	3
91	и для	4	3
92	по своему	5	3
93	и притом	5	3
94	как уже	2	3
95	в произведении	2	3
96	произведения как	2	3
97	как и	7	3
98	того же	11	3
99	их в	3	3
100	говоря о	2	3
101	потому что	16	3
102	о чем	6	3
103	что можно	4	3
104	в целом	3	3
105	к его	5	3
106	в свою	3	3
107	и к	10	3
108	во всех	4	3
109	личности и	2	3
110	человека с	2	3
111	тем не	8	3
112	а именно	4	3
113	из этих	5	3
114	связи с	7	3
115	и на	7	3
116	если бы	2	3
117	в той	2	3
118	в стихотворении	3	3
119	как раз	7	3
120	с этой	4	3
121	в связи	9	3
122	таким образом	6	3
123	в таком	2	3
124	и сам	7	3
125	в которой	8	3
126	в момент	2	3
127	этом смысле	4	3
128	отношении к	2	3
129	в одном	2	3
130	известной степени	2	3
131	но он	7	3
132	никогда не	15	2
133	о том	13	2
134	одной из	2	2
135	в каком	3	2
136	как в	6	2
137	начиная с	3	2
138	не могли	2	2
139	всей своей	2	2
140	и это	4	2
141	еще один	2	2
142	и потому	8	2
143	то в	6	2
144	еще и	10	2
145	в чем	4	2
146	что такое	3	2
147	для меня	8	2
148	именно в	4	2
149	жизни в	3	2
150	но как	6	2
151	все эти	6	2
152	тем более	4	2
153	времени в	2	2
154	что она	2	2
155	за пределы	3	2
156	говорит что	4	2
157	дело не	3	2
158	но она	4	2
159	с самим	2	2
160	личности с	2	2
161	так же	4	2
162	во мне	2	2
163	об этом	13	2
164	свою очередь	2	2
165	но на	3	2
166	и по	10	2
167	он и	8	2
168	я не	8	2
169	отнюдь не	3	2
170	один из	4	2
171	собственно говоря	4	2
172	на котором	2	2
173	в них	5	2
174	на свою	3	2
175	по себе	3	2
176	в порядке	2	2
177	не вполне	3	2
178	не могло	2	2
179	несмотря на	7	2
180	к жизни	2	2
181	и весьма	2	2
182	но во	2	2
183	на этом	3	2
184	это и	2	2
185	и больше	3	2
186	все это	7	2
187	с ними	2	2
188	которого он	2	2
189	о его	7	2
190	из этого	6	2
191	что и	6	2
192	всей его	2	2
193	то ни	2	2
194	от своего	2	2
195	в году	54	2
196	и особенно	6	2
197	одним из	3	2
198	у одного	2	2
199	к своему	4	2
200	и другие	2	2
201	своей жизни	5	2
202	в нашем	5	2
203	в этой	4	2
204	но только	3	2
205	ни к	2	2
206	говорит в	2	2
207	а с	5	2
208	с ним	10	2
209	этих двух	2	2
210	ними и	2	2
211	и который	2	2
212	вовсе не	8	2
213	у него	28	2
214	бы то	2	2
215	здесь не	6	2
