N	2gram	Vinokur_Ku	Stilisti
1	и в	44	42
2	как бы	11	30
3	не только	29	28
4	прежде всего	14	22
5	хотя бы	19	18
6	то же	12	16
7	но и	13	16
8	и не	23	14
9	социального общения	3	14
10	не может	13	13
11	может быть	25	13
12	как и	3	12
13	точки зрения	25	11
14	что мы	6	11
15	в себе	4	10
16	и как	3	10
17	отнюдь не	5	10
18	мы должны	2	10
19	в этом	31	10
20	как мы	2	10
21	в то	4	9
22	для того	23	9
23	все же	17	9
24	то что	14	9
25	при этом	6	9
26	тем самым	5	8
27	ничего не	6	8
28	так как	16	8
29	и это	3	8
30	с тем	5	8
31	в ней	6	8
32	что же	11	8
33	таким образом	17	8
34	с его	4	8
35	никогда не	2	7
36	и от	2	7
37	в которой	7	7
38	мы можем	2	7
39	зависимости от	9	7
40	же время	4	7
41	так и	10	7
42	потому что	40	7
43	слов и	2	7
44	только в	15	7
45	а не	17	7
46	и на	8	7
47	того чтобы	25	7
48	в зависимости	7	7
49	было бы	28	7
50	и его	8	7
51	той же	5	7
52	и тем	7	7
53	или иной	3	6
54	когда мы	3	6
55	бы в	8	6
56	не в	18	6
57	но ведь	3	6
58	в области	15	6
59	язык в	7	6
60	точку зрения	2	6
61	в конце	5	6
62	речи и	8	6
63	в нем	7	6
64	в свою	4	6
65	если б	2	6
66	на его	3	6
67	в его	16	6
68	в форме	3	6
69	слова в	7	6
70	в этой	8	6
71	с помощью	12	6
72	и то	7	5
73	того или	6	5
74	и следовательно	2	5
75	в нашем	8	5
76	связанных с	2	5
77	что язык	7	5
78	мы увидим	3	5
79	слова и	8	5
80	не является	2	5
81	и их	2	5
82	самом деле	17	5
83	как это	6	5
84	а с	3	5
85	мы видели	3	5
86	но все	5	5
87	и является	4	5
88	тому что	3	5
89	а в	7	5
90	но в	11	5
91	или иного	5	5
92	в самом	20	5
93	и с	11	5
94	уже в	5	5
95	в той	6	5
96	с точки	16	5
97	в живом	2	5
98	вместе с	8	5
99	да и	5	4
100	что это	11	4
101	слов в	5	4
102	в одном	4	4
103	так же	8	4
104	так сказать	5	4
105	общения и	2	4
106	на это	3	4
107	вопроса о	7	4
108	если бы	21	4
109	то или	3	4
110	что именно	2	4
111	лишь в	6	4
112	не что	2	4
113	так называемой	2	4
114	были бы	2	4
115	свою очередь	4	4
116	слова как	5	4
117	у нас	19	4
118	к своему	2	4
119	того что	11	4
120	зрения в	2	4
121	всего в	2	4
122	так называемые	5	4
123	можно было	14	4
124	один из	8	4
125	и все	4	4
126	в каждом	3	4
127	к тому	8	4
128	о том	10	4
129	и пр	23	4
130	что такое	8	4
131	если мы	5	4
132	уже не	13	4
133	в целом	5	4
134	языка и	16	4
135	или иное	2	4
136	было в	2	4
137	не просто	7	4
138	все это	10	4
139	в качестве	12	4
140	как только	2	4
141	можно сказать	6	4
142	в слове	3	4
