N	2gram	Bakhtin_KF	FransuaR
1	и в	28	367
2	в этом	15	112
3	и не	28	101
4	и его	18	99
5	в его	42	98
6	прежде всего	4	92
7	не только	5	87
8	но и	9	84
9	как бы	9	82
10	все эти	11	79
11	вовсе не	7	77
12	как и	5	76
13	в нем	32	75
14	но в	5	75
15	и на	3	72
16	в том	6	71
17	то же	5	66
18	и все	9	66
19	так и	2	65
20	в этой	2	65
21	в то	3	63
22	все это	10	62
23	во всех	11	62
24	же время	2	55
25	что в	4	52
26	в своем	17	51
27	только в	18	48
28	том что	4	45
29	то что	7	41
30	жизни и	8	40
31	точки зрения	13	37
32	в ней	3	37
33	с его	2	36
34	может быть	45	35
35	о том	3	35
36	в себе	21	34
37	рядом с	3	32
38	он не	6	32
39	для него	13	32
40	в своей	11	31
41	до конца	3	31
42	никогда не	5	30
43	и потому	2	30
44	один из	2	30
45	потому что	2	30
46	не может	29	29
47	еще не	5	29
48	его в	5	29
49	не в	13	29
50	при этом	4	29
51	в одном	5	29
52	что он	2	29
53	в основе	5	28
54	всех этих	3	28
55	по своему	3	27
56	и их	6	27
57	все же	5	27
58	все они	2	26
59	на самом	3	25
60	в области	2	25
61	но это	6	25
62	мира и	4	25
63	отношение к	6	24
64	того чтобы	2	24
65	в ее	17	24
66	но не	12	24
67	как в	2	24
68	он и	2	24
69	времени и	4	24
70	и для	10	23
71	это не	10	23
72	в их	9	23
73	с ним	5	23
74	и здесь	7	23
75	к нему	12	23
76	а в	5	22
77	что и	7	22
78	там где	5	22
79	и других	2	22
80	тем что	3	22
81	не было	8	22
82	именно в	5	21
83	в своих	4	21
84	в себя	8	21
85	в качестве	2	21
86	что это	4	21
87	ни в	12	21
88	культуры и	5	21
89	и как	2	21
90	в виду	3	20
91	с точки	10	20
92	самом деле	3	20
93	и это	12	20
94	во всем	7	19
95	к этому	2	19
96	в ту	2	19
97	было бы	8	19
98	с ее	2	19
99	со всеми	2	18
100	здесь не	3	18
101	это и	3	18
102	весь мир	2	18
103	для того	3	17
104	но все	6	17
105	того что	3	17
106	и смерти	2	17
107	еще более	2	17
108	конечно не	7	17
109	а не	17	17
110	между тем	4	16
111	тот же	3	16
112	ничего не	3	16
113	в другом	3	16
114	дело в	2	16
115	мы не	3	14
116	в данном	2	14
117	в чем	4	14
118	в котором	24	14
119	это было	2	13
120	здесь нет	3	13
121	жизнь и	2	13
122	в жизни	2	13
123	в мире	8	13
124	и есть	10	13
125	мира в	6	13
126	и эта	2	13
127	его к	2	13
128	не знает	5	13
129	этот момент	7	12
130	лишь в	8	12
