N	3gram	Losev_Dial	DiskursI
1	в том что	12	28
2	с одной стороны	3	14
3	не может быть	4	12
4	той или иной	4	10
5	то же время	8	10
6	о том что	6	9
7	в то же	7	8
8	в этом отношении	2	8
9	по крайней мере	11	6
10	с точки зрения	18	6
11	к тому же	2	6
12	то же самое	3	5
13	одной стороны и	3	5
14	не только в	2	5
15	с другой стороны	7	5
16	и может быть	3	5
17	тем не менее	3	4
18	не в том	2	4
19	можно сказать что	6	4
20	в силу своей	2	4
21	одно и то	8	3
22	и то же	8	3
23	и в частности	4	3
24	содержит в себе	5	3
25	более или менее	5	3
26	в качестве примера	2	3
27	во всяком случае	3	3
28	как будто бы	3	3
29	на первый взгляд	2	3
30	сами по себе	4	2
31	ни о чем	2	2
32	с той или	2	2
33	и не только	4	2
34	с самого начала	2	2
35	только то что	6	2
36	времени и пространства	2	2
37	и в то	3	2
38	по себе не	7	2
