N	3gram	Vygotskiy_	EvropaiC
1	в том что	30	16
2	до сих пор	9	15
3	по отношению к	2	11
4	друг с другом	6	9
5	с точки зрения	5	8
6	на самом деле	8	7
7	мы знаем что	3	7
8	для того чтобы	41	7
9	на то что	25	7
10	друг от друга	2	6
11	мы говорили выше	2	6
12	по сравнению с	4	5
13	в самом деле	8	5
14	тот факт что	6	4
15	с другой стороны	8	4
16	в конце концов	6	4
17	в этом случае	2	4
18	может быть и	2	4
19	о том что	15	4
20	о которых мы	2	4
21	не может быть	4	4
22	вместе с тем	4	3
23	так же как	3	3
24	в данном случае	3	3
25	в целом ряде	2	3
26	и того же	2	3
27	не в состоянии	3	3
28	одного и того	2	3
29	таким образом в	2	3
30	заключается в том	9	3
31	и то что	4	3
32	с одной стороны	15	2
33	заключает в себе	6	2
34	и в том	2	2
35	в том и	3	2
36	в то время	4	2
37	во всех этих	2	2
38	мы все же	3	2
39	а с другой	5	2
40	том что он	4	2
41	друг к другу	5	2
42	именно потому что	3	2
43	принять во внимание	2	2
44	и может быть	2	2
