N	2gram	Tiupa_Anal	Hudozhes
1	в качестве	38	31
2	то есть	19	26
3	в мире	14	24
4	и в	30	23
5	не только	30	20
6	состоит в	16	20
7	в том	36	20
8	может быть	33	19
9	при этом	20	19
10	в частности	32	18
11	и не	33	16
12	тогда как	30	15
13	внутренней речи	9	14
14	но и	29	14
15	в рамках	5	13
16	литературного произведения	50	13
17	а в	11	13
18	в себе	17	13
19	я в	5	13
20	художественного текста	12	13
21	но не	13	13
22	в тексте	26	13
23	а не	25	13
24	произведение искусства	9	12
25	то же	12	12
26	такого рода	6	12
27	в этом	31	12
28	и его	9	12
29	так и	16	12
30	эстетического отношения	8	11
31	как бы	15	11
32	точки зрения	10	11
33	представляет собой	23	11
34	в его	15	11
35	сводится к	6	11
36	но в	11	10
37	по отношению	10	10
38	отношению к	9	10
39	не в	17	9
40	или иной	8	9
41	том что	21	9
42	коммуникативного события	15	9
43	художественного письма	2	9
44	присутствия в	4	9
45	не может	26	9
46	с другой	7	9
47	не сводится	2	9
48	своего рода	12	9
49	в искусстве	2	9
50	особого рода	9	8
51	в то	10	8
52	себя в	8	8
53	в принципе	8	8
54	в области	4	8
55	в самом	12	7
56	и т.п	13	7
57	по своей	6	7
58	отношение к	2	7
59	внутреннего зрения	9	7
60	я и	8	7
61	лишь в	12	7
62	в своей	7	7
63	только в	8	7
64	же время	7	7
65	как это	5	7
66	что в	7	7
67	отличие от	8	7
68	в отличие	8	7
69	в основе	6	7
70	не столько	5	7
71	в состав	3	6
72	внутреннего я	6	6
73	всего лишь	11	6
74	более или	2	6
75	мы имеем	9	6
76	искусства в	4	6
77	уже не	6	6
78	другой стороны	2	6
79	приводит к	2	6
80	а также	8	6
81	объектной организации	9	6
82	в нем	3	6
83	с ее	2	6
84	можно сказать	6	6
85	в ее	2	6
86	художественного творчества	2	6
87	с его	3	6
88	или менее	2	6
89	тем самым	9	5
90	субъектной организации	6	5
91	ни в	5	5
92	с другими	4	5
93	высказывания в	4	5
94	той или	8	5
95	или иначе	2	5
96	художественной реальности	22	5
97	самим собой	3	5
98	конечном счете	5	5
99	могут быть	12	5
100	в конечном	6	5
101	я есть	2	5
102	в художественном	4	5
103	и одновременно	4	5
104	место в	3	5
105	как к	2	5
106	не предполагает	2	5
107	иначе говоря	17	5
108	для того	4	5
109	того чтобы	3	5
110	в виду	2	5
111	в ходе	5	5
112	со стороны	5	5
113	в их	8	5
114	не является	3	5
115	что он	3	5
116	то что	11	5
117	не менее	5	5
118	прежде всего	8	5
119	того что	5	5
120	для него	5	5
121	личности в	4	4
122	и то	4	4
123	сказать что	2	4
124	в отношении	2	4
125	эстетического объекта	11	4
126	его в	2	4
127	или иного	3	4
128	художественного впечатления	24	4
129	далеко не	6	4
130	это не	7	4
131	для себя	3	4
132	того или	3	4
133	к тому	12	4
134	эстетический объект	6	4
135	речи и	2	4
136	значении этого	8	4
137	художественный текст	5	4
138	как эстетической	2	4
139	аналогичным образом	3	4
140	воспринимающего сознания	5	4
141	между тем	7	4
142	во времени	6	4
143	в данном	6	4
144	и т.д	4	4
145	с позиций	2	4
146	художественного произведения	6	4
147	в другом	4	4
148	не знает	4	4
149	однако в	4	4
150	произведения искусства	3	4
151	в силу	4	4
152	знакового материала	3	4
153	и как	6	4
154	организации художественного	5	4
155	еще не	5	4
156	художественного восприятия	9	4
157	и тем	4	4
158	и что	2	4
159	говорить о	3	4
160	факторов художественного	9	4
161	силу своей	3	4
162	сознания в	4	4
163	в этих	3	4
164	он не	4	4
165	не следует	6	4
166	и о	3	4
167	без исключения	2	4
168	отношения к	4	4
169	уединенного сознания	8	4
170	в себя	8	4
171	в своем	2	4
172	хотя и	4	4
173	со своей	2	4
174	даже в	5	3
175	одного сознания	2	3
176	произведений искусства	2	3
177	объекта и	3	3
178	от себя	4	3
179	к нему	4	3
180	и для	3	3
181	одно и	2	3
182	как уже	5	3
183	в произведении	7	3
184	коммуникативных стратегий	2	3
185	не случайно	11	3
186	за пределами	3	3
187	произведения как	8	3
188	текст как	2	3
189	как совокупность	2	3
190	внешнего мира	2	3
191	автора и	4	3
192	в романе	2	3
193	все прочие	3	3
194	в контексте	5	3
195	в роли	4	3
196	чем и	3	3
197	читателя в	3	3
198	оказывается в	2	3
199	как и	23	3
200	в акте	2	3
201	того же	7	3
202	говоря о	2	3
203	культуры в	2	3
204	потому что	3	3
205	о чем	3	3
206	одной стороны	6	3
207	по преимуществу	4	3
208	данного текста	2	3
209	том числе	3	3
210	в целом	9	3
211	текста как	2	3
212	в противоположность	4	3
213	являет собой	4	3
214	говорит и	2	3
215	к его	3	3
216	и к	5	3
217	во всех	5	3
218	личности и	3	3
219	одного и	2	3
