N	3gram	Bakhtin_sl	formyVre
1	и т п	49	32
2	то же время	15	21
3	в то же	15	18
4	в связи с	2	15
5	как мы уже	4	15
6	с точки зрения	11	15
7	друг с другом	2	13
8	но и в	2	12
9	не только в	3	11
10	до сих пор	4	10
11	и в то	6	10
12	в истории романа	2	9
13	в большинстве случаев	11	8
14	человека и его	2	8
15	в этом отношении	2	7
16	и т д	7	7
17	в отличие от	12	7
18	не может быть	11	7
19	с одной стороны	7	6
20	во всех этих	2	6
21	мы уже сказали	3	6
22	и в этом	2	6
23	а также и	3	6
24	на античной почве	3	6
25	и в особенности	5	6
26	одно и то	2	5
27	и то же	2	5
28	в том что	4	5
29	в широком смысле	3	5
30	как и в	2	5
31	в то время	2	5
32	то есть не	2	5
33	той или иной	13	5
34	одной стороны и	2	5
35	то время как	2	4
36	бы ни были	2	4
37	включает в себя	3	4
38	может быть и	2	4
39	в этом случае	4	4
40	и во всех	2	4
41	с другой стороны	5	4
42	о которых мы	2	4
43	в романе в	6	4
44	во всяком случае	7	4
45	по отношению к	2	4
46	можно прямо сказать	3	3
47	до известной степени	3	3
48	в нем в	6	3
49	прямо сказать что	2	3
50	в зависимости от	4	3
51	а следовательно и	2	3
52	т п но	2	3
53	о том что	2	3
54	так и в	5	3
55	но в то	6	3
56	как бы ни	2	3
57	может быть только	3	3
58	и в сущности	4	3
59	в той или	12	3
60	в романе как	2	2
61	как мы сказали	6	2
62	в узком смысле	13	2
63	оно не может	3	2
64	для романного жанра	2	2
65	у него нет	2	2
66	к тому что	2	2
67	в их целом	2	2
68	в романе не	2	2
69	т п в	2	2
70	но по существу	2	2
71	на фоне которого	2	2
72	в мировой литературе	2	2
73	в данном случае	3	2
74	зрения на мир	6	2
75	а вовсе не	4	2
76	но в этом	2	2
77	не только и	2	2
78	или иной степени	12	2
79	почти вовсе не	3	2
80	в свою очередь	3	2
