N	2gram	Voloshinov	Myshleni
1	в том	10	195
2	внутренней речи	5	191
3	в этом	28	167
4	то что	17	166
5	и в	28	162
6	том что	12	161
7	в развитии	4	151
8	таким образом	34	147
9	точки зрения	31	143
10	с помощью	20	131
11	что в	7	119
12	не только	10	116
13	того что	7	109
14	в процессе	5	101
15	так же	4	100
16	речи и	2	99
17	и речи	4	96
18	потому что	4	95
19	того чтобы	5	91
20	может быть	28	89
21	с точки	15	89
22	что он	12	86
23	у ребенка	2	84
24	не может	30	81
25	как и	13	79
26	так как	15	78
27	для того	6	78
28	и не	34	78
29	только в	11	75
30	в целом	4	74
31	как мы	18	72
32	но и	10	70
33	заключается в	5	67
34	в его	25	67
35	мы могли	2	65
36	сказать что	11	65
37	как бы	19	64
38	вместе с	5	62
39	в качестве	2	60
40	и что	6	60
41	было бы	8	60
42	представляет собой	2	60
43	то же	12	58
44	в основе	6	58
45	в отношении	2	55
46	могли бы	2	54
47	что мы	3	53
48	между собой	4	53
49	в самом	12	52
50	мы должны	9	50
51	к тому	6	49
52	ребенка в	3	49
53	мы можем	20	48
54	мы не	9	47
55	тогда когда	2	47
56	внутренняя речь	4	47
57	на основе	3	47
58	если бы	4	46
59	но не	7	45
60	с другой	2	45
61	по отношению	13	45
62	внешней речи	5	43
63	же как	2	43
64	как это	5	42
65	тому что	5	42
66	отношению к	11	42
67	не является	7	41
68	одной стороны	2	40
69	о том	3	40
70	так и	14	39
71	никогда не	10	39
72	с одной	2	39
73	в области	4	38
74	мы видели	12	38
75	вопрос о	2	37
76	не в	10	37
77	если мы	7	37
78	в этой	7	37
79	и к	7	37
80	мы видим	3	37
81	в своем	4	36
82	с самого	7	36
83	все эти	15	36
84	и его	22	36
85	самого начала	5	36
86	как в	4	36
87	а не	9	36
88	того же	3	35
89	он не	10	35
90	в которой	5	35
91	в себе	7	35
92	для себя	2	35
93	во внутренней	3	34
94	и как	3	34
95	приводит к	3	34
96	при этом	8	33
97	для ребенка	2	33
98	прежде всего	26	33
99	по себе	4	33
100	нас к	2	32
101	что и	5	32
102	именно в	4	32
103	по своему	4	32
104	же самое	2	32
105	но в	13	32
106	слова и	4	32
107	той же	5	32
108	и тем	2	32
109	что оно	4	32
110	и на	9	32
111	и то	3	31
112	из того	2	31
113	все же	8	31
114	мысли и	4	30
115	этом отношении	4	30
116	между тем	3	29
117	могут быть	9	29
118	от того	5	29
119	с этим	8	28
120	речи мы	4	28
121	самом деле	14	28
122	что с	2	28
123	что все	7	27
124	в своей	14	27
125	процесс образования	5	27
126	в результате	3	27
127	в то	7	27
128	и с	10	27
129	в их	2	26
130	что это	5	26
131	показали что	2	26
132	для него	12	26
133	в собственном	4	26
134	собственном смысле	3	26
135	все это	12	25
136	еще не	8	25
137	уже в	3	25
138	что она	5	25
139	это не	5	25
140	только не	3	25
141	в чем	9	25
142	можно сказать	6	25
143	мы уже	10	25
144	мы знаем	11	24
145	тот же	10	24
146	в какой	3	24
147	в нем	7	24
148	зависимости от	4	24
149	на этот	3	24
150	в высшей	6	24
151	друг друга	2	23
152	бы в	2	23
153	ни в	12	23
154	этот вопрос	4	23
155	к объекту	2	22
156	высшей степени	6	22
157	во всяком	9	22
158	в зависимости	4	22
159	не могут	7	22
160	отношение к	7	21
161	на основании	5	21
162	в истории	4	21
163	все время	4	21
164	в нашем	3	21
165	его в	11	21
166	там где	2	21
167	к этому	9	21
168	и все	13	21
169	ее в	5	21
170	между ними	5	21
171	и следовательно	3	21
172	и ее	7	21
173	не имеет	2	21
174	с таким	2	21
175	в сознании	3	21
176	в такой	2	20
177	в котором	4	20
178	в виду	4	20
179	речь и	2	20
180	а в	8	20
181	должно быть	2	20
182	из них	7	20
183	как раз	6	20
184	в другом	4	20
185	и их	2	20
186	едва ли	4	20
187	на этом	8	20
188	не менее	6	20
189	из этих	6	20
190	но мы	6	19
191	мы говорили	2	19
192	в данном	4	19
193	в себя	5	19
194	с ним	14	19
195	из которых	2	19
196	как на	3	19
197	но если	2	19
198	а с	2	19
199	и по	5	19
200	во всех	13	19
201	мы и	4	19
202	один из	10	19
203	независимо от	3	19
204	отличие от	2	18
205	для развития	2	18
206	во всей	3	18
207	в психологии	4	18
208	всяком случае	8	18
209	но это	4	18
210	в отличие	2	18
211	этом смысле	2	18
212	для этого	6	17
213	к другим	2	17
214	мы находим	4	17
215	сих пор	3	17
216	и для	7	17
217	все что	10	17
218	в своих	5	17
219	в свою	6	17
220	в одном	3	17
221	и от	3	17
222	и есть	3	17
223	и только	6	17
224	не есть	2	17
225	в этих	5	17
226	их в	3	17
227	тем же	3	17
228	до конца	7	17
229	я не	4	17
230	и той	3	17
231	в совершенно	3	17
232	у него	4	17
233	до сих	3	17
234	на этой	3	16
235	вовсе не	16	16
236	выводу что	2	16
237	значение в	3	16
238	ребенка к	3	16
239	одной и	3	16
240	по поводу	5	16
241	и другие	2	16
242	для нас	2	16
243	из основных	3	16
244	такой же	3	16
245	между двумя	3	16
246	то в	2	16
247	и даже	3	16
248	видели что	3	16
249	мы имеем	6	16
250	данном случае	4	15
251	когда он	3	15
252	те же	9	15
253	но как	2	15
254	на всем	3	15
255	этого процесса	2	15
256	от этого	2	15
257	со всеми	5	15
258	что при	2	15
259	хотя бы	7	15
260	отличается от	2	15
261	вообще не	2	15
262	ничего не	5	15
263	на все	3	15
264	в них	3	15
265	и является	3	15
266	он должен	2	14
267	точку зрения	12	14
268	значение для	2	14
269	точка зрения	15	14
270	и во	2	14
271	учения о	2	14
272	из этого	2	14
273	это есть	2	14
274	когда мы	2	14
275	связанные с	4	14
276	один и	3	14
277	свою очередь	4	14
278	об этом	7	14
279	с его	9	14
280	одним из	3	14
281	не можем	6	14
282	этих двух	3	14
283	она не	6	13
284	но все	2	13
285	и тот	3	13
286	другом месте	2	13
287	связана с	2	13
288	человека и	6	13
289	в состоянии	2	13
290	они не	3	13
291	что между	2	13
292	отнюдь не	5	13
293	к его	3	13
294	его к	4	13
295	для всех	3	13
296	этой теории	4	13
297	в основном	4	13
298	смысле слова	4	13
299	с другими	8	13
300	и потому	12	12
301	в ее	5	12
302	в первом	2	12
303	тем не	4	12
304	входит в	2	12
305	первый план	4	12
306	с которыми	4	12
307	выражение в	4	12
308	это и	4	12
309	современной психологии	5	12
310	в самых	3	12
311	в ней	8	12
312	которые мы	2	12
313	с их	5	12
314	свое выражение	2	12
315	еще более	2	12
316	на первый	5	12
317	ясно что	2	12
318	в одной	2	12
319	которых мы	2	12
320	только на	4	12
321	в поведении	3	12
322	к нему	9	12
323	все основные	4	12
324	за пределы	10	12
325	и между	2	12
326	мог бы	2	12
327	на самом	6	11
328	в каком	7	11
329	в конце	2	11
330	одно из	6	11
331	а только	4	11
332	в настоящей	3	11
333	и при	3	11
334	ответ на	3	11
335	находится в	3	11
336	в пределах	6	11
337	этом вопросе	2	11
338	с ее	4	11
339	мы увидим	4	11
340	нуждается в	3	11
341	обстоятельство что	2	11
342	и наконец	12	11
343	нас в	2	11
344	то обстоятельство	2	11
345	он в	2	11
346	не знает	5	11
347	ничего общего	4	11
348	обратимся к	2	11
349	отношения к	2	11
350	нами выше	2	10
351	но вместе	2	10
352	относится к	2	10
353	у нас	3	10
354	что такое	6	10
355	в следующем	2	10
356	о которых	2	10
357	или иной	2	10
358	развития как	3	10
359	в основу	3	10
360	опирается на	2	10
361	как с	4	10
362	в конечном	3	10
363	но для	3	10
364	является для	2	10
365	мы называем	3	10
366	в нашей	2	10
367	во второй	5	10
368	что как	2	10
369	и т.п	4	10
370	и у	7	10
371	помощью которых	4	10
372	и может	4	10
373	этот процесс	4	10
374	и значение	2	10
375	учение о	6	10
376	чем он	2	10
377	к этим	2	9
378	такого рода	2	9
379	в момент	2	9
380	под влиянием	3	9
381	и поэтому	2	9
