N	3gram	Vygotskiy_	Vvedenie
1	для того чтобы	14	22
2	в том что	41	15
3	о том что	3	13
4	в этом смысле	7	10
5	не может быть	5	10
6	тем не менее	6	9
7	до сих пор	3	7
8	в этом случае	4	6
9	к выводу что	2	6
10	в самом деле	4	6
11	не что иное	2	5
12	во всяком случае	10	5
13	что иное как	2	5
14	на этот вопрос	2	5
15	с другой стороны	5	5
16	в том чтобы	2	5
17	само по себе	3	4
18	в этом отношении	9	4
19	и в этом	2	4
20	с одной стороны	8	4
21	по отношению к	3	4
22	в отличие от	8	4
23	с точки зрения	11	4
24	можно было бы	8	4
25	по сравнению с	4	4
26	вместе с тем	11	3
27	заключается в том	18	3
28	в том отношении	2	3
29	нельзя не признать	2	3
30	в известном смысле	2	3
31	то же самое	9	3
32	той или иной	2	3
33	как мы видели	4	3
34	по этому поводу	4	3
35	в зависимости от	6	3
36	в том виде	4	3
37	с тем что	4	3
38	в свое время	2	3
39	в собственном смысле	12	3
40	и то что	3	3
41	одно и то	6	2
42	и то же	6	2
43	состоит в том	4	2
44	одной и той	5	2
45	как мы уже	3	2
46	и той же	5	2
47	сам по себе	2	2
48	этой точки зрения	4	2
49	имеет дело с	2	2
50	с этой точки	4	2
51	принять во внимание	2	2
52	и того же	5	2
53	точно так же	4	2
54	только в том	4	2
55	одного и того	5	2
56	в другом месте	3	2
57	смысле этого слова	10	2
58	хотя бы и	2	2
59	в связи с	8	2
60	в свою очередь	3	2
61	по своему значению	2	2
