N	3gram	Vygotskiy_	Literetu
1	в том что	33	21
2	по отношению к	19	12
3	с одной стороны	10	12
4	в данном случае	3	11
5	в отличие от	3	11
6	не может быть	4	11
7	состоит в том	7	11
8	о том что	7	10
9	в этом отношении	7	10
10	с точки зрения	12	8
11	с другой стороны	8	7
12	из того что	4	6
13	в том числе	2	6
14	подобно тому как	6	6
15	этой точки зрения	7	5
16	с этой точки	7	5
17	в связи с	6	5
18	в том чтобы	3	5
19	но при этом	2	4
20	по аналогии с	2	4
21	и тем самым	3	4
22	и то что	6	4
23	а не как	2	3
24	во всяком случае	2	3
25	то же самое	7	3
26	на самом деле	3	3
27	в самом деле	6	3
28	только в том	2	3
29	на то что	5	3
30	одной стороны и	2	3
31	ничего общего с	3	3
32	том числе и	2	3
33	и в частности	3	3
34	в свою очередь	4	3
35	в равной мере	4	2
36	для того чтобы	20	2
37	мы имеем дело	2	2
38	только то что	2	2
39	знает что он	2	2
40	в свое время	2	2
41	не только не	7	2
42	в этом случае	5	2
43	а с другой	3	2
44	к тому что	5	2
45	в другом месте	4	2
46	можно было бы	8	2
47	вместе с тем	4	2
48	в самом начале	2	2
49	тех или иных	2	2
