N	2gram	Losev_Prob	Hudozhes
1	в качестве	3	31
2	то есть	61	26
3	и в	64	23
4	не только	37	20
5	в том	19	20
6	может быть	29	19
7	при этом	8	19
8	в частности	5	18
9	и не	63	16
10	но и	23	14
11	а в	7	13
12	в себе	16	13
13	но не	13	13
14	а не	21	13
15	то же	10	12
16	такого рода	20	12
17	в этом	30	12
18	и его	3	12
19	так и	17	12
20	как бы	18	11
21	точки зрения	5	11
22	представляет собой	2	11
23	в его	12	11
24	сводится к	3	11
25	но в	19	10
26	не в	6	9
27	или иной	8	9
28	том что	26	9
29	не может	18	9
30	с другой	8	9
31	в искусстве	3	9
32	особого рода	3	8
33	в то	7	8
34	в области	8	8
35	в самом	10	7
36	я и	2	7
37	лишь в	4	7
38	в своей	8	7
39	только в	19	7
40	как это	7	7
41	что в	21	7
42	в основе	4	7
43	более или	7	6
44	мы имеем	3	6
45	уже не	9	6
46	другой стороны	7	6
47	а также	6	6
48	в нем	14	6
49	можно сказать	9	6
50	в ее	3	6
51	с его	3	6
52	или менее	7	6
53	тем самым	11	5
54	ни в	13	5
55	с другими	6	5
56	той или	10	5
57	или иначе	7	5
58	могут быть	2	5
59	место в	2	5
60	для того	10	5
61	того чтобы	10	5
62	знака к	7	5
63	в виду	10	5
64	со стороны	2	5
65	в их	7	5
66	не является	12	5
67	слова как	2	5
68	что он	11	5
69	не на	4	5
70	то что	72	5
71	не менее	26	5
72	прежде всего	17	5
73	того что	18	5
74	для него	2	5
75	и то	15	4
76	сказать что	33	4
77	в отношении	7	4
78	его в	9	4
79	или иного	6	4
80	далеко не	9	4
81	это не	7	4
82	для себя	9	4
83	а только	9	4
84	того или	8	4
85	к тому	5	4
86	на почве	2	4
87	между тем	3	4
88	входит в	4	4
89	в данном	16	4
90	в другом	2	4
91	не знает	4	4
92	однако в	2	4
93	в силу	2	4
94	и как	10	4
95	еще не	18	4
96	и тем	16	4
97	и что	21	4
98	языка в	3	4
99	говорить о	14	4
100	в этих	7	4
101	он не	5	4
102	и о	11	4
103	отношения к	2	4
104	например в	2	4
105	в своем	7	4
106	хотя и	8	4
107	так или	7	4
108	даже в	2	3
109	в жизни	3	3
110	к нему	5	3
111	и для	10	3
112	по своему	14	3
113	искусства и	3	3
114	и притом	6	3
115	и ее	9	3
116	все прочие	2	3
117	чем и	2	3
118	это отношение	3	3
119	как и	7	3
120	того же	3	3
121	их в	6	3
122	но их	2	3
123	потому что	24	3
124	о чем	11	3
125	одной стороны	4	3
126	по преимуществу	4	3
127	том числе	2	3
128	говорит и	3	3
129	к его	2	3
130	и к	2	3
131	во всех	9	3
132	одного и	2	3
133	человека с	2	3
134	общения людей	3	3
135	тем не	25	3
136	а именно	16	3
137	из этих	5	3
138	связи с	8	3
139	и на	11	3
140	тому как	3	3
141	если бы	8	3
142	в той	2	3
143	не будет	11	3
144	текст и	2	3
145	как раз	20	3
146	отношение знака	4	3
147	с точки	3	3
148	и того	5	3
149	он должен	2	3
150	подобно тому	2	3
151	тот или	4	3
152	не обязательно	3	3
153	или даже	3	3
154	в связи	7	3
155	таким образом	9	3
156	в таком	18	3
157	и сам	3	3
158	есть в	9	3
159	в которой	2	3
160	никто не	2	3
161	в момент	2	3
162	во всей	4	3
163	была бы	2	3
164	этом смысле	8	3
165	в пределах	2	3
166	с одной	4	3
