N	2gram	Bakhtin_Pr	VelikijI
1	великого инквизитора	2	36
2	и не	55	20
3	и в	64	16
4	так как	9	9
5	то что	21	9
6	еще не	10	8
7	в истории	2	8
8	и потому	7	7
9	а не	29	7
10	не есть	4	6
11	человека и	2	6
12	в мире	7	5
13	как бы	33	5
14	на себя	4	5
15	но и	26	5
16	все это	9	5
17	хотя и	5	5
18	того что	3	5
19	что все	2	4
20	и все	6	4
21	как и	25	4
22	в котором	7	4
23	потому что	8	4
24	все что	4	4
25	в нем	28	4
26	в образе	2	4
27	в ней	2	4
28	что не	3	4
29	в его	30	4
30	в этом	33	4
31	что он	15	4
32	и есть	3	4
33	так и	8	4
34	никогда не	11	3
35	превращается в	5	3
36	в жизни	5	3
37	что в	11	3
38	в том	12	3
39	и для	7	3
40	от этого	2	3
41	не имеет	2	3
42	тому что	3	3
43	но в	14	3
44	к тому	4	3
45	ни в	5	3
46	их в	8	3
47	то это	3	3
48	но это	6	3
49	бы и	6	3
50	должно быть	8	3
51	оно не	3	3
52	хотя бы	4	3
53	этого мира	6	3
54	в своей	11	3
55	во всех	4	3
56	в конце	8	3
57	за ним	4	3
58	в них	5	3
59	жизни и	3	3
60	как не	9	3
61	этих трех	3	3
62	что и	7	3
63	и мы	2	3
64	не было	5	3
65	лишь в	4	3
66	и что	5	3
67	не в	15	3
68	все эти	13	3
69	в этих	5	3
70	что я	7	3
71	должна быть	8	3
72	и они	2	3
73	тот же	2	3
74	с его	11	3
75	да и	2	2
76	одна из	5	2
77	но не	12	2
78	и это	8	2
79	это не	12	2
80	ее в	3	2
81	не только	26	2
82	не могут	10	2
83	является в	2	2
84	а в	10	2
85	том что	8	2
86	мир и	5	2
87	на том	2	2
88	его к	4	2
89	и во	3	2
90	а между	2	2
91	во всяком	7	2
92	уже не	15	2
93	могут быть	9	2
94	в духе	4	2
95	один из	3	2
96	т д	4	2
97	ивана карамазова	5	2
98	того чтобы	2	2
99	мира в	5	2
100	тем что	6	2
101	чтобы сделать	2	2
102	мы не	4	2
103	конечно не	4	2
104	что было	6	2
105	можно было	3	2
106	только в	13	2
107	и сам	6	2
108	в форме	8	2
109	все равно	2	2
110	его и	3	2
111	для нас	2	2
112	в себя	6	2
113	прежде всего	16	2
114	и т	14	2
115	с ним	8	2
116	всего в	2	2
117	между тем	7	2
118	мы и	2	2
119	а с	2	2
120	для него	23	2
