N	3gram	Voloshinov	VerxiiNi
1	с одной стороны	2	7
2	с точки зрения	31	6
3	во всяком случае	4	6
4	для того чтобы	7	5
5	до сих пор	10	5
6	друг с другом	2	5
7	в том числе	3	5
8	более или менее	3	5
9	но все же	4	4
10	к тому же	2	4
11	о том что	2	4
12	том числе и	3	4
13	в конце концов	3	3
14	так же как	2	3
15	так или иначе	2	3
16	тем не менее	3	3
17	в том что	9	3
18	в связи с	12	3
19	то ни было	11	2
20	бы то ни	11	2
21	можно сказать что	4	2
22	ничего общего с	2	2
23	на то что	2	2
24	между этими двумя	2	2
25	то же самое	8	2
26	в то же	7	2
27	той или иной	5	2
28	так и от	3	2
29	может быть и	8	2
30	то же время	7	2
31	с самого начала	9	2
32	в этом отношении	4	2
