N	2gram	Vinokur_St	SlovoVZh
1	не может	10	16
2	точки зрения	16	14
3	может быть	16	14
4	и его	11	13
5	как бы	8	13
6	и в	61	12
7	таким образом	16	12
8	отношению к	3	11
9	по отношению	3	11
10	и не	23	10
11	так как	7	9
12	если бы	11	9
13	прежде всего	11	8
14	для нас	7	7
15	сказать что	9	7
16	при этом	4	6
17	в том	56	6
18	в нем	9	6
19	только в	11	6
20	в процессе	3	6
21	в ней	9	6
22	никогда не	7	5
23	как в	15	5
24	что мы	5	5
25	в виду	6	5
26	можно сказать	2	5
27	но в	16	5
28	том что	49	5
29	то же	7	5
30	как и	11	5
31	должна быть	3	5
32	хотя бы	8	5
33	а не	19	5
34	то что	27	5
35	в самом	14	4
36	в этом	37	4
37	не только	36	4
38	на самом	8	4
39	что не	3	4
40	его в	4	4
41	зависимости от	2	4
42	жизни и	6	4
43	материала и	2	4
44	не в	15	4
45	с другой	11	4
46	все же	12	4
47	дело в	9	4
48	к нему	2	4
49	за пределы	2	4
50	и к	5	4
51	так и	15	4
52	и на	7	4
53	свое выражение	2	4
54	литературы и	3	4
55	отношение к	3	4
56	как к	3	3
57	в них	2	3
58	по себе	3	3
59	в каком	4	3
60	и вообще	5	3
61	о том	30	3
62	и для	4	3
63	да и	4	3
64	так называемой	2	3
65	не к	2	3
66	он должен	2	3
67	и уже	3	3
68	ни в	5	3
69	все эти	7	3
70	в котором	11	3
71	бы то	2	3
72	то ни	2	3
73	так же	7	3
74	в своей	12	3
75	мы не	3	3
76	конечно не	2	3
77	в себе	3	3
78	нуждается в	2	3
79	еще не	4	3
80	все это	13	3
81	в некоторых	3	3
82	между тем	7	3
83	и с	6	3
84	бы мы	2	3
85	но для	3	3
86	не менее	8	3
87	сих пор	12	3
88	до сих	13	3
89	отношении к	3	3
90	быть и	2	3
91	и по	6	3
92	в такой	2	3
93	самом деле	14	3
94	и пр	4	3
95	того что	14	3
96	тем не	4	3
97	и более	4	3
98	ведь и	3	3
99	но и	28	3
100	для него	10	3
101	ясно что	10	3
102	и то	6	2
103	в его	19	2
104	допустим что	2	2
105	данном случае	7	2
106	к его	2	2
107	до конца	4	2
108	и здесь	2	2
109	что в	41	2
110	а к	2	2
111	не так	2	2
112	в отношении	11	2
113	место в	2	2
114	ничего не	6	2
115	общего с	3	2
116	с его	3	2
117	и те	4	2
118	что и	8	2
119	это не	8	2
120	и все	3	2
121	можно найти	3	2
122	кроме того	3	2
123	там где	6	2
124	истории литературы	2	2
125	с точки	10	2
126	она не	3	2
127	но все	9	2
128	тому же	2	2
129	в своем	8	2
130	на все	2	2
131	дело с	2	2
132	бы не	2	2
133	и вполне	4	2
134	в зависимости	2	2
135	в данном	16	2
136	мы имеем	2	2
137	и что	8	2
138	в то	10	2
139	уже в	3	2
140	с этой	5	2
141	в этих	5	2
142	одной стороны	2	2
143	и другие	3	2
144	но это	9	2
145	в настоящее	2	2
146	он не	11	2
147	в какой	4	2
148	подчеркнуть что	5	2
149	такой же	6	2
150	точку зрения	3	2
151	как на	10	2
152	и потому	3	2
153	оно не	3	2
154	но не	5	2
155	как это	6	2
156	на это	2	2
157	была бы	10	2
158	ни на	3	2
159	могут быть	5	2
160	совпадает с	3	2
161	в чем	4	2
162	в форме	2	2
163	настоящее время	2	2
164	и так	3	2
165	с одной	3	2
166	выражение в	2	2
167	к этому	4	2
168	этих двух	4	2
169	но что	2	2
170	другой стороны	9	2
171	вместе с	5	2
172	на него	3	2
