N	2gram	Losev_Dial	Hudozhes
1	в мире	2	24
2	и в	34	23
3	не только	35	20
4	в том	17	20
5	может быть	30	19
6	при этом	7	19
7	в частности	3	18
8	и не	50	16
9	но и	14	14
10	а в	3	13
11	в себе	8	13
12	но не	3	13
13	а не	39	13
14	то же	9	12
15	в этом	14	12
16	и его	8	12
17	так и	11	12
18	как бы	19	11
19	точки зрения	43	11
20	в его	6	11
21	но в	3	10
22	не в	11	9
23	или иной	4	9
24	том что	18	9
25	не может	29	9
26	с другой	5	9
27	особого рода	3	8
28	в то	9	8
29	себя в	3	8
30	в самом	9	7
31	я и	2	7
32	в своей	4	7
33	только в	10	7
34	же время	5	7
35	как это	8	7
36	что в	12	7
37	отличие от	2	7
38	в основе	6	7
39	мы имеем	3	6
40	уже не	9	6
41	другой стороны	4	6
42	в нем	7	6
43	с ее	10	6
44	можно сказать	5	6
45	в ее	5	6
46	с его	7	6
47	я с	2	5
48	тем самым	3	5
49	ни в	20	5
50	той или	3	5
51	или иначе	2	5
52	могут быть	5	5
53	место в	2	5
54	как к	2	5
55	не предполагает	2	5
56	для того	4	5
57	в виду	12	5
58	со стороны	5	5
59	в их	2	5
60	что он	18	5
61	не на	7	5
62	то что	25	5
63	не менее	11	5
64	прежде всего	20	5
65	того что	22	5
66	для него	4	5
67	в слове	3	4
68	личности в	9	4
69	и то	7	4
70	сказать что	7	4
71	его в	2	4
72	или иного	3	4
73	это не	13	4
74	для себя	2	4
75	а только	2	4
76	так в	2	4
77	того или	6	4
78	к тому	4	4
79	в данном	6	4
80	не знает	4	4
81	в силу	5	4
82	и как	13	4
83	еще не	7	4
84	и тем	3	4
85	и что	21	4
86	говорить о	13	4
87	сознания в	2	4
88	в этих	3	4
89	он не	8	4
90	и о	9	4
91	отношения к	4	4
92	например в	3	4
93	в себя	4	4
94	в своем	7	4
95	хотя и	9	4
96	так или	2	4
97	от себя	5	3
98	в жизни	4	3
99	к нему	4	3
100	и для	5	3
101	по своему	2	3
102	одно и	6	3
103	и притом	10	3
104	и ее	8	3
105	как и	14	3
106	их в	2	3
107	говоря о	3	3
108	потому что	21	3
109	о чем	2	3
110	одной стороны	3	3
111	по преимуществу	2	3
112	что можно	2	3
113	в противоположность	3	3
114	и к	5	3
115	во всех	2	3
116	личности и	15	3
117	тем не	10	3
118	а именно	7	3
119	субъекта и	5	3
120	из этих	5	3
121	связи с	3	3
122	и на	6	3
123	мог бы	2	3
124	тому как	5	3
125	если бы	10	3
126	не будет	5	3
127	и прежде	6	3
128	как раз	11	3
129	с точки	25	3
130	он должен	3	3
131	подобно тому	5	3
132	тот или	2	3
133	себя и	3	3
134	с этой	7	3
135	в связи	3	3
136	таким образом	14	3
137	в таком	15	3
138	есть в	4	3
139	никто не	4	3
140	была бы	5	3
141	в одном	3	3
142	с одной	4	3
143	но он	3	3
144	никогда не	9	2
145	о том	11	2
146	одной из	3	2
147	в каком	9	2
148	одна из	4	2
149	как в	2	2
150	чтобы не	4	2
151	для такого	2	2
152	одно из	8	2
153	не от	2	2
154	и это	12	2
155	ее в	3	2
156	тому что	5	2
157	и потому	6	2
158	а для	2	2
159	то в	5	2
160	при всем	5	2
161	еще и	2	2
162	в чем	11	2
163	нас самих	2	2
164	что такое	25	2
165	или в	4	2
166	для меня	2	2
167	строго говоря	2	2
168	именно в	5	2
169	но как	3	2
170	все эти	4	2
171	тем более	5	2
172	не всегда	3	2
173	о себе	2	2
174	человека и	2	2
175	мира и	3	2
176	оно не	7	2
177	или иных	2	2
178	что она	13	2
179	с их	4	2
180	за пределы	3	2
181	коем случае	4	2
182	быть и	7	2
183	совпадает с	2	2
184	дело не	2	2
185	я думаю	2	2
186	этой точки	4	2
187	только и	3	2
188	но она	4	2
189	личности с	3	2
190	так же	7	2
191	отличается от	9	2
192	об этом	8	2
193	из которых	4	2
194	но на	2	2
195	и по	2	2
196	данный момент	2	2
197	он и	3	2
198	я не	11	2
199	тех или	6	2
200	отнюдь не	16	2
201	собственно говоря	5	2
202	на котором	2	2
203	в них	6	2
204	по себе	31	2
205	которая не	2	2
206	не вполне	2	2
207	сама по	11	2
208	несмотря на	2	2
209	таком случае	11	2
210	на этом	3	2
211	в данный	2	2
212	тем или	3	2
213	это и	12	2
214	и больше	5	2
215	все это	13	2
216	к другому	2	2
217	с ними	3	2
218	только лишь	3	2
219	из этого	3	2
220	что и	8	2
221	это тоже	2	2
222	всей его	2	2
223	и эстетической	4	2
224	в коем	4	2
225	то ни	4	2
226	от своего	2	2
227	не просто	20	2
228	и может	2	2
229	субъект и	2	2
230	более не	2	2
231	только о	4	2
232	нового времени	2	2
233	самом деле	7	2
234	случае не	4	2
235	в этой	3	2
236	но только	7	2
237	ни к	3	2
238	с ним	3	2
239	превращается в	6	2
240	жизнь личности	3	2
241	начало и	2	2
242	вовсе не	18	2
243	заключается в	3	2
244	имеем дело	2	2
245	если мы	5	2
246	не сама	3	2
247	у него	2	2
248	бы то	3	2
249	при условии	5	2
250	здесь не	2	2
