N	2gram	Trubetskoy	Freidism
1	и не	8	34
2	таким образом	22	34
3	точки зрения	13	31
4	не может	4	30
5	может быть	10	28
6	и в	26	28
7	в этом	15	28
8	прежде всего	2	26
9	в его	5	25
10	мы можем	2	20
11	как бы	12	19
12	то что	7	17
13	так как	9	15
14	с точки	6	15
15	все эти	6	15
16	так и	6	14
17	во всех	2	13
18	и все	2	13
19	но в	7	13
20	и потому	6	12
21	том что	7	12
22	то же	4	12
23	что он	4	12
24	мы видели	2	12
25	психической жизни	2	12
26	в самом	4	12
27	и наконец	2	12
28	для него	3	12
29	все это	6	12
30	сказать что	2	11
31	отношению к	3	11
32	только в	4	11
33	никогда не	5	10
34	и с	10	10
35	не только	10	10
36	но и	9	10
37	не в	2	10
38	он не	4	10
39	в том	11	10
40	все что	2	10
41	один из	2	10
42	тот же	2	10
43	конечно не	2	10
44	мы должны	6	9
45	к этому	3	9
46	те же	2	9
47	к нему	7	9
48	уже не	3	9
49	и на	2	9
50	а не	5	9
51	во всяком	6	9
52	с его	2	9
53	все же	6	8
54	еще не	2	8
55	с другими	4	8
56	а в	4	8
57	всяком случае	6	8
58	при этом	3	8
59	не могут	2	7
60	в то	4	7
61	в себе	6	7
62	что в	9	7
63	хотя бы	3	7
64	и для	5	7
65	отношение к	5	7
66	быть и	2	7
67	того что	3	7
68	и у	8	7
69	но не	8	7
70	что все	4	7
71	с самого	3	7
72	связь с	2	7
73	в нем	4	7
74	и к	5	7
75	из них	7	7
76	жизни и	2	7
77	в этой	4	7
78	одно из	2	6
79	для этого	2	6
80	мы имеем	2	6
81	из этих	10	6
82	не менее	3	6
83	для того	5	6
84	в таком	3	6
85	и только	4	6
86	и о	3	6
87	к тому	6	6
88	можно сказать	3	6
89	в свою	2	6
90	этого периода	2	6
91	и что	4	6
92	же время	2	6
93	во время	4	6
94	учение о	4	6
95	что это	3	5
96	в которой	3	5
97	и по	4	5
98	со всеми	2	5
99	и те	3	5
100	в этих	4	5
101	самого начала	2	5
102	что и	6	5
103	в общем	8	5
104	далеко не	4	5
105	в процессе	2	5
106	того чтобы	5	5
107	не было	2	5
108	вместе с	15	5
109	так же	5	4
110	в области	9	4
111	связанных с	2	4
112	тем не	3	4
113	этом отношении	2	4
114	если бы	3	4
115	в виду	2	4
116	не всегда	2	4
117	ничего общего	2	4
118	в своем	3	4
119	по своему	2	4
120	в котором	4	4
121	связанные с	7	4
122	потому что	7	4
123	именно в	2	4
124	что оно	4	4
125	главным образом	8	4
126	из которого	3	4
127	то ни	2	4
128	и от	4	3
129	в эпоху	7	3
130	в результате	3	3
131	и даже	3	3
132	и как	3	3
133	и таким	3	3
134	на все	2	3
135	ни один	2	3
136	одним из	2	3
137	и при	3	3
138	связано с	2	3
139	как на	8	3
140	сих пор	5	3
141	на этот	4	3
142	и является	2	3
143	о том	6	3
144	того же	6	3
145	к его	2	3
146	приводит к	2	3
147	для всех	2	3
148	в одном	3	3
149	что мы	2	3
150	в них	2	3
151	только не	2	3
152	уже в	2	3
153	этот период	2	3
154	из него	2	3
155	когда он	3	3
156	жизни по	2	3
157	случае не	3	3
158	них не	2	3
159	до сих	5	3
160	между тем	2	3
161	бы то	2	3
162	в отношении	6	2
163	не исчерпывается	2	2
164	или иной	2	2
165	а также	2	2
166	ли это	2	2
167	из этой	2	2
168	когда человек	2	2
169	превращается в	2	2
170	не как	2	2
171	отличается от	2	2
172	в конце	6	2
173	связанный с	2	2
174	конце концов	3	2
175	связана с	2	2
176	по учению	3	2
177	только для	2	2
178	ни было	2	2
179	и другие	3	2
180	ничем не	4	2
181	в течение	4	2
182	его не	2	2
183	с одной	7	2
184	подойти к	3	2
185	а с	7	2
186	образом в	5	2
187	очень много	2	2
188	в мире	5	2
189	в эту	2	2
190	не имеет	5	2
191	относится к	2	2
192	с другой	8	2
193	того момента	2	2
194	он в	2	2
195	его можно	2	2
196	но все	7	2
197	одной стороны	7	2
198	тогда когда	2	2
199	из которых	4	2
200	представляет собой	3	2
201	ко всему	2	2
202	но если	2	2
203	то или	2	2
204	но когда	2	2
205	всех других	2	2
206	же как	3	2
207	но вместе	2	2
208	из этого	2	2
209	в качестве	3	2
210	же самое	2	2
211	совершенно иной	2	2
212	не к	2	2
213	или иное	2	2
214	ясно что	3	2
