N	2gram	Tiupa_Hudo	SlovoVZh
1	не может	10	16
2	точки зрения	7	14
3	может быть	12	14
4	и его	8	13
5	как бы	11	13
6	и в	34	12
7	в нашем	2	11
8	отношению к	15	11
9	по отношению	15	11
10	и не	15	10
11	так как	2	9
12	если бы	7	9
13	прежде всего	12	8
14	для нас	4	7
15	сказать что	3	7
16	все время	2	6
17	при этом	21	6
18	в том	24	6
19	в нем	5	6
20	только в	8	6
21	и героя	2	6
22	в ней	6	6
23	никогда не	8	5
24	как в	11	5
25	в жизни	9	5
26	можно сказать	9	5
27	но в	6	5
28	том что	31	5
29	то же	14	5
30	как и	16	5
31	героя и	5	5
32	хотя бы	2	5
33	а не	23	5
34	то что	13	5
35	отнюдь не	4	5
36	в самом	7	4
37	в этом	22	4
38	не только	22	4
39	в литературе	3	4
40	на самом	2	4
41	что не	4	4
42	его в	5	4
43	жизни и	10	4
44	не в	16	4
45	с другой	4	4
46	все же	5	4
47	дело в	2	4
48	к нему	2	4
49	и к	6	4
50	так и	19	4
51	и на	6	4
52	уже не	12	4
53	отношение к	3	4
54	как к	4	3
55	в них	3	3
56	по себе	3	3
57	о том	21	3
58	и для	5	3
59	или не	3	3
60	ее и	2	3
61	и герой	2	3
62	да и	5	3
63	и уже	3	3
64	ни в	5	3
65	все эти	4	3
66	в котором	5	3
67	то ни	2	3
68	так же	3	3
69	в своей	15	3
70	мы не	2	3
71	в себе	19	3
72	нуждается в	2	3
73	еще не	10	3
74	здесь не	2	3
75	все это	2	3
76	только на	6	3
77	когда он	2	3
78	и ее	3	3
79	между тем	14	3
80	и с	10	3
81	в творчестве	4	3
82	не менее	9	3
83	сих пор	3	3
84	с ним	6	3
85	до сих	3	3
86	в пределах	4	3
87	произведения и	2	3
88	и по	3	3
89	в такой	2	3
90	в художественном	6	3
91	самом деле	6	3
92	того что	5	3
93	тем не	7	3
94	и более	2	3
95	но и	13	3
96	для него	15	3
97	ясно что	2	3
98	едва ли	6	2
99	автором и	2	2
100	и то	2	2
101	тем как	2	2
102	в его	17	2
103	данном случае	3	2
104	до конца	3	2
105	что в	8	2
106	в душе	6	2
107	но тем	2	2
108	как уже	3	2
109	место в	3	2
110	для других	5	2
111	ничего не	11	2
112	с его	9	2
113	что и	3	2
114	это не	12	2
115	и все	10	2
116	там где	2	2
117	с точки	5	2
118	она не	6	2
119	но все	2	2
120	в своем	9	2
121	дело с	2	2
122	бы не	3	2
123	все они	2	2
124	в данном	3	2
125	но мы	2	2
126	жизнью и	3	2
127	с другими	2	2
128	и что	3	2
129	на примере	2	2
130	в то	12	2
131	себя и	4	2
132	уже в	2	2
133	вместе со	2	2
134	с этой	3	2
135	в этих	7	2
136	одной стороны	4	2
137	влияние на	2	2
138	еще раз	2	2
139	и другие	5	2
140	но это	2	2
141	он не	8	2
142	такой же	3	2
143	как только	3	2
144	как на	2	2
145	и потому	3	2
146	но не	7	2
147	как это	8	2
148	на это	2	2
149	автора и	4	2
150	в себя	3	2
151	была бы	3	2
152	ни на	2	2
153	лежит на	2	2
154	нет ничего	4	2
155	в форме	2	2
156	быть только	2	2
157	и так	3	2
158	с одной	4	2
159	же самое	4	2
160	между ними	2	2
161	этих двух	2	2
162	вместе с	2	2
163	на него	3	2
