N	3gram	Losev_Vlad	Myslijsy
1	в том что	13	47
2	не может быть	4	19
3	тем не менее	8	18
4	и т д	3	15
5	там же с	19	15
6	в свою очередь	2	14
7	то же время	7	13
8	в то же	7	13
9	не в том	3	13
10	во всяком случае	8	12
11	с другой стороны	3	12
12	более или менее	5	12
13	для того чтобы	3	11
14	а в том	3	11
15	в то время	6	10
16	о том что	9	9
17	на то что	6	9
18	потому что в	2	9
19	что и в	2	9
20	до тех пор	2	9
21	вместе с тем	2	8
22	можно сказать что	3	7
23	не только в	3	7
24	и в том	2	7
25	в этом смысле	4	7
26	после того как	2	6
27	не то что	2	5
28	в сравнении с	2	5
29	и то что	7	5
30	и тот же	2	4
31	так что в	2	4
32	в том же	3	4
33	не что иное	2	4
34	в этом отношении	2	4
35	то время как	2	4
36	один и тот	2	4
37	что иное как	2	4
38	дело в том	7	4
39	в том чтобы	4	4
40	бы то ни	2	3
41	тех пор пока	2	3
42	что же касается	8	3
43	том что он	4	3
44	говоря уже о	3	3
45	что он не	3	3
46	нам кажется что	2	3
47	не говоря уже	3	3
48	ответ на это	2	3
49	точно так же	2	3
50	но это не	2	3
51	в связи с	7	3
52	так или иначе	3	3
53	было для него	2	3
54	и потому что	3	2
55	в свое время	6	2
56	из них не	2	2
57	главным образом в	2	2
58	при этом в	2	2
59	но дело в	2	2
