N	3gram	Ircho_Kome	KulturaY
1	и т п	7	93
2	и т д	4	42
3	для того чтобы	3	38
4	в том что	13	33
5	можно было бы	3	25
6	во всяком случае	4	19
7	тем не менее	2	19
8	с другой стороны	6	17
9	до сих пор	3	14
10	только потому что	2	13
11	по отношению к	5	13
12	в связи с	3	12
13	в этом отношении	3	11
14	о том что	6	10
15	в этом смысле	2	10
16	вместе с тем	4	9
17	чуть ли не	2	7
18	после того как	3	7
19	с одной стороны	5	7
20	в то же	5	6
21	к тому же	12	6
22	в первую очередь	5	6
23	то же время	5	6
24	не говоря уже	4	6
25	в отличие от	3	6
26	речь идет о	5	5
27	т е в	2	5
28	сплошь да рядом	2	5
29	в соответствии с	2	5
30	говоря уже о	4	5
31	том что он	4	4
32	в этой области	2	4
33	к тому что	3	4
34	на то что	2	4
35	так или иначе	4	4
36	на себя внимание	4	3
37	при этом что	2	3
38	в то время	8	3
39	в конце концов	4	3
40	что и в	2	3
41	в той же	2	3
42	что он не	2	2
43	бы то ни	4	2
44	в силу этого	3	2
45	друг от друга	2	2
46	для этой цели	2	2
47	и с этой	2	2
48	у нас в	2	2
49	в большинстве случаев	2	2
50	таким образом в	2	2
51	а то и	3	2
52	не более чем	2	2
53	в том числе	4	2
54	в одном из	4	2
55	едва ли не	6	2
56	в тех же	3	2
57	обращает на себя	4	2
