N	3gram	Bakhtin_Fr	Problemy
1	то же время	12	26
2	в то же	12	26
3	с точки зрения	4	25
4	по отношению к	3	18
5	в большинстве случаев	9	12
6	но в то	3	11
7	в конце концов	5	11
8	до сих пор	3	10
9	в самом деле	3	9
10	с другой стороны	2	9
11	в его целом	2	8
12	в том что	4	8
13	мы уже говорили	12	7
14	в одной плоскости	3	7
15	сам по себе	2	5
16	можно было бы	2	5
17	и прежде всего	2	4
18	более или менее	3	4
19	о том что	4	4
20	так и в	3	4
21	как и в	2	4
22	уже говорили что	3	4
23	в этом отношении	3	4
24	вполне понятно что	2	4
25	все то что	3	3
26	в большей или	2	3
27	как мы видели	4	3
28	большей или меньшей	2	3
29	как мы уже	4	3
30	и до конца	4	3
31	как мы увидим	2	3
32	каждый из них	2	3
33	в той же	5	3
34	и все это	2	3
35	прежде всего в	4	2
36	то что в	2	2
37	в себе все	2	2
38	начала и до	4	2
39	друг за другом	2	2
40	но все это	2	2
41	что все это	2	2
42	как один из	2	2
43	таким образом и	2	2
44	и в романе	2	2
45	большинстве случаев в	2	2
46	у него в	2	2
47	с таким же	2	2
48	с начала и	4	2
49	а следовательно и	2	2
50	таким образом все	2	2
51	конечно не в	2	2
52	дело в том	2	2
53	в одном из	2	2
54	в значительной степени	3	2
55	и по отношению	2	2
56	рядом с этим	2	2
57	в том или	2	2
58	в дантовском мире	2	2
59	в свою очередь	3	2
