N	3gram	Losev_Prob	KulturaY
1	и т д	20	42
2	для того чтобы	4	38
3	с точки зрения	9	36
4	в том что	17	33
5	можно было бы	6	25
6	во всяком случае	8	19
7	тем не менее	23	19
8	с другой стороны	11	17
9	в зависимости от	3	16
10	до сих пор	4	14
11	по крайней мере	9	13
12	только потому что	3	13
13	в связи с	9	12
14	не может быть	5	11
15	о том что	8	10
16	в этом смысле	5	10
17	того или иного	5	9
18	на самом деле	5	8
19	не только в	2	8
20	в этом случае	8	8
21	само по себе	5	8
22	только в том	2	7
23	с одной стороны	2	7
24	и тем не	6	7
25	в то же	10	6
26	той или иной	16	6
27	в первую очередь	3	6
28	хотя бы и	2	6
29	этой точки зрения	2	6
30	в отличие от	2	6
31	что же касается	5	5
32	более или менее	2	5
33	потому что он	6	5
34	то или иное	3	5
35	так и в	2	5
36	дело не в	4	5
37	в данном случае	12	5
38	и в этом	6	5
39	как мы видели	2	5
40	тот или иной	4	4
41	но также и	2	4
42	и вовсе не	6	4
43	точно так же	5	4
44	сам по себе	10	4
45	том что он	2	4
46	т д и	5	4
47	заключается в том	5	4
48	так же как	3	4
49	на то что	2	4
50	так или иначе	2	4
51	мы говорим о	2	4
52	только то что	4	4
53	в нашем смысле	8	4
54	д и т	5	4
55	ясно что в	2	3
56	в таких случаях	2	3
57	но с другой	2	3
58	в таком случае	7	3
59	в настоящее время	4	3
60	в то время	6	3
61	а не просто	5	3
62	о том как	4	3
63	те или иные	6	3
64	и если мы	3	3
65	то тем самым	2	3
66	как раз и	5	3
67	в конце концов	4	3
68	что и в	3	3
69	тех или иных	7	3
70	в том смысле	4	3
71	обратить внимание на	2	3
72	сама по себе	11	3
73	и не в	2	3
74	и прежде всего	3	2
75	что он не	2	2
76	бы то ни	5	2
77	и то же	5	2
78	не что иное	6	2
79	по своему содержанию	6	2
80	можно ли в	2	2
81	вовсе не в	2	2
82	вовсе еще не	2	2
83	только о том	2	2
84	в буквальном смысле	2	2
85	друг от друга	3	2
86	ровно ничего не	2	2
87	потому что они	2	2
88	том или ином	3	2
89	у нас в	2	2
90	не выходит за	2	2
91	ни в каком	8	2
92	что же такое	3	2
93	может быть и	3	2
94	хотя и не	2	2
95	мы не знаем	2	2
96	том смысле что	4	2
97	то что мы	3	2
98	иметь в виду	2	2
99	мы могли бы	3	2
100	ничего общего с	2	2
101	все подобного рода	2	2
102	что иное как	6	2
103	когда мы говорим	5	2
104	но в том	2	2
105	и в других	2	2
106	а может быть	2	2
107	имеется в виду	6	2
108	это и значит	2	2
109	можно сказать что	2	2
110	но даже и	7	2
111	сами по себе	8	2
112	и в то	2	2
113	это вовсе не	5	2
114	в той или	7	2
115	а вовсе не	3	2
116	по сравнению с	3	2
