N	3gram	Trubetskoy	formyVre
1	то же время	10	21
2	в то же	10	18
3	с точки зрения	9	15
4	друг с другом	14	13
5	для того чтобы	6	12
6	до сих пор	5	10
7	в большинстве случаев	2	8
8	не может быть	4	7
9	друг от друга	2	6
10	в том что	7	5
11	той или иной	3	5
12	в этом случае	3	4
13	во всяком случае	6	4
14	а следовательно и	2	3
15	о том что	2	3
16	вместе с тем	3	3
17	к вопросу о	3	3
18	в значительной мере	2	2
19	к тому что	2	2
20	с самим собой	2	2
21	в данном случае	3	2
22	и вместе с	2	2
23	с другом и	2	2
24	по самому своему	2	2
