N	2gram	Bakhtin_Fr	Russkaja
1	не может	9	22
2	и не	34	19
3	в том	17	17
4	в этом	22	17
5	с другом	2	14
6	и в	105	14
7	друг с	2	14
8	то что	7	13
9	точки зрения	10	11
10	то же	6	11
11	таким образом	5	11
12	в то	5	10
13	но и	20	10
14	же время	5	10
15	не только	24	9
16	том что	9	9
17	может быть	11	9
18	в себе	7	9
19	с точки	6	9
20	во всяком	2	9
21	того чтобы	3	8
22	как на	4	8
23	прежде всего	26	8
24	и с	8	7
25	к тому	3	7
26	о том	5	7
27	мы должны	2	7
28	стремление к	2	7
29	ни к	2	7
30	самом деле	3	7
31	на самом	6	6
32	и для	3	6
33	в своих	8	6
34	и к	7	6
35	всяком случае	2	6
36	все это	16	6
37	для того	2	6
38	что он	5	6
39	в своем	11	6
40	для него	12	6
41	или иной	5	5
42	а в	4	5
43	на то	2	5
44	было бы	4	5
45	хотя бы	2	5
46	из которых	2	5
47	и на	25	5
48	потому что	6	5
49	при этом	10	5
50	в нем	16	5
51	жизни в	8	5
52	в своей	8	5
53	себя и	2	5
54	конечно не	2	5
55	только в	16	5
56	никогда не	11	5
57	он не	3	5
58	сих пор	7	5
59	между тем	5	5
60	во всех	13	5
61	по существу	2	5
62	до сих	7	5
63	что в	4	4
64	но не	7	4
65	его в	7	4
66	все же	10	4
67	не могут	4	4
68	не в	4	4
69	как и	15	4
70	как бы	33	4
71	все что	2	4
72	можно было	4	4
73	приводит к	2	4
74	так как	11	4
75	лишь к	2	4
76	и т.д	2	4
77	жизни и	14	4
78	в его	24	4
79	в их	6	4
80	на земле	3	4
81	точку зрения	2	4
82	во всем	5	4
83	в этой	11	4
84	в совершенно	2	4
85	себе и	2	4
86	от того	2	4
87	одной из	3	3
88	был и	4	3
89	да и	5	3
90	одна из	5	3
91	в большинстве	2	3
92	с нею	2	3
93	о которых	2	3
94	что для	3	3
95	культуры в	4	3
96	именно в	6	3
97	из этих	7	3
98	всех этих	10	3
99	и потому	14	3
100	в другом	2	3
101	в значительной	9	3
102	главным образом	6	3
103	в конце	3	3
104	из них	7	3
105	в самом	7	3
106	и как	2	3
107	несмотря на	5	3
108	для них	2	3
109	что и	2	3
110	или в	2	3
111	лишь в	4	3
112	и во	6	3
113	той или	5	3
114	и по	3	3
115	связи с	5	3
116	еще не	8	3
117	того что	3	3
118	что они	2	3
119	друг друга	3	3
120	не было	3	3
121	и ни	4	3
122	тем что	5	3
123	не о	2	2
124	что только	2	2
125	и о	4	2
126	в течение	3	2
127	и от	3	2
128	не к	2	2
129	в таких	2	2
130	есть и	2	2
131	большинстве случаев	2	2
132	ее в	2	2
133	к нему	5	2
134	на этой	5	2
135	она не	2	2
136	из всех	3	2
137	только с	3	2
138	но в	16	2
139	европейской культуры	3	2
140	не подлежит	3	2
141	этой культуры	6	2
142	так же	2	2
143	их в	3	2
144	в начале	4	2
145	это в	5	2
146	людей и	2	2
147	даже и	5	2
148	в ней	7	2
149	на эту	2	2
150	уже не	3	2
151	на это	2	2
152	время в	3	2
153	этот вопрос	2	2
154	в некоторых	2	2
155	благодаря этому	4	2
156	по отношению	2	2
157	но для	3	2
158	но даже	2	2
159	и даже	10	2
160	для нас	5	2
161	от него	2	2
162	мы можем	2	2
163	говоря о	2	2
164	целый ряд	2	2
165	место в	4	2
166	к себе	3	2
167	отметить что	2	2
168	в других	3	2
169	и вот	5	2
170	но это	5	2
171	все эти	15	2
172	совершенно не	5	2
173	бы ни	2	2
174	и наконец	2	2
175	вся она	2	2
176	не просто	3	2
177	в этих	6	2
178	только на	3	2
179	в частности	6	2
180	значительной мере	3	2
181	в таком	2	2
182	во время	14	2
183	у других	2	2
184	именно на	2	2
185	во многих	2	2
186	отношения к	5	2
187	касается до	2	2
188	в области	10	2
189	вся эта	4	2
190	с ним	6	2
191	культуре и	2	2
192	у него	2	2
193	видеть в	2	2
194	некоторых из	2	2
195	мы уже	18	2
196	культуры и	11	2
197	и более	4	2
