N	2gram	Losev_Dial	Istorich
1	и в	34	181
2	и т	41	160
3	т д	38	142
4	т е	72	133
5	может быть	30	115
6	не только	35	114
7	что он	18	111
8	мы имеем	3	102
9	что в	12	90
10	но и	14	85
11	в этом	14	81
12	так как	12	75
13	то что	25	73
14	таким образом	14	72
15	вместе с	3	71
16	и не	50	67
17	все же	4	65
18	мы видим	4	65
19	в этих	3	64
20	еще не	7	63
21	не может	29	61
22	так же	7	57
23	то же	9	56
24	никогда не	9	56
25	в том	17	53
26	том что	18	53
27	с другой	5	52
28	а в	3	52
29	потому что	21	52
30	что и	8	51
31	и что	21	51
32	и здесь	3	51
33	о том	11	48
34	а не	39	48
35	его в	2	47
36	не в	11	47
37	другой стороны	4	46
38	превращается в	6	45
39	но в	3	44
40	и пр	16	44
41	это не	13	43
42	и его	8	43
43	мы знаем	3	42
44	в нем	7	42
45	показывает что	4	42
46	только в	10	42
47	как в	2	42
48	представление о	3	41
49	или в	4	39
50	в его	6	38
51	для нас	2	38
52	тем что	5	38
53	и на	6	38
54	что здесь	3	37
55	так и	11	37
56	он не	8	37
57	уже не	9	37
58	как и	14	37
59	мы уже	6	37
60	мы можем	3	36
61	с тем	4	35
62	что они	2	35
63	все эти	4	35
64	мы не	11	35
65	не всегда	3	34
66	что это	20	34
67	но не	3	34
68	а именно	7	34
69	видим что	3	34
70	связи с	3	34
71	у него	2	34
72	же как	4	33
73	об этом	8	33
74	так в	2	31
75	ничего не	29	31
76	прежде всего	20	31
77	то это	9	31
78	при помощи	6	30
79	с этим	4	30
80	с одной	4	30
81	к нему	4	30
82	как мы	4	29
83	одной стороны	3	29
84	но это	10	29
85	например в	3	28
86	что она	13	28
87	и с	10	28
88	как он	4	27
89	так что	11	27
90	того что	22	27
91	могут быть	5	27
92	в ней	4	26
93	как это	8	26
94	вопрос о	9	25
95	и он	3	25
96	было бы	13	24
97	если бы	10	24
98	в виде	11	24
99	что мы	10	24
100	к этому	3	24
101	не менее	11	24
102	на небо	2	24
103	того как	2	24
104	все это	13	23
105	когда он	3	23
106	тем не	10	23
107	в частности	3	23
108	точно так	3	23
109	в этой	3	23
110	их в	2	23
111	и это	12	23
112	как бы	19	23
113	при этом	7	22
114	и по	2	22
115	с ним	3	22
116	в некоторых	3	22
117	совершенно ясно	2	21
118	в одном	3	21
119	сказать что	7	21
120	ее в	3	21
121	к тому	4	21
122	они не	3	21
123	здесь не	2	21
124	в связи	3	21
125	другими словами	8	20
126	она не	10	20
127	в мифе	18	20
128	одна из	4	20
129	в свете	3	20
130	из них	4	20
131	в силу	5	20
132	из этих	5	20
133	и как	13	19
134	что у	2	19
135	все еще	2	19
136	в другой	2	19
137	есть и	14	19
138	на то	5	19
139	но он	3	19
140	после этого	2	18
141	что этот	3	18
142	в данном	6	18
143	вовсе не	18	18
144	в то	9	18
145	нас к	2	17
146	по существу	2	17
147	то и	5	17
148	и только	6	17
149	очень много	3	17
150	и этим	3	17
151	том как	2	17
152	в них	6	17
153	дело не	2	17
154	то мы	3	16
155	и они	3	16
156	не вполне	2	16
157	всех этих	3	16
158	со стороны	5	16
159	и она	4	16
160	перед нами	5	16
161	и все	17	16
162	в котором	2	16
163	во всех	2	16
164	данном случае	3	15
165	в своей	4	15
166	и то	7	15
167	в особенности	9	15
168	друг друга	3	15
169	и эти	2	15
170	и даже	21	15
171	как будто	3	15
172	в одной	4	15
173	и тем	3	15
174	от него	2	14
175	у нас	7	14
176	должна быть	11	14
177	с этой	7	14
178	мы еще	2	14
179	имеем и	2	14
180	в него	2	14
181	из которых	4	14
182	и есть	24	14
183	его на	3	14
184	и ее	8	14
185	одной из	3	14
186	и наконец	2	14
187	но они	3	14
188	находится в	2	14
189	на себя	3	14
190	что иное	6	13
191	и для	5	13
192	все что	3	13
193	и от	4	13
194	его не	3	13
195	на котором	2	13
196	на этом	3	13
197	в своем	7	13
198	же можно	2	13
199	время как	6	13
200	или на	2	13
201	и у	3	13
202	не имеет	18	13
203	и если	5	13
204	в себе	8	13
205	с ними	3	13
206	не просто	20	13
207	по себе	31	13
208	то время	6	13
209	кроме того	8	12
210	во всем	5	12
211	в их	2	12
212	к этой	2	12
213	как только	5	12
214	утверждать что	6	12
215	хотя бы	9	12
216	чаще всего	3	12
217	ни один	2	12
218	в жертву	2	12
219	о нем	6	12
