N	2gram	Vygotskiy_	Poddanst
1	не только	28	17
2	и в	33	14
3	и не	18	12
4	в области	19	11
5	в этом	43	10
6	в отношении	18	10
7	но в	9	9
8	то же	12	9
9	в том	44	9
10	в качестве	13	9
11	хотя бы	5	8
12	в пределах	6	8
13	в то	5	7
14	только в	21	7
15	но и	14	6
16	было бы	18	6
17	в смысле	3	6
18	в ней	2	6
19	с другой	11	5
20	не в	10	5
21	в которых	2	5
22	отношении к	2	5
23	может быть	15	5
24	большей степени	2	4
25	по себе	8	4
26	что в	33	4
27	если бы	13	4
28	и потому	3	4
29	в своем	11	4
30	том что	41	4
31	мы должны	13	4
32	в котором	2	4
33	и к	7	4
34	как бы	11	4
35	то что	48	4
36	не может	31	4
37	а в	5	4
38	же в	2	4
39	что мы	11	3
40	и как	7	3
41	с тем	9	3
42	но не	13	3
43	тем самым	13	3
44	это не	8	3
45	с точки	12	3
46	столь же	5	3
47	мы не	6	3
48	для того	20	3
49	в себе	4	3
50	точки зрения	27	3
51	потому что	40	3
52	одной стороны	10	3
53	в нем	10	3
54	между тем	5	3
55	вслед за	3	3
56	могут быть	7	3
57	прежде всего	5	3
58	тот же	7	3
59	с одной	10	3
60	с ними	4	3
61	заключается в	15	3
62	наряду с	3	3
63	должно быть	10	2
64	переход от	7	2
65	в них	3	2
66	является в	2	2
67	в жизни	2	2
68	если в	4	2
69	есть не	3	2
70	отношения к	2	2
71	никак не	6	2
72	стороны и	3	2
73	к началу	5	2
74	и это	3	2
75	которую мы	3	2
76	точек зрения	4	2
77	и тем	5	2
78	и других	7	2
79	в его	15	2
80	с этим	9	2
81	по сравнению	9	2
82	сказывается в	2	2
83	не менее	4	2
84	говорить о	3	2
85	со стороны	3	2
86	именно в	8	2
87	в начале	2	2
88	в виде	3	2
89	еще более	5	2
90	тем более	5	2
91	все это	2	2
92	в частности	9	2
93	том числе	2	2
94	как на	4	2
95	друг другу	2	2
96	а не	14	2
97	во всей	3	2
98	и есть	8	2
99	и с	7	2
100	может ли	2	2
101	во всех	3	2
102	в тот	4	2
103	не нужно	2	2
104	как раз	5	2
105	есть в	2	2
106	в сфере	9	2
107	того что	34	2
108	в силу	14	2
109	из них	6	2
110	не столько	3	2
111	отнюдь не	2	2
