N	2gram	Berdyaev_V	VrazhdaK
1	не только	2	9
2	и что	3	8
3	в этом	4	8
4	и в	16	8
5	что в	3	7
6	но и	5	7
7	и все	4	7
8	то что	9	7
9	но в	3	6
10	как и	4	6
11	в котором	4	6
12	в нем	4	6
13	и не	20	5
14	не было	3	5
15	между тем	2	5
16	для нас	2	4
17	это не	2	4
18	все это	5	4
19	в ней	4	4
20	как бы	5	4
21	что он	4	4
22	в истории	8	4
23	с ним	2	4
24	давно уже	2	3
25	в том	3	3
26	в чем	3	3
27	и во	2	3
28	том что	2	3
29	в его	4	3
30	что есть	5	3
31	в конце	3	3
32	с его	3	3
33	тем что	2	3
34	никогда не	3	2
35	и то	2	2
36	в них	3	2
37	уже не	2	2
38	в мире	5	2
39	одна из	2	2
40	для него	2	2
41	и это	2	2
42	а в	2	2
43	в своей	3	2
44	еще не	8	2
45	что я	3	2
46	его и	2	2
47	их в	3	2
48	но это	3	2
49	а с	2	2
