N	2gram	Bakhtin_Fr	Sotsiolo
1	все это	19	7
2	в том	13	5
3	в этом	21	5
4	для нас	2	3
5	не только	11	3
6	в его	18	3
7	не в	12	3
8	и в	73	3
9	дело не	2	2
10	должна быть	3	2
11	отношению к	3	2
12	по отношению	3	2
13	еще не	3	2
14	только в	7	2
15	что в	14	2
16	в частности	2	2
17	том что	8	2
18	было бы	5	2
19	таким образом	34	2
20	то же	16	2
21	и что	5	2
22	конце концов	5	2
23	к которому	2	2
24	то что	12	2
25	как бы	15	2
26	но и	15	2
27	в конце	9	2
28	или даже	2	2
29	далеко не	2	2
30	может быть	5	2
31	по существу	8	2
32	в результате	7	2
33	ведь это	3	2
