N	2gram	Propp_Isto	Analitik
1	не только	30	71
2	тогда как	4	67
3	и в	41	66
4	в качестве	5	61
5	но и	20	57
6	в том	14	52
7	может быть	19	52
8	в частности	3	51
9	в этом	19	51
10	как и	8	50
11	и не	12	48
12	а не	9	42
13	том что	18	40
14	при этом	7	40
15	так и	8	35
16	своего рода	7	30
17	представляет собой	8	30
18	не может	19	29
19	как бы	8	29
20	а в	12	28
21	в его	4	27
22	и его	11	27
23	не в	12	26
24	но не	8	26
25	в себе	3	24
26	не случайно	3	24
27	к тому	4	22
28	и даже	3	22
29	в этой	2	22
30	что в	21	22
31	о том	15	20
32	по отношению	3	19
33	но в	7	19
34	в своей	4	19
35	то же	12	19
36	в самом	2	19
37	с его	4	19
38	в то	6	18
39	в данном	8	18
40	отношению к	3	18
41	тем самым	3	17
42	с другой	20	17
43	со стороны	3	17
44	в целом	2	17
45	только в	10	17
46	могут быть	3	16
47	то что	12	16
48	что и	13	16
49	в их	4	15
50	прежде всего	6	15
51	уже не	8	15
52	и на	12	15
53	данном случае	7	14
54	не менее	5	14
55	того же	3	14
56	мы имеем	27	14
57	далеко не	3	14
58	по себе	2	13
59	ничего не	7	13
60	точки зрения	4	13
61	в начале	2	13
62	а также	2	13
63	он не	8	13
64	никогда не	16	12
65	как это	6	12
66	еще не	13	12
67	как в	17	12
68	сводится к	3	12
69	и сам	3	12
70	даже в	2	11
71	это не	14	11
72	и как	3	11
73	не с	2	11
74	можно сказать	3	11
75	в конце	4	10
76	все же	14	10
77	на себя	3	10
78	однако в	2	10
79	один из	7	10
80	было бы	4	10
81	с одной	12	10
82	именно в	2	10
83	со своей	2	10
84	здесь не	4	10
85	отношения к	2	10
86	в своем	3	9
87	того что	7	9
88	не столько	4	9
89	одной стороны	12	9
90	другой стороны	17	9
91	во всех	8	9
92	том чтобы	3	9
93	в русской	8	9
94	вступает в	4	9
95	говорит о	2	9
96	таким образом	15	9
97	вместе с	17	9
98	перед нами	4	8
99	о чем	2	8
100	не всегда	6	8
101	что он	29	8
102	дело с	2	8
103	одной из	4	8
104	и все	6	8
105	хотя и	3	8
106	в основе	2	8
107	между двумя	2	8
108	дело не	5	8
109	если бы	3	8
110	он и	3	8
111	с ним	9	8
112	вплоть до	2	7
113	в литературе	2	7
114	в другом	2	7
115	и тем	4	7
116	в свое	3	7
117	на его	6	7
118	в ее	3	7
119	все это	9	7
120	во всяком	3	7
121	одна из	7	7
122	как будто	4	7
123	героя и	5	7
124	что иное	2	7
125	у него	16	7
126	или иначе	2	7
127	со своим	4	7
128	в одном	2	7
129	всяком случае	3	7
130	как мы	6	7
131	его в	7	6
132	если в	3	6
133	что не	3	6
134	в силу	2	6
135	должен быть	2	6
136	от своего	2	6
137	не знает	2	6
138	те же	2	6
139	в нем	12	6
140	ответ на	6	6
141	не будет	6	6
142	тем более	2	6
143	или в	11	6
144	он был	2	6
145	и то	3	6
146	из этих	6	6
147	его как	2	6
148	превращается в	10	6
149	во всем	2	6
150	тем не	4	6
151	и более	2	6
152	так или	2	6
153	восходит к	3	6
154	из которых	3	6
155	из них	2	6
156	уже в	4	6
157	по его	2	6
158	вовсе не	6	6
159	не могут	3	5
160	но как	4	5
161	на смену	2	5
162	так что	6	5
163	в один	2	5
164	на вопрос	5	5
165	а с	3	5
166	не так	4	5
167	в эту	3	5
168	он в	4	5
169	в них	4	5
170	и по	7	5
171	и до	2	5
172	все эти	8	5
173	мы не	10	5
174	этом случае	4	5
175	тот же	2	5
176	и здесь	13	5
177	к этому	5	5
178	и он	8	5
179	в особенности	2	5
180	для того	2	5
181	в этих	16	5
182	такой же	3	5
183	тем что	11	5
184	ни с	2	5
185	ни в	4	5
186	в котором	3	5
187	все что	4	5
188	о смерти	5	5
189	еще в	3	5
190	что мы	3	5
191	таким же	2	5
192	его к	2	4
193	и ее	6	4
194	в ответ	3	4
195	в области	3	4
196	вслед за	2	4
197	отношение к	6	4
198	а как	2	4
199	нас к	5	4
200	как он	11	4
201	как у	2	4
202	а именно	12	4
203	только на	2	4
204	в действительности	2	4
205	и о	2	4
206	к нему	8	4
207	и что	15	4
208	потому что	13	4
209	связь с	7	4
210	так в	10	4
211	в чем	5	4
212	его не	4	4
213	что же	2	4
214	с ними	2	4
215	и т	29	4
216	сказать что	5	4
217	и от	5	4
218	герой не	4	4
219	на небесах	2	4
220	но при	2	4
221	с этим	3	4
222	но это	5	4
223	не все	4	4
224	что она	6	4
225	в которой	2	4
226	представляют собой	5	4
227	от которого	2	4
228	отличается от	4	4
229	об этом	7	4
230	на него	3	4
231	здесь и	3	4
232	что по	2	4
233	ее в	3	4
234	мы уже	10	4
235	и если	4	4
236	еще одна	4	4
237	к самому	2	4
238	не было	3	4
239	или даже	3	4
240	и есть	2	4
241	вопрос о	6	3
242	это означает	3	3
243	в таких	3	3
244	которые в	3	3
245	мы должны	7	3
246	от него	6	3
247	для нее	2	3
248	как кажется	2	3
249	с целью	2	3
250	в состоянии	4	3
251	попадает в	5	3
252	он же	2	3
253	видеть в	3	3
254	тут же	2	3
255	героя в	3	3
256	к своему	4	3
257	на котором	3	3
258	себе в	3	3
259	рассказ о	2	3
260	с тем	8	3
261	говорилось выше	3	3
262	нам кажется	5	3
263	же не	2	3
264	она не	3	3
265	к этой	2	3
266	мира и	2	3
267	в ней	4	3
268	однако все	2	3
269	и те	2	3
270	с героем	3	3
271	случае в	2	3
272	этой связи	2	3
273	ли он	5	3
274	в зависимости	3	3
275	героя а	3	3
276	в тех	8	3
277	связи с	3	3
278	в связи	3	3
279	что они	5	3
280	во время	7	3
281	никто не	2	3
282	все еще	2	3
283	и больше	3	3
284	из его	2	3
285	в одну	3	3
286	никак не	2	3
287	например в	6	3
288	не от	3	3
289	тех же	2	3
290	независимо от	3	3
291	так как	21	3
292	можно было	3	3
293	всех этих	6	3
294	его за	2	3
295	и тот	3	3
296	зависимости от	4	3
297	и наконец	6	3
298	в жизни	2	3
299	с этой	7	3
300	себе не	2	3
301	где он	3	3
302	на этот	4	3
303	то он	2	3
304	они не	4	3
305	и наоборот	2	3
306	что у	6	3
307	во сне	2	3
308	на то	5	3
309	оно может	3	3
310	когда он	5	3
311	оно не	2	3
312	и с	4	3
313	если не	4	3
314	тогда когда	3	3
315	на место	2	3
316	жизни и	3	3
317	из этого	2	3
318	после чего	5	3
319	как на	3	3
320	но с	2	3
321	но он	4	3
322	этих случаях	18	3
323	способность к	2	2
324	этой стороны	4	2
325	первый взгляд	5	2
326	начиная с	2	2
327	оно есть	2	2
328	при помощи	6	2
329	бы с	2	2
330	характер в	2	2
331	я его	3	2
332	но мы	3	2
333	смерти и	2	2
334	так же	6	2
335	для нас	8	2
336	не имеют	3	2
337	в одной	3	2
338	в иной	3	2
339	герой в	2	2
340	к себе	4	2
341	что из	4	2
342	он как	3	2
343	при переходе	3	2
344	и эти	5	2
345	что именно	2	2
346	ее и	2	2
347	доказывает что	5	2
348	или с	2	2
349	в одно	2	2
350	и при	2	2
351	это как	2	2
352	когда мы	2	2
353	или менее	3	2
354	что ни	2	2
355	и исторически	2	2
356	в отдельности	3	2
357	характерно что	2	2
358	так например	5	2
359	с появлением	6	2
360	от них	2	2
361	стране мертвых	2	2
362	вступление в	2	2
363	тот кто	5	2
364	тому что	2	2
365	более или	3	2
366	теперь уже	2	2
367	все его	3	2
368	тех случаях	7	2
369	что этот	4	2
370	этой точки	3	2
371	между прочим	3	2
372	не его	2	2
373	по этому	3	2
374	и др	4	2
375	там где	7	2
376	еще одно	2	2
377	ибо он	2	2
378	и дело	2	2
379	здесь мы	11	2
380	по существу	5	2
381	но эта	2	2
382	мы видим	14	2
383	под этим	2	2
384	что это	6	2
385	миф и	2	2
386	если они	4	2
387	власть над	8	2
388	совершенно очевидно	2	2
389	т е	34	2
390	во многих	2	2
391	не будем	2	2
392	то и	6	2
393	утверждать что	3	2
394	не знаю	3	2
395	что во	2	2
396	а на	2	2
397	этого мира	2	2
398	при изучении	2	2
399	думать что	3	2
400	мы можем	11	2
401	только через	3	2
402	на первый	6	2
403	та же	5	2
404	и вот	2	2
405	должен был	2	2
406	у нас	4	2
407	не по	2	2
408	от всех	2	2
409	к месту	2	2
410	обратимся к	2	2
411	но они	4	2
412	сих пор	5	2
413	но если	2	2
414	случаях когда	7	2
415	в ином	18	2
416	от его	2	2
417	за ним	3	2
418	не имеет	6	2
419	связаны с	4	2
420	в дальнейшем	3	2
421	вообще не	4	2
422	самое время	2	2
423	он может	4	2
424	пребывание в	3	2
425	их в	3	2
426	к ним	3	2
427	не вполне	5	2
428	что при	3	2
429	этот вопрос	3	2
430	и стал	4	2
431	что между	4	2
432	здесь совершенно	2	2
433	если он	5	2
434	не можем	3	2
435	не могу	2	2
436	подобных случаях	2	2
437	борьбе с	2	2
438	то самое	2	2
439	которой он	3	2
440	перед ним	2	2
441	к другому	2	2
442	то ли	2	2
443	не просто	3	2
444	и только	4	2
445	в форме	4	2
446	как его	2	2
447	и становится	4	2
448	до сих	4	2
449	не удается	2	2
450	знаю что	3	2
