N	3gram	Medvedev_F	StatiiOP
1	в том что	3	47
2	и т д	11	32
3	в этом отношении	7	24
4	для того чтобы	3	19
5	и т п	11	19
6	до сих пор	7	19
7	с точки зрения	17	14
8	во всяком случае	6	13
9	с другой стороны	4	13
10	не может быть	11	11
11	в то же	13	9
12	в самом деле	5	9
13	то же время	13	9
14	вместе с тем	5	9
15	на самом деле	7	8
16	тем не менее	2	8
17	к тому что	3	8
18	в данном случае	2	7
19	не в том	3	7
20	в конце концов	2	7
21	и в этом	6	7
22	но все же	2	7
23	по отношению к	4	6
24	так и в	6	6
25	не только не	2	6
26	в том смысле	3	6
27	в этом смысле	3	6
28	с тем что	3	5
29	с самого начала	2	5
30	т п в	2	5
31	в своей статье	5	5
32	но и в	4	5
33	в том чтобы	3	5
34	в применении к	4	4
35	в предисловии к	3	4
36	ничего общего с	2	4
37	сами по себе	4	4
38	в связи с	9	4
39	с одной стороны	5	4
40	что и в	2	4
41	того или иного	6	4
42	бы то ни	4	3
43	прежде всего в	5	3
44	в той же	2	3
45	т е в	2	3
46	том смысле что	2	3
47	а вовсе не	2	3
48	и не в	2	3
49	в лучшем случае	3	3
50	более или менее	7	3
51	в значительной степени	3	3
52	как мы видели	5	2
53	все более и	3	2
54	сам по себе	2	2
55	в целом ряде	2	2
56	но в то	3	2
57	может быть и	4	2
58	и пр но	2	2
59	и в то	4	2
60	в отличие от	2	2
61	у нас не	3	2
62	точки зрения их	2	2
63	в настоящее время	11	2
64	в зависимости от	4	2
65	как бы ни	3	2
66	но и с	2	2
67	что в нем	2	2
68	более и более	3	2
69	в свою очередь	6	2
70	при таком положении	3	2
