N	2gram	Propp_Isto	Otkroven
1	у него	7	22
2	и в	44	19
3	но и	16	13
4	и не	19	13
5	в этом	20	12
6	не только	17	11
7	человека в	5	11
8	не в	11	11
9	а не	5	11
10	может быть	31	11
11	и все	4	10
12	человека и	2	10
13	в нем	10	10
14	вопрос о	5	10
15	никогда не	5	9
16	потому что	18	9
17	не было	2	9
18	прежде всего	7	9
19	и он	9	8
20	он был	2	8
21	лишь в	2	7
22	в его	16	7
23	от него	2	7
24	он не	5	7
25	он всегда	2	7
26	но он	2	7
27	как и	12	6
28	все это	4	6
29	для него	2	5
30	а в	9	5
31	в том	13	5
32	него в	2	5
33	то что	16	5
34	в этой	5	5
35	отношение к	3	5
36	и его	15	4
37	что в	18	4
38	того чтобы	3	4
39	все эти	11	4
40	него и	6	4
41	т е	27	4
42	в самую	2	4
43	не может	10	4
44	что не	3	4
45	с его	3	4
46	о том	11	3
47	это не	8	3
48	к нему	5	3
49	не могут	2	3
50	что он	29	3
51	о природе	3	3
52	и вот	4	3
53	было бы	2	3
54	для того	3	3
55	еще не	16	3
56	и есть	3	3
57	все что	5	3
58	в этих	7	3
59	в своих	4	3
60	в русской	8	3
61	когда он	7	3
62	никто не	4	3
63	как бы	4	3
64	хотя бы	2	3
65	могут быть	9	3
66	это было	2	3
67	с ним	9	3
68	того что	3	3
69	одно из	3	2
70	и то	5	2
71	сказать что	2	2
72	и на	11	2
73	этом он	2	2
74	с тем	9	2
75	уже в	4	2
76	и для	3	2
77	и там	3	2
78	что все	4	2
79	не имеет	4	2
80	ничего не	4	2
81	в человеческом	2	2
82	и с	8	2
83	что и	11	2
84	ее в	8	2
85	и потому	2	2
86	в ее	4	2
87	в других	4	2
88	в своем	3	2
89	и этим	6	2
90	тем что	12	2
91	но в	7	2
92	том что	12	2
93	к этой	3	2
94	же можно	4	2
95	все же	17	2
96	в своей	3	2
97	он в	3	2
98	так как	19	2
99	по себе	2	2
100	что у	6	2
101	что они	3	2
102	в истории	7	2
103	так что	2	2
104	даже и	2	2
105	и о	2	2
106	к этому	5	2
107	все еще	6	2
108	и к	3	2
109	так и	9	2
110	в которой	4	2
111	к ней	2	2
112	его не	3	2
113	и из	3	2
114	в другом	2	2
115	что есть	2	2
116	в этот	2	2
117	их не	3	2
118	его в	17	2
