N	3gram	Savitsky_E	DiskursI
1	в том что	6	28
2	с одной стороны	8	14
3	не может быть	2	12
4	в данном случае	2	12
5	той или иной	4	10
6	то же время	14	10
7	в то же	15	8
8	в этом отношении	3	8
9	так и в	2	6
10	с точки зрения	16	6
11	одной стороны и	6	5
12	не только в	4	5
13	с другой стороны	2	5
14	в свою очередь	2	5
15	и прежде всего	3	4
16	можно сказать что	3	4
17	в частности в	2	4
18	не более чем	2	4
19	и в частности	2	3
20	во всяком случае	3	3
21	того или иного	4	3
22	не говоря уже	2	3
23	то ни было	4	2
24	бы то ни	4	2
25	прежде всего в	2	2
26	как мы видели	2	2
27	в большинстве случаев	2	2
28	заключает в себе	3	2
29	только в том	2	2
30	и в то	8	2
31	по себе не	2	2
32	в одном из	2	2
