N	2gram	Propp_Isto	SlovoVZh
1	не может	19	16
2	может быть	37	14
3	и его	5	13
4	как бы	6	13
5	и в	40	12
6	таким образом	13	12
7	отношению к	6	11
8	по отношению	6	11
9	и не	19	10
10	так как	20	9
11	если бы	8	9
12	прежде всего	15	8
13	для нас	17	7
14	сказать что	7	7
15	при этом	6	6
16	в том	12	6
17	в нем	8	6
18	только в	16	6
19	в ней	10	6
20	никогда не	25	5
21	как в	7	5
22	что мы	9	5
23	в жизни	2	5
24	в виду	2	5
25	но в	13	5
26	том что	11	5
27	то же	21	5
28	как и	5	5
29	должна быть	5	5
30	хотя бы	5	5
31	а не	18	5
32	то что	17	5
33	и др	11	5
34	отнюдь не	2	5
35	в этом	13	4
36	не только	28	4
37	на самом	3	4
38	что не	2	4
39	его в	15	4
40	зависимости от	3	4
41	материала и	2	4
42	не в	11	4
43	ни было	2	4
44	с другой	8	4
45	все же	17	4
46	дело в	3	4
47	к нему	3	4
48	к материалу	2	4
49	так и	13	4
50	и на	6	4
51	уже не	3	4
52	в них	2	3
53	по себе	4	3
54	в каком	2	3
55	о том	12	3
56	и для	5	3
57	и герой	3	3
58	да и	3	3
59	он должен	3	3
60	из этого	3	3
61	ни в	2	3
62	все эти	6	3
63	в котором	5	3
64	бы то	2	3
65	и наконец	5	3
66	то ни	2	3
67	так же	18	3
68	в своей	2	3
69	мы не	12	3
70	конечно не	2	3
71	точка зрения	2	3
72	в себе	6	3
73	еще не	14	3
74	здесь не	5	3
75	все это	6	3
76	только на	2	3
77	когда он	9	3
78	и ее	3	3
79	в некоторых	4	3
80	между тем	2	3
81	и с	5	3
82	бы мы	2	3
83	не менее	7	3
84	сих пор	12	3
85	с ним	3	3
86	до сих	11	3
87	в пределах	4	3
88	и по	4	3
89	в такой	2	3
90	самом деле	2	3
91	и пр	11	3
92	того что	6	3
93	тем не	7	3
94	с героем	2	3
95	и более	3	3
96	но и	21	3
97	для него	2	3
98	ясно что	2	3
99	едва ли	2	2
100	и дает	2	2
101	в особенности	3	2
102	и то	3	2
103	мы в	4	2
104	в его	10	2
105	и здесь	15	2
106	что в	19	2
107	к ним	4	2
108	социальной жизни	4	2
109	не так	2	2
110	не есть	2	2
111	как уже	2	2
112	же относится	2	2
113	ничего не	6	2
114	что и	9	2
115	это не	8	2
116	можно найти	2	2
117	кроме того	3	2
118	там где	5	2
119	нас же	2	2
120	она не	6	2
121	но все	9	2
122	в своем	5	2
123	дело с	2	2
124	и вполне	2	2
125	в зависимости	3	2
126	но мы	2	2
127	с другими	2	2
128	действия и	3	2
129	зависит от	3	2
130	мы имеем	25	2
131	и что	14	2
132	в то	4	2
133	себя и	2	2
134	уже в	2	2
135	в этих	17	2
136	одной стороны	7	2
137	связь с	8	2
138	в основном	4	2
139	и другие	7	2
140	но это	8	2
141	он не	10	2
142	в какой	4	2
143	подчеркнуть что	2	2
144	такой же	2	2
145	точку зрения	3	2
146	и потому	3	2
147	его как	2	2
148	имеем в	4	2
149	но не	7	2
150	как это	6	2
151	на это	3	2
152	в себя	2	2
153	поскольку они	2	2
154	мы можем	7	2
155	была бы	2	2
156	могут быть	5	2
157	между собой	4	2
158	нет ничего	2	2
159	в форме	3	2
160	и так	3	2
161	с одной	8	2
162	относится к	2	2
163	к этому	2	2
164	же самое	3	2
165	слагается из	2	2
166	между ними	2	2
167	тогда когда	2	2
168	но что	2	2
169	другой стороны	7	2
170	вместе с	13	2
171	со всех	4	2
172	на него	7	2
