N	2gram	Propp_Isto	Mirosoze
1	и в	41	97
2	может быть	19	64
3	не только	30	63
4	в этом	19	55
5	но и	20	54
6	он не	8	53
7	а не	9	53
8	в нем	12	49
9	не может	19	49
10	у него	16	47
11	и не	12	39
12	никогда не	16	38
13	потому что	13	37
14	в ней	4	37
15	не было	3	36
16	не в	12	34
17	и есть	2	33
18	но он	4	30
19	прежде всего	6	29
20	как и	8	29
21	но в	7	27
22	и он	8	27
23	и это	9	25
24	в своей	4	25
25	он был	2	25
26	и все	6	24
27	у нас	4	24
28	в своем	3	23
29	что в	21	23
30	что он	29	22
31	в самом	2	21
32	в себе	3	20
33	отношение к	6	20
34	как бы	8	19
35	в его	4	18
36	того что	7	17
37	в том	14	16
38	том что	18	16
39	то что	12	16
40	было бы	4	16
41	на земле	6	16
42	и его	11	16
43	духа в	2	15
44	в этой	2	15
45	не знает	2	15
46	в котором	3	15
47	в конце	4	14
48	она не	3	14
49	так как	21	14
50	та же	5	13
51	и вот	2	13
52	друг друга	2	13
53	и на	12	13
54	это не	14	12
55	и у	3	12
56	к нему	8	12
57	в них	4	12
58	все это	9	12
59	но не	8	12
60	с тем	8	11
61	и там	6	11
62	но это	5	11
63	в которой	2	11
64	только в	10	11
65	как в	17	11
66	в русской	8	11
67	уже не	8	11
68	жизни и	3	11
69	не могут	3	10
70	так же	6	10
71	один из	7	10
72	должна быть	3	10
73	то же	12	10
74	связана с	4	10
75	не имеет	6	10
76	доходит до	3	9
77	есть и	6	9
78	а в	12	9
79	к тому	4	9
80	не будет	6	9
81	что и	13	9
82	из самых	2	9
83	все что	4	9
84	с ним	9	9
85	вместе с	17	9
86	вопрос о	6	8
87	ничего не	7	8
88	от него	6	8
89	в этих	16	8
90	не так	4	8
91	они не	4	8
92	мира и	2	8
93	что не	3	8
94	т е	34	8
95	не знал	2	8
96	нет в	2	8
97	с его	4	8
98	тем что	11	8
99	для того	2	8
100	о том	15	8
101	и с	4	8
102	еще в	3	8
103	уже в	4	8
104	те же	2	7
105	как он	11	7
106	но если	2	7
107	должен быть	2	7
108	в народе	3	7
109	он в	4	7
110	точки зрения	4	7
111	все еще	2	7
112	что она	6	7
113	в жизни	2	7
114	если он	5	7
115	все в	2	7
116	не могу	2	7
117	от нее	2	7
118	отношения к	2	7
119	во всем	2	7
120	его в	7	6
121	у них	3	6
122	увидим что	2	6
123	и она	3	6
124	в ее	3	6
125	его на	2	6
126	его не	4	6
127	и те	2	6
128	в образе	4	6
129	должен был	2	6
130	того как	5	6
131	самого себя	2	6
132	и от	5	6
133	что это	6	6
134	и нет	3	6
135	можно было	3	6
136	этого мира	2	6
137	к ней	3	6
138	к концу	3	6
139	если бы	3	6
140	с этой	7	6
141	и более	2	6
142	что у	6	6
143	на то	5	6
144	и здесь	13	6
145	в которых	2	6
146	и если	4	5
147	есть явление	2	5
148	оно не	2	5
149	с собой	7	5
150	в то	6	5
151	в их	4	5
152	так и	8	5
153	все время	2	5
154	от этого	2	5
155	тот кто	5	5
156	связано с	7	5
157	в более	3	5
158	как у	2	5
159	и вместе	3	5
160	не стоит	2	5
161	должны быть	4	5
162	сказать что	5	5
163	тот же	2	5
164	во всяком	3	5
165	в основе	2	5
166	с этим	3	5
167	него и	5	5
168	которые не	2	5
169	отличается от	4	5
170	и как	3	5
171	мы увидим	6	5
172	еще не	13	5
173	как будто	4	5
174	сих пор	5	5
175	после того	6	5
176	то он	2	5
177	думать что	3	5
178	он же	2	5
179	когда он	5	5
180	был в	2	5
181	которых он	2	5
182	перед ним	2	5
183	до сих	4	5
184	в царстве	4	5
185	ее и	2	4
186	по отношению	3	4
187	и через	2	4
188	к себе	4	4
189	от того	4	4
190	не всегда	6	4
191	так что	6	4
192	что иное	2	4
193	к другому	2	4
194	а с	3	4
195	в чем	5	4
196	в него	4	4
197	тому что	2	4
198	к этой	2	4
199	и этим	7	4
200	и тот	3	4
201	себе и	3	4
202	могут быть	3	4
203	иной мир	5	4
204	тогда когда	3	4
205	живет в	2	4
206	в начале	2	4
207	на землю	4	4
208	мы видим	14	4
209	и до	2	4
210	все эти	8	4
211	что они	5	4
212	себе в	3	4
213	никто не	2	4
214	сам он	3	4
215	не все	4	4
216	не от	3	4
217	к которой	2	4
218	его с	2	4
219	значит что	3	4
220	лежит в	2	4
221	оно есть	2	4
222	с ней	4	4
223	землю и	2	4
224	и даже	3	4
225	и по	7	4
226	в свете	4	4
227	небо и	5	4
228	ни в	4	4
229	в середине	2	4
230	и только	4	4
231	мы не	10	4
232	отношению к	3	4
233	от его	2	4
234	время как	4	4
235	ни с	2	4
236	мы еще	2	4
237	не случайно	3	4
238	на своем	4	4
239	и что	15	4
240	то время	4	4
241	этого вопроса	2	3
242	о чем	2	3
243	отречения от	2	3
244	приходит к	4	3
245	в состоянии	4	3
246	должны были	4	3
247	него есть	3	3
248	на смену	2	3
249	и тем	4	3
250	но она	2	3
251	раньше чем	4	3
252	все же	14	3
253	можно ли	2	3
254	мы должны	7	3
255	на том	10	3
256	все его	3	3
257	что же	2	3
258	существо и	2	3
259	в картине	2	3
260	ту же	3	3
261	на его	6	3
262	же как	6	3
263	когда в	3	3
264	и когда	2	3
265	ли он	5	3
266	ответить на	2	3
267	это значит	3	3
268	стоит в	3	3
269	хотя и	3	3
270	стоит на	3	3
271	ее он	2	3
