N	2gram	Nazirov_Tr	Morfolog
1	может быть	7	61
2	не может	5	19
3	в этом	9	18
4	и в	18	17
5	и не	7	16
6	перед нами	2	14
7	прежде всего	4	14
8	вопрос о	2	10
9	то же	5	10
10	в том	2	10
11	то что	4	10
12	так и	5	10
13	что в	4	10
14	что и	2	10
15	все же	5	9
16	но и	4	9
17	не только	8	8
18	не могут	2	7
19	том что	4	7
20	как это	3	7
21	и здесь	2	7
22	один из	3	7
23	потому что	2	7
24	это не	5	6
25	но это	4	6
26	и как	3	6
27	о том	2	6
28	в образе	6	6
29	как бы	7	6
30	одна из	2	5
31	ничего не	2	5
32	в поле	3	5
33	и ее	2	5
34	об этом	4	5
35	в ходе	2	5
36	что он	6	5
37	как в	3	5
38	к тому	2	5
39	в целом	4	5
40	все эти	3	5
41	он не	2	5
42	в первом	2	5
43	его в	2	4
44	так же	4	4
45	в то	5	4
46	тем что	2	4
47	еще не	4	4
48	но в	6	4
49	но все	2	4
50	как и	5	4
51	уже не	2	4
52	несмотря на	5	4
53	о его	2	4
54	никто не	3	4
55	раз он	2	3
56	как же	2	3
57	что это	5	3
58	друг друга	2	3
59	в виде	2	3
60	состоит из	2	3
61	не в	2	3
62	к нему	3	3
63	это уже	2	3
64	ни в	2	3
65	с иваном	2	3
66	и что	4	3
67	и его	6	3
68	что эти	2	3
69	в этой	4	3
70	с его	2	3
71	данном случае	2	2
72	в данном	2	2
73	в глаза	2	2
74	и даже	4	2
75	что она	2	2
76	в частности	2	2
77	ничем не	2	2
78	и за	2	2
79	с тем	2	2
80	не так	2	2
81	не имеет	2	2
82	во сне	2	2
83	но они	2	2
84	точно так	2	2
85	что этот	2	2
86	вряд ли	2	2
87	все это	4	2
88	у него	6	2
89	как будто	3	2
90	который в	2	2
91	для него	3	2
92	в одном	2	2
