N	2gram	Vinokur_Vv	RusskieA
1	и в	35	79
2	в том	38	64
3	том что	30	59
4	что в	13	57
5	т е	40	54
6	не только	26	41
7	так как	15	34
8	в этом	35	33
9	и другие	2	33
10	состоит в	2	32
11	как бы	7	31
12	но и	7	31
13	в и	4	30
14	как и	7	28
15	может быть	30	28
16	и на	3	28
17	в этот	2	26
18	одна из	3	24
19	и т	45	23
20	о том	16	23
21	при этом	3	22
22	т д	39	21
23	это не	8	20
24	е в	4	20
25	как мы	11	20
26	а в	6	20
27	из них	4	19
28	xix в	12	18
29	представляют собой	9	18
30	все это	6	18
31	с тем	6	17
32	потому что	18	17
33	то что	19	17
34	об этом	6	17
35	таким образом	21	17
36	вместе с	6	17
37	мы не	2	16
38	один из	6	15
39	будто бы	2	15
40	у нас	2	14
41	мы видели	3	14
42	не менее	9	14
43	в них	5	14
44	как это	5	14
45	тем не	9	14
46	и не	13	14
47	и с	2	14
48	и что	6	14
49	так что	5	13
50	к этому	3	13
51	не может	19	13
52	еще не	4	13
53	как в	3	13
54	уже не	6	13
55	в которых	6	13
56	в виде	4	12
57	этом случае	6	12
58	мы имеем	4	12
59	тем что	6	12
60	а затем	2	11
61	но это	2	11
62	не имеет	4	11
63	его в	6	10
64	и других	3	10
65	так и	2	10
66	по существу	2	10
67	так например	6	10
68	между тем	10	10
69	все же	9	10
70	что и	5	10
71	а также	3	10
72	в течение	5	10
73	том чтобы	6	10
74	представляет собой	14	10
75	данном случае	5	9
76	о чем	4	9
77	том же	2	9
78	но в	10	9
79	что они	2	9
80	того как	3	9
81	с ней	2	9
82	то же	11	9
83	в г	5	9
84	но не	9	9
85	так же	3	8
86	после этого	2	8
87	того что	12	8
88	одно из	5	8
89	как уже	5	8
90	в данном	11	8
91	того чтобы	22	8
92	связи с	3	8
93	что это	3	8
94	как например	6	8
95	во всех	2	8
96	подобно тому	2	8
97	для того	23	8
98	в этих	3	8
99	тому как	2	8
100	в своем	3	7
101	мы должны	2	7
102	ничего не	2	7
103	не в	10	7
104	должна была	2	7
105	а с	2	7
106	к нему	3	7
107	по этому	3	7
108	было бы	7	7
109	до конца	3	7
110	для этого	3	7
111	из этих	9	7
112	и как	9	7
113	только в	16	7
114	как будто	3	7
115	а не	5	7
116	в этой	3	6
117	на этом	3	6
118	в их	12	6
119	только на	3	6
120	в в	3	6
121	тому что	2	6
122	к тому	4	6
123	в нем	13	6
124	этому поводу	3	6
125	же как	3	6
126	все эти	3	6
127	в качестве	8	6
128	чем в	3	6
129	в одном	4	6
130	что она	3	6
131	что здесь	2	6
132	должен был	4	6
133	после того	2	6
134	на нее	3	6
135	вопрос о	10	5
136	и потому	2	5
137	в тех	2	5
138	но если	6	5
139	или же	3	5
