N	3gram	Propp_Isto	slovoVRo
1	не может быть	8	19
2	в отличие от	3	14
3	в большинстве случаев	4	11
4	с одной стороны	7	11
5	и т д	35	10
6	более или менее	5	9
7	в этом случае	3	9
8	в зависимости от	3	8
9	большей или меньшей	2	6
10	с другой стороны	7	6
11	но все же	7	6
12	в том что	6	5
13	не только в	5	5
14	по отношению к	6	5
15	друг с другом	3	4
16	до сих пор	11	4
17	со всех сторон	4	3
18	в связи с	5	3
19	не только на	2	2
20	мы не можем	3	2
21	и в нем	2	2
22	о том что	5	2
23	иметь в виду	2	2
24	можно было бы	5	2
25	в то время	3	2
26	с самого начала	4	2
27	но и в	4	2
28	в других случаях	2	2
29	то время как	3	2
30	тем не менее	7	2
