N	2gram	Propp_Isto	EvropaiC
1	таким образом	15	34
2	в том	14	31
3	и в	41	24
4	том что	18	20
5	все эти	8	19
6	не может	19	18
7	то что	12	18
8	может быть	19	17
9	до сих	4	15
10	все же	14	15
11	сих пор	5	15
12	точки зрения	4	14
13	в этом	19	13
14	все это	9	13
15	в своем	3	12
16	с этим	3	12
17	по отношению	3	11
18	но и	20	11
19	отношению к	3	11
20	не только	30	10
21	так и	8	10
22	во всех	8	10
23	мы знаем	4	10
24	как и	8	10
25	все что	4	10
26	как бы	8	10
27	и не	12	9
28	не в	12	9
29	что в	21	9
30	и все	6	9
31	на то	5	9
32	того же	3	9
33	потому что	13	9
34	при этом	7	9
35	и что	15	9
36	так же	6	8
37	из этих	6	8
38	или менее	3	8
39	если бы	3	8
40	для того	2	8
41	к тому	4	8
42	более или	3	8
43	в самом	2	8
44	знаем что	5	8
45	у народа	2	8
46	ясно что	2	8
47	так как	21	7
48	в силу	2	7
49	что он	29	7
50	того что	7	7
51	не менее	5	7
52	о том	15	7
53	из этого	2	7
54	что и	13	7
55	в этой	2	7
56	по существу	5	7
57	что при	3	7
58	вместе с	17	7
59	отличается от	4	6
60	только в	10	6
61	у них	3	6
62	еще не	13	6
63	и при	2	6
64	так что	6	6
65	в то	6	6
66	должна быть	3	6
67	с другой	20	6
68	и если	4	6
69	и на	12	6
70	мы можем	11	6
71	тогда как	4	6
72	как на	3	6
73	с ним	9	6
74	и от	5	5
75	его в	7	5
76	но все	5	5
77	в себе	3	5
78	в состоянии	4	5
79	к этому	5	5
80	оказывается что	3	5
81	в которой	2	5
82	ничем не	2	5
83	из них	2	5
84	что это	6	5
85	так или	2	5
86	у него	16	5
87	далеко не	3	5
88	но в	7	5
89	именно в	2	5
90	или иначе	2	5
91	и с	4	5
92	другой стороны	17	5
93	в целом	2	5
94	не будет	6	5
95	между двумя	2	5
96	в его	4	5
97	как будто	4	5
98	никогда не	16	4
99	в одну	3	4
100	и то	3	4
101	самого себя	2	4
102	не могут	3	4
103	мы должны	7	4
104	всех этих	6	4
105	тем не	4	4
106	в конце	4	4
107	отношение к	6	4
108	и у	3	4
109	ее и	2	4
110	та же	5	4
111	то же	12	4
112	в их	4	4
113	выше и	3	4
114	в области	3	4
115	а с	3	4
116	в виде	5	4
117	что его	2	4
118	с тем	8	4
119	не так	4	4
120	этом случае	4	4
121	представление об	6	4
122	на вопрос	5	4
123	из которых	3	4
124	в народе	3	4
125	что мы	3	4
126	выше мы	4	4
127	связи с	3	4
128	он не	8	4
129	в дальнейшем	3	4
130	хотя и	3	4
131	мы уже	10	4
132	даже в	2	3
133	данном случае	7	3
134	представление о	9	3
135	вопрос о	6	3
136	тем самым	3	3
137	при помощи	6	3
138	это не	14	3
139	что если	2	3
140	что по	2	3
141	к которой	2	3
142	и до	2	3
143	от него	6	3
144	на земле	6	3
145	в начале	2	3
146	тем более	2	3
147	в тех	8	3
148	которые не	2	3
149	от того	4	3
150	с этой	7	3
151	в этих	16	3
152	конечно не	2	3
153	и других	2	3
154	в связи	3	3
155	и наконец	6	3
156	как у	2	3
157	у нас	4	3
158	чтобы все	2	3
159	они должны	3	3
160	но по	2	3
161	прежде всего	6	3
162	с одной	12	3
163	в жизни	2	3
164	но не	8	3
165	очень много	2	3
166	и это	9	3
167	в данном	8	3
168	а в	12	3
169	не вполне	5	3
170	в нем	12	3
171	в ней	4	3
172	тогда когда	3	3
173	для нас	8	3
174	же не	2	3
175	должны быть	4	3
176	было бы	4	3
177	и по	7	3
178	таким же	2	3
179	случаях когда	7	3
180	во всем	2	3
181	же как	6	3
182	это представление	12	3
183	тот же	2	3
184	как мы	6	3
185	образом и	3	2
186	все дело	2	2
187	одна из	7	2
188	другими словами	3	2
189	нет в	2	2
190	не от	3	2
191	тех же	2	2
192	то и	6	2
193	независимо от	3	2
194	но как	4	2
195	что под	2	2
196	к ним	3	2
197	и ее	6	2
198	то время	4	2
199	что она	6	2
200	от которого	2	2
201	в другом	2	2
202	но если	2	2
203	на него	3	2
204	друг друга	2	2
205	должен быть	2	2
206	зависимости от	4	2
207	не будут	2	2
208	на первый	6	2
209	не было	3	2
210	в частности	3	2
211	по его	2	2
212	что они	5	2
213	на друга	2	2
214	такой же	3	2
215	в один	2	2
216	никто не	2	2
217	не знает	2	2
218	и из	2	2
219	в одно	2	2
220	всех других	2	2
221	друг на	2	2
222	показывают что	7	2
223	не стоит	2	2
224	это конечно	2	2
225	мы видели	17	2
226	от них	2	2
227	том чтобы	3	2
228	и так	2	2
229	в эту	3	2
230	не имеет	6	2
231	это обстоятельство	2	2
232	случай с	2	2
233	для этой	2	2
234	но так	4	2
235	народа от	2	2
236	что у	6	2
237	тому что	2	2
238	к нему	8	2
239	она не	3	2
240	на том	10	2
241	они не	4	2
242	в котором	3	2
243	если это	2	2
244	их в	3	2
245	все его	3	2
246	те же	2	2
247	и там	6	2
248	ту же	3	2
249	этот вопрос	3	2
250	в которых	2	2
251	одной стороны	12	2
252	но для	3	2
253	стоят в	2	2
254	между прочим	3	2
255	и те	2	2
256	если он	5	2
257	что за	3	2
258	по этому	3	2
259	в них	4	2
260	можно ли	2	2
261	со своей	2	2
262	что же	2	2
263	совершенно ясно	8	2
264	всяком случае	3	2
265	же что	2	2
266	жизни и	3	2
267	и некоторые	2	2
268	сводится к	3	2
269	с ними	2	2
270	от нее	2	2
271	но вместе	2	2
272	во всяком	3	2
273	из него	3	2
274	ответить на	2	2
275	и его	11	2
276	и только	4	2
277	и сам	3	2
278	из одного	3	2
279	заметим что	2	2
280	и более	2	2
281	что эти	4	2
282	но с	2	2
283	все в	2	2
284	вовсе не	6	2
285	в основе	2	2
