N	2gram	Propp_Isto	VerxiiNi
1	и в	44	26
2	таким образом	21	22
3	с тем	9	18
4	в этом	20	15
5	вместе с	26	15
6	точки зрения	3	13
7	как бы	4	12
8	в том	13	11
9	не только	17	10
10	из этих	5	10
11	и с	8	10
12	может быть	31	10
13	после смерти	3	10
14	что в	18	9
15	так как	19	9
16	связи с	10	9
17	но и	16	9
18	но не	8	8
19	с другой	11	8
20	в индии	6	8
21	главным образом	2	8
22	и у	3	8
23	и не	19	8
24	как на	3	8
25	но все	8	7
26	к нему	5	7
27	потому что	18	7
28	связанные с	5	7
29	одной стороны	7	7
30	из них	4	7
31	то что	16	7
32	с одной	7	7
33	но в	7	7
34	том что	12	7
35	а с	2	7
36	представление о	22	6
37	все же	17	6
38	о том	11	6
39	мы должны	7	6
40	того же	3	6
41	несмотря на	3	6
42	что и	11	6
43	все эти	11	6
44	все это	4	6
45	и потому	2	6
46	так и	9	6
47	никогда не	5	5
48	одной из	3	5
49	и для	3	5
50	не имеет	4	5
51	так же	14	5
52	том числе	3	5
53	и к	3	5
54	в силу	7	5
55	друг с	2	5
56	отношение к	3	5
57	того чтобы	3	5
58	лишь в	2	5
59	в его	16	5
60	для того	3	5
61	с другом	2	5
62	а не	5	5
63	образом в	3	5
64	сих пор	7	5
65	до сих	7	5
66	на этот	2	4
67	что все	4	4
68	а в	9	4
69	с другими	4	4
70	в котором	2	4
71	в нем	10	4
72	не может	10	4
73	и тогда	2	4
74	в которых	4	4
75	попадает в	5	4
76	что оно	4	4
77	и вместе	3	4
78	из которых	7	4
79	целый ряд	4	4
80	в виде	13	4
81	то же	9	4
82	числе и	2	4
83	и что	13	4
84	и по	3	4
85	в этих	7	4
86	только в	8	4
87	что он	29	4
88	он не	5	4
89	во время	12	4
90	в течение	2	4
91	в этой	5	4
92	в то	5	4
93	что это	8	3
94	на нее	3	3
95	в своем	3	3
96	если в	4	3
97	оказывается что	2	3
98	к ним	2	3
99	большей частью	3	3
100	точно так	3	3
101	уже не	14	3
102	хотя бы	2	3
103	к этому	5	3
104	с ней	2	3
105	в которой	4	3
106	индии в	3	3
107	тем не	6	3
108	представляет собой	8	3
109	и даже	4	3
110	и как	5	3
111	за собой	5	3
112	если бы	5	3
113	же как	12	3
114	в других	4	3
115	при этом	4	3
116	не менее	6	3
117	у них	2	3
118	когда он	7	3
119	в качестве	13	3
120	и при	3	3
121	с этой	4	3
122	в связи	6	3
123	и другие	5	3
124	в таком	2	3
125	так что	2	3
126	ясно что	5	3
127	и о	2	3
128	можно сказать	2	3
129	отношению к	2	3
130	и таким	2	3
131	в одном	2	3
132	того что	3	3
133	для него	2	3
134	мы видели	9	2
135	одно из	3	2
136	сказать что	2	2
137	так например	3	2
138	связан с	7	2
139	от них	2	2
140	но вместе	4	2
141	для этого	3	2
142	этой точки	2	2
143	нами и	2	2
144	и заставляет	2	2
145	из этого	3	2
146	и это	5	2
147	не могут	2	2
148	но при	2	2
149	а также	5	2
150	на то	3	2
151	утверждать что	2	2
152	относится к	3	2
153	ли это	2	2
154	и сейчас	3	2
155	он в	3	2
156	мы имеем	22	2
157	мы можем	6	2
158	связь с	20	2
159	ему в	3	2
160	не потому	5	2
161	одним из	4	2
162	только что	3	2
163	особенно в	2	2
164	к его	2	2
165	в свою	3	2
166	когда человек	2	2
167	богом и	2	2
168	из себя	4	2
169	не как	5	2
170	должно было	3	2
171	если не	4	2
172	приводит к	2	2
173	тогда когда	3	2
174	в образе	16	2
175	но если	2	2
176	что мы	4	2
177	в них	3	2
178	очень много	2	2
179	и на	11	2
180	и здесь	12	2
181	и действительно	6	2
182	уже в	4	2
183	с целью	2	2
184	еще не	16	2
185	все что	5	2
186	то или	2	2
187	жизни и	4	2
188	не было	2	2
189	превращается в	10	2
190	к которым	4	2
191	на пути	2	2
192	не в	11	2
193	из него	3	2
194	не всегда	9	2
195	и наконец	2	2
196	в одно	2	2
197	на все	2	2
198	и все	4	2
199	но когда	3	2
200	один из	6	2
201	уже давно	3	2
202	связано с	7	2
203	них не	2	2
204	людей и	2	2
205	силы и	2	2
206	прежде всего	7	2
207	его не	3	2
208	и из	3	2
209	или иное	2	2
210	не могло	2	2
211	с его	3	2
212	во всех	3	2
213	в другое	2	2
214	в китае	4	2
215	по существу	2	2
