N	2gram	Savitsky_E	Vvedenie
1	т е	9	40
2	в том	11	38
3	в этом	12	35
4	и в	37	35
5	том что	6	30
6	может быть	6	30
7	не только	18	26
8	для того	6	23
9	того чтобы	6	22
10	таким образом	2	21
11	также и	7	20
12	не может	9	19
13	то что	6	19
14	потому что	3	18
15	но также	2	16
16	со стороны	5	16
17	о том	3	16
18	только в	9	16
19	так как	7	15
20	в общем	3	14
21	представляет собой	3	14
22	и не	14	13
23	что в	21	13
24	в самом	4	13
25	в их	11	12
26	того что	7	12
27	точки зрения	23	12
28	в его	2	12
29	как на	3	12
30	этом смысле	3	11
31	в данном	3	11
32	то же	15	11
33	по себе	4	11
34	в ее	8	11
35	как мы	5	11
36	вопрос о	4	10
37	не в	5	10
38	прежде всего	9	10
39	но в	14	10
40	в той	5	10
41	уже и	3	10
42	между тем	8	10
43	и как	2	9
44	но не	5	9
45	в истории	2	9
46	можно было	3	8
47	с другой	7	8
48	именно в	4	8
49	в качестве	14	8
50	и то	2	7
51	с течением	2	7
52	как и	7	7
53	как бы	6	7
54	течением времени	2	7
55	этот вопрос	2	7
56	но и	14	7
57	было бы	8	7
58	в применении	3	7
59	сказать что	4	6
60	не могут	2	6
61	хотя бы	15	6
62	и даже	6	6
63	применении к	3	6
64	но если	5	6
65	тем что	3	6
66	а именно	2	6
67	в какой	2	6
68	на этот	2	6
69	с тем	3	6
70	а в	2	6
71	культуры как	2	6
72	в которых	3	6
73	могут быть	2	6
74	в то	16	6
75	и что	2	6
76	же время	14	6
77	вовсе не	6	6
78	вместе с	2	6
79	данном случае	2	5
80	независимо от	4	5
81	дело в	3	5
82	и тем	3	5
83	с этой	6	5
84	на основании	2	5
85	в течение	5	5
86	по своему	7	5
87	от этого	5	5
88	как это	4	5
89	культуры в	4	5
90	есть не	2	5
91	не есть	2	5
92	другой стороны	2	5
93	в них	3	5
94	всяком случае	3	5
95	что и	3	5
96	а не	2	5
97	но с	2	5
98	хотя и	2	5
99	во всяком	3	5
100	все более	9	4
101	эти области	6	4
102	само по	4	4
103	по сравнению	2	4
104	в результате	3	4
105	одной стороны	8	4
106	в области	11	4
107	этот процесс	2	4
108	этом отношении	3	4
109	с одной	8	4
110	заключается в	2	4
111	к тому	8	4
112	одной из	5	4
113	и для	3	4
114	не имеет	4	4
115	в котором	2	4
116	в виде	5	4
117	тогда когда	2	4
118	в одном	2	4
119	из них	3	4
120	в себе	9	4
121	с точки	17	4
122	в своей	8	4
123	сравнению с	2	4
124	можно сказать	4	4
125	никогда не	3	3
126	в каком	4	3
127	отношений между	2	3
128	в отношении	32	3
129	что это	2	3
130	или иной	4	3
131	известном смысле	3	3
132	в своем	14	3
133	а также	7	3
134	с этим	2	3
135	культуры не	2	3
136	так же	9	3
137	как оно	2	3
138	бы и	3	3
139	в значительной	2	3
140	во второй	3	3
141	если бы	2	3
142	при помощи	2	3
143	в этих	2	3
144	в силу	2	3
145	в частности	5	3
146	как в	3	3
147	духовной жизни	2	3
148	мы видели	3	3
149	данного народа	3	3
150	человеческой культуры	2	3
151	стороны и	6	3
152	вообще не	3	3
153	к нему	2	3
154	и на	6	3
155	того же	3	3
156	в известной	3	3
157	в ней	4	3
158	и к	3	3
159	между ними	2	3
160	в известном	3	3
161	что же	2	3
162	же как	5	3
163	и того	2	3
164	говорит о	3	3
165	он сам	2	3
166	наряду с	2	3
167	той или	4	3
168	как будто	2	3
169	в этой	2	3
170	и других	2	3
171	чем в	4	3
172	ними и	2	2
173	в содержании	2	2
174	и потому	5	2
175	из того	2	2
176	мы должны	2	2
177	во всех	6	2
178	время в	3	2
179	но как	2	2
180	тем более	4	2
181	в известных	2	2
182	этой точки	5	2
183	бы в	2	2
184	не нужно	2	2
185	в прошлом	3	2
186	из числа	4	2
187	как совокупность	4	2
188	ее от	2	2
189	второй половине	2	2
190	говоря уже	2	2
191	свою очередь	2	2
192	что если	2	2
193	и чем	2	2
194	и со	3	2
195	так и	10	2
196	отношении к	15	2
197	проблемы и	2	2
198	чем больше	2	2
199	можно считать	3	2
200	что к	2	2
201	которого мы	2	2
202	на то	6	2
203	и творчества	2	2
204	и сейчас	2	2
205	мог бы	2	2
206	в своих	2	2
207	какой бы	2	2
208	в свою	3	2
209	и с	2	2
210	не говоря	2	2
211	которое в	2	2
212	мы можем	3	2
213	несмотря на	4	2
214	для них	2	2
215	жизни и	2	2
216	большей части	2	2
217	по признаку	3	2
218	мы не	4	2
219	культурной жизни	4	2
220	народов и	3	2
221	должна быть	2	2
222	не к	2	2
223	во втором	2	2
224	всего к	2	2
