N	2gram	Tiupa_Anal	EvropaiE
1	и в	36	37
2	в отношении	2	32
3	в пределах	5	25
4	точки зрения	3	23
5	что в	15	21
6	не только	40	18
7	с точки	2	17
8	в то	8	16
9	то же	7	15
10	в своем	7	14
11	но в	8	14
12	но и	26	14
13	и не	14	14
14	же время	7	14
15	в качестве	22	14
16	в этом	19	12
17	в том	16	11
18	в их	7	11
19	так и	19	10
20	т е	2	9
21	не может	3	9
22	отнюдь не	7	9
23	в себе	7	9
24	прежде всего	7	9
25	только в	9	9
26	одной стороны	3	8
27	между тем	8	8
28	в ее	5	8
29	было бы	6	8
30	в своей	12	8
31	с одной	3	8
32	к тому	10	8
33	по своему	3	7
34	нам кажется	3	7
35	с другой	10	7
36	а также	5	7
37	как и	27	7
38	того что	4	7
39	том что	19	6
40	во всех	4	6
41	то есть	15	6
42	и даже	12	6
43	может быть	19	6
44	и на	5	6
45	то что	5	6
46	как бы	14	6
47	вовсе не	2	6
48	но не	13	5
49	тем самым	8	5
50	и по	3	5
51	и потому	3	5
52	столь же	7	5
53	в той	3	5
54	как мы	4	5
55	со стороны	12	5
56	не в	9	5
57	в частности	19	5
58	одной из	6	5
59	как нам	6	5
60	даже в	6	4
61	сказать что	2	4
62	или иного	5	4
63	или иной	9	4
64	во многих	2	4
65	можно сказать	5	4
66	то в	4	4
67	именно в	4	4
68	в самом	7	4
69	в полной	3	4
70	мы не	4	4
71	в ней	2	4
72	по себе	6	4
73	несмотря на	2	4
74	тем более	3	4
75	той или	6	4
76	как это	7	4
77	того или	6	4
78	никогда не	7	3
79	с тем	2	3
80	и от	3	3
81	и для	4	3
82	известном смысле	2	3
83	о том	9	3
84	очевидно что	2	3
85	идет о	2	3
86	в данном	12	3
87	в общем	4	3
88	всего лишь	13	3
89	того же	7	3
90	время в	2	3
91	когда он	2	3
92	можно было	2	3
93	мира и	2	3
94	бы и	2	3
95	в свою	9	3
96	и к	7	3
97	в результате	6	3
98	мы можем	2	3
99	не будет	3	3
100	из них	4	3
101	и прежде	2	3
102	в известном	2	3
103	в них	4	3
104	тем в	2	3
105	всяком случае	6	3
106	место в	4	3
107	на себя	5	3
108	что и	10	3
109	во второй	8	3
110	там где	2	3
111	и тем	3	3
112	тем что	3	3
113	говорит о	3	3
114	этом отношении	3	3
115	по нашему	3	3
116	не является	5	3
117	жизни в	4	3
118	в культуре	2	3
119	не более	2	3
120	в таком	2	3
121	представляет собой	7	3
122	как в	9	3
123	в прошлом	2	3
124	ее в	2	3
125	во всяком	6	3
126	дело в	3	3
127	известной степени	3	3
128	есть в	2	2
129	данном случае	11	2
130	и если	2	2
131	в мире	17	2
132	если в	3	2
133	в его	12	2
134	не есть	6	2
135	на месте	2	2
136	в эту	2	2
137	ни столь	2	2
138	и то	2	2
139	совершенно очевидно	2	2
140	констатировать что	2	2
141	не могут	2	2
142	она не	3	2
143	а в	17	2
144	с этим	4	2
145	но как	4	2
146	в сторону	2	2
147	далеко не	8	2
148	в своих	3	2
149	поскольку он	3	2
150	только к	2	2
151	в большинстве	2	2
152	в случае	6	2
153	что на	3	2
154	во втором	4	2
155	могут быть	4	2
156	по преимуществу	3	2
157	другой стороны	7	2
158	между ними	3	2
159	в значительной	3	2
160	по своей	5	2
161	в одном	4	2
162	и ту	2	2
163	и как	5	2
164	мог бы	3	2
165	ко всему	2	2
166	есть не	2	2
167	если бы	2	2
168	иначе говоря	5	2
169	в этих	2	2
170	жизни и	2	2
171	в силу	2	2
172	более чем	2	2
173	и того	4	2
174	а не	16	2
175	и что	2	2
176	нас к	2	2
177	или точнее	2	2
178	свою очередь	7	2
179	же в	5	2
180	и все	3	2
181	или в	4	2
182	таким образом	4	2
183	он не	9	2
184	такой же	2	2
185	на уровне	2	2
186	ведь и	2	2
187	в этой	10	2
188	но с	3	2
189	а тем	2	2
190	хотя и	4	2
191	вместе с	3	2
192	он сам	2	2
193	имеет место	3	2
194	при условии	2	2
