N	2gram	Nazirov_Tv	Problemy
1	и в	40	106
2	и не	12	90
3	как бы	26	70
4	может быть	11	66
5	в его	19	56
6	в этом	11	52
7	в нем	4	51
8	не может	9	49
9	из подполья	19	48
10	что он	11	44
11	как и	16	44
12	у достоевского	51	43
13	но и	10	40
14	для него	9	39
15	и его	14	39
16	а не	9	38
17	не только	16	36
18	то же	19	36
19	то что	9	33
20	но в	11	33
21	прежде всего	10	32
22	в то	23	29
23	все это	14	29
24	он не	10	29
25	и все	6	28
26	не в	3	27
27	в одном	3	27
28	же время	18	26
29	и т	14	25
30	в самом	6	25
31	и с	9	25
32	самом деле	4	24
33	героя и	4	24
34	вовсе не	5	24
35	рядом с	2	23
36	и на	12	23
37	таким образом	14	22
38	в каждом	4	22
39	что я	4	22
40	по себе	2	22
41	никогда не	13	20
42	все же	9	20
43	потому что	10	20
44	только в	7	20
45	что в	17	19
46	достоевского в	19	19
47	с его	12	19
48	отношению к	3	19
49	на самом	3	18
50	в себе	3	18
51	по отношению	3	18
52	т п	4	18
53	о нем	2	18
54	все эти	3	18
55	уже не	6	18
56	еще не	5	18
57	но не	7	18
58	это не	9	17
59	в том	13	17
60	так и	5	17
61	а в	10	17
62	с ним	4	17
63	так же	6	16
64	если бы	4	16
65	в своей	8	16
66	до конца	2	15
67	достоевского не	12	15
68	и наконец	3	15
69	у него	11	15
70	так как	6	14
71	в своем	4	14
72	в конце	5	14
73	я не	5	14
74	и сам	5	14
75	с другим	3	14
76	как раз	2	14
77	а как	2	14
78	его в	2	13
79	перед нами	3	13
80	героя в	4	13
81	достоевского и	5	13
82	в романе	24	13
83	романа достоевского	7	13
84	и это	2	13
85	роман достоевского	4	13
86	в целом	7	13
87	в романах	25	13
88	творчестве достоевского	9	13
89	в мире	8	13
90	на него	2	13
91	мир достоевского	3	13
92	точка зрения	2	13
93	том что	14	12
94	в одной	5	12
95	даже в	4	12
96	в плане	4	12
97	ничего не	3	12
98	так что	4	12
99	к тому	2	12
100	между тем	2	12
101	не знает	2	12
102	что и	3	12
103	при этом	14	12
104	было бы	2	12
105	во всяком	2	12
106	так сказать	4	12
107	но это	10	12
108	и даже	8	12
109	и как	5	12
110	достоевского как	5	12
111	как в	10	12
112	отношении к	2	12
113	для достоевского	5	12
114	в котором	8	12
115	и что	2	12
116	мире достоевского	5	12
117	не могут	2	11
118	сливается с	4	11
119	она не	2	11
120	он сам	8	11
121	а я	3	11
122	тем что	2	11
123	с другой	4	11
124	более того	2	11
125	мы уже	2	11
126	как будто	5	11
127	к одному	2	10
128	идеи в	2	10
129	в него	2	10
130	что не	5	10
131	самого начала	3	10
132	далеко не	3	10
133	в творчестве	10	10
134	приводит к	4	10
135	той же	4	10
136	достоевский в	7	10
137	романах достоевского	26	10
138	творчества достоевского	4	10
139	и потому	4	9
140	с самого	3	9
141	или в	2	9
142	самим собой	4	9
143	могут быть	4	9
144	ивана карамазова	7	9
145	хотя и	5	9
146	другой стороны	2	9
147	хотя бы	5	9
148	достоевского но	2	9
149	человека в	9	9
150	что у	5	9
151	ни в	2	9
152	всяком случае	2	9
153	романе достоевского	5	9
154	героев достоевского	7	9
155	но он	3	9
