N	3gram	Medvedev_F	Literetu
1	в то же	13	21
2	то же время	13	21
3	в том что	3	21
4	по отношению к	4	12
5	с одной стороны	5	12
6	в данном случае	2	11
7	в отличие от	2	11
8	не может быть	11	11
9	в этом отношении	7	10
10	с точки зрения	17	8
11	с другой стороны	4	7
12	тем не менее	2	5
13	прежде всего в	5	5
14	в связи с	9	5
15	в том чтобы	3	5
16	и прежде всего	2	4
17	бы то ни	4	4
18	по аналогии с	4	4
19	и тем самым	2	4
20	и т п	11	3
21	во всяком случае	6	3
22	на самом деле	7	3
23	и наконец в	2	3
24	особое место в	2	3
25	в самом деле	5	3
26	одной стороны и	4	3
27	не сводится к	2	3
28	ничего общего с	2	3
29	в целом ряде	2	3
30	и в частности	2	3
31	в свою очередь	6	3
32	для того чтобы	3	2
33	же время не	2	2
34	при этом не	2	2
35	не только не	2	2
36	к тому что	3	2
37	но и в	4	2
38	вместе с тем	5	2
39	в значительной степени	3	2
