N	3gram	Tiupa_Anal	Komedia
1	в том что	13	29
2	к тому же	6	21
3	то же время	7	16
4	в то же	9	16
5	о том что	8	13
6	в самом деле	3	13
7	для того чтобы	3	11
8	и т п	3	11
9	по отношению к	9	9
10	с одной стороны	6	9
11	с другой стороны	2	8
12	и в самом	3	8
13	то ни было	3	7
14	на себя внимание	3	7
15	бы то ни	3	7
16	обращает на себя	3	7
17	в связи с	2	6
18	с точки зрения	6	6
19	в том числе	3	6
20	в отличие от	8	6
21	то же самое	3	5
22	в этом отношении	5	5
23	том что он	2	5
24	в ответ на	2	5
25	тем не менее	3	5
26	к тому что	2	4
27	и тот же	2	4
28	в самом начале	3	4
29	в обоих случаях	2	4
30	и к тому	2	3
31	более или менее	2	3
32	в соответствии с	2	3
33	но и в	3	3
34	друг с другом	2	3
35	на то что	2	3
36	в этой связи	2	3
37	вместе с ним	2	3
38	не более чем	4	3
39	состоит в том	6	3
40	в поле зрения	2	2
41	если говорить о	2	2
42	подобно тому как	5	2
43	в первом случае	2	2
44	и все же	2	2
45	не только в	3	2
46	в основе своей	2	2
47	мере в какой	2	2
48	в этом случае	4	2
49	в частности в	2	2
50	так и не	5	2
51	в конечном счете	5	2
52	этой точки зрения	2	2
53	в этом смысле	3	2
54	как и в	2	2
55	с этой точки	2	2
