N	2gram	Losev_Prob	EvropaiC
1	таким образом	20	34
2	в том	25	31
3	и в	48	24
4	том что	29	20
5	все эти	12	19
6	не может	6	18
7	то что	26	18
8	может быть	11	17
9	до сих	3	15
10	все же	12	15
11	сих пор	3	15
12	точки зрения	17	14
13	в этом	31	13
14	все это	8	13
15	в своем	16	12
16	с этим	3	12
17	самом деле	3	12
18	между тем	2	12
19	по отношению	2	11
20	но и	21	11
21	отношению к	2	11
22	не только	28	10
23	так и	15	10
24	во всех	2	10
25	как и	10	10
26	все что	2	10
27	как бы	10	10
28	в результате	11	9
29	и не	29	9
30	не в	16	9
31	что в	12	9
32	и все	12	9
33	на то	2	9
34	того же	7	9
35	потому что	21	9
36	при этом	6	9
37	и что	9	9
38	так же	7	8
39	из этих	2	8
40	если бы	2	8
41	для того	4	8
42	идет речь	2	8
43	к тому	7	8
44	в самом	7	8
45	того чтобы	3	8
46	с точки	13	8
47	ясно что	11	8
48	на самом	2	7
49	для этого	2	7
50	о которых	2	7
51	в сознании	3	7
52	так как	10	7
53	в силу	6	7
54	по своей	3	7
55	что он	12	7
56	того что	8	7
57	о котором	4	7
58	не менее	8	7
59	о том	17	7
60	из этого	6	7
61	что и	8	7
62	в этой	14	7
63	по существу	2	7
64	вместе с	15	7
65	в европе	2	6
66	только в	21	6
67	еще не	4	6
68	и при	2	6
69	так что	18	6
70	что касается	5	6
71	в то	6	6
72	и для	11	6
73	с другой	8	6
74	и если	2	6
75	и на	9	6
76	мы можем	5	6
77	несмотря на	7	6
78	тому же	5	6
79	с ним	4	6
80	и от	7	5
81	его в	9	5
82	но все	6	5
83	в себе	7	5
84	к этому	2	5
85	оказывается что	5	5
86	в которой	7	5
87	и их	7	5
88	между собою	2	5
89	из них	4	5
90	что это	4	5
91	из всех	2	5
92	так или	3	5
93	по своему	3	5
94	у него	13	5
95	далеко не	6	5
96	но в	17	5
97	именно в	11	5
98	или иначе	3	5
99	и без	5	5
100	и с	10	5
101	и к	9	5
102	другой стороны	8	5
103	не будет	4	5
104	в его	19	5
105	как будто	9	5
106	никогда не	7	4
107	и то	6	4
108	в такой	3	4
109	не могут	3	4
110	что эта	3	4
111	всех этих	3	4
112	хотя бы	11	4
113	то ни	4	4
114	тем не	8	4
115	в конце	10	4
116	отношение к	3	4
117	и у	8	4
118	конце концов	7	4
119	факт что	2	4
120	то же	6	4
121	в их	4	4
122	том же	2	4
123	в области	3	4
124	а с	4	4
125	в виде	25	4
126	что его	4	4
127	что для	2	4
128	с тем	7	4
129	не так	4	4
130	и сейчас	2	4
131	все прочие	2	4
132	не есть	3	4
133	из которых	2	4
134	что мы	4	4
135	связи с	11	4
136	в таком	4	4
137	он не	4	4
138	это есть	2	4
139	если мы	2	4
140	в дальнейшем	7	4
141	хотя и	10	4
142	мы уже	2	4
143	даже в	2	3
144	данном случае	5	3
145	представление о	2	3
146	и вообще	11	3
147	вопрос о	2	3
148	тем самым	2	3
149	при помощи	12	3
150	это не	8	3
151	и потому	4	3
152	и до	2	3
153	гораздо больше	2	3
154	на земле	11	3
155	в начале	6	3
156	тем более	2	3
157	в настоящее	7	3
158	в тех	2	3
159	бы в	2	3
160	но даже	6	3
161	ни было	2	3
162	настоящее время	7	3
163	цивилизации в	2	3
164	даже если	2	3
165	только что	2	3
166	с этой	4	3
167	в этих	3	3
168	конечно не	2	3
169	в связи	11	3
170	и наконец	4	3
171	за ними	2	3
172	у нас	17	3
173	но по	3	3
174	прежде всего	15	3
175	жизнь и	6	3
176	с одной	5	3
177	что только	3	3
178	одно из	2	3
179	в жизни	4	3
180	но не	12	3
181	очень много	3	3
182	а наоборот	2	3
183	и это	3	3
184	в данном	6	3
185	на этой	2	3
186	а в	8	3
187	бы то	4	3
188	не вполне	2	3
189	в нем	8	3
190	в ней	4	3
191	что оно	2	3
192	тогда когда	4	3
193	не то	4	3
194	для нас	14	3
195	же не	4	3
196	можно назвать	2	3
197	по одному	2	3
198	было бы	12	3
199	и по	2	3
200	ничего общего	6	3
201	во всем	5	3
202	в нашем	5	3
203	уже и	4	3
204	тот же	6	3
205	как мы	5	3
206	мы будем	2	3
207	еще больше	2	3
208	он все	3	2
209	другими словами	3	2
210	то в	4	2
211	то и	7	2
212	представляет собою	3	2
213	но как	3	2
214	к ним	3	2
215	и ее	2	2
216	есть только	4	2
217	на одном	2	2
218	то время	4	2
219	и поэтому	2	2
220	что она	2	2
221	народа который	2	2
222	более всего	2	2
223	то есть	38	2
224	в другом	6	2
225	свою очередь	2	2
226	борьбы с	2	2
227	на него	3	2
228	для себя	6	2
229	должен быть	2	2
230	доказать что	2	2
231	в виду	3	2
232	не было	4	2
233	что такой	2	2
234	он должен	2	2
235	в частности	5	2
236	по его	2	2
237	что они	4	2
238	тем как	2	2
239	разобраться в	2	2
240	в одно	6	2
241	это конечно	2	2
242	для него	2	2
243	только тогда	3	2
244	мы видели	2	2
245	есть в	6	2
246	он считает	2	2
247	от них	2	2
248	том чтобы	3	2
249	на месте	2	2
250	смотреть на	2	2
251	и так	3	2
252	не имеет	3	2
253	общего с	2	2
254	но так	2	2
255	также и	21	2
256	что у	6	2
257	тому что	2	2
258	к нему	3	2
259	они не	3	2
260	в самой	5	2
261	гораздо более	5	2
262	в котором	5	2
263	я в	4	2
