N	4gram	Vinokur_Ku	Psycholo
1	заключается в том что	2	23
2	и в самом деле	4	19
3	с этой точки зрения	3	10
4	в том случае если	3	7
5	в том что он	3	7
6	только в том случае	2	6
7	не что иное как	2	6
8	а с другой стороны	2	4
9	одного и того же	2	4
10	точно так же как	3	4
11	состоит в том что	4	4
12	в силу того что	2	4
13	не в том чтобы	4	3
14	в то же время	4	3
15	в том что оно	2	2
16	и т п все	2	2
17	и тем не менее	4	2
18	только для того чтобы	2	2
19	д и т д	2	2
20	т д и т	3	2
21	и т д и	3	2
22	и т п в	2	2
23	можно было бы сказать	2	2
